Matching Affiliation,Institution Guess,doi,url,Article Title,Authors,Year,Journal Title,All Affiliations
"Winterthur, Switzerland",,10.2143/AST.20.1.2005483,http://dx.doi.org/10.2143/AST.20.1.2005483,Pseudo Compound Poisson Distributions in Risk Theory,W. Hürlimann,1990,ASTIN Bulletin,"aff1 /// Winterthur ///  /// ,  /// Switzerland /// "
"Zurich, Switzerland",,10.1017/S0515036100007819,http://dx.doi.org/10.1017/S0515036100007819,A Theoretical Study of the No-Claim Bonus Problem,Marcel Derron,1963,ASTIN Bulletin,"aff1 /// Zurich ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0009640700010234,http://dx.doi.org/10.1017/S0009640700010234,Lutheranism and The Reformed Faith on the Continent,Adolf Keller,1934,Church History: Studies in Christianity and Culture,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0315489000025524,http://dx.doi.org/10.1017/S0315489000025524,"The Seventh Census of Population in Canada, 1931",Robert M. Woodbury,1940,Canadian Journal of Economics and Political Science/Revue canadienne de economiques et science politique,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Zermatt, Switzerland",,10.1017/S0376892900018804,http://dx.doi.org/10.1017/S0376892900018804,,Harold P. Mitchell,1976,Environmental Conservation,"aff1 /// Zermatt ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900018877,http://dx.doi.org/10.1017/S0376892900018877,,Colin. B Guthrie,1976,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"1110 Morges, Switzerland.",,10.1017/S0376892900018567,http://dx.doi.org/10.1017/S0376892900018567,Threat to Malaysia's Largest National Park,World Wildlife Fund,1976,Environmental Conservation,"aff1 /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"Morges, Switzerland",,10.1017/S0376892900019238,http://dx.doi.org/10.1017/S0376892900019238,,Peter F. R. Jackson,1976,Environmental Conservation,"aff1 /// Morges ///  /// ,  /// Switzerland /// "
"Universität Basel, Switzerland",University of Basel,10.2307/1958411,http://dx.doi.org/10.2307/1958411,Logrolling and the Paradox of Voting: Are They Really Logically Equivalent? A Comment,Peter Bernholz,1975,American Political Science Review,"aff1 /// Universität Basel ///  /// ,  /// Switzerland /// "
"Morges, Switzerland",,10.1017/S0376892900001211,http://dx.doi.org/10.1017/S0376892900001211,,Peter F. R. Jackson,1975,Environmental Conservation,"aff1 /// Morges ///  /// ,  /// Switzerland /// "
"1110 Morges, Switzerland.",,10.1017/S0376892900025303,http://dx.doi.org/10.1017/S0376892900025303,Appeal for Amazonian Rain-forest Conservation,World Wildlife Fund,1977,Environmental Conservation,"aff1 /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"1110 Morges, Switzerland.",,10.1017/S0376892900025789,http://dx.doi.org/10.1017/S0376892900025789,Maldives Bans Underwater Hunting with Spears and Explosives,World Wildlife Fund,1977,Environmental Conservation,"aff1 /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"Geneva, Switzerland",,10.1017/S0376892900034810,http://dx.doi.org/10.1017/S0376892900034810,Editorial: Humans' Real Place on Earth,Nicholas Polunin,1995,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Morges, Switzerland",,10.1017/S0376892900004057,http://dx.doi.org/10.1017/S0376892900004057,,Colin W. Holloway,1974,Environmental Conservation,"aff1 /// Morges ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900006913,http://dx.doi.org/10.1017/S0376892900006913,,Byron W. Boville,1980,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Nr Geneva, Switzerland",,10.1017/S0376892900006901,http://dx.doi.org/10.1017/S0376892900006901,,Michael G. Royston,1980,Environmental Conservation,"aff1 /// Nr Geneva ///  /// ,  /// Switzerland /// "
"Neuchâtel, Switzerland.",,10.1017/S002868850001835X,http://dx.doi.org/10.1017/S002868850001835X,The Theology of Rudolf Bultmann and Second-Century Gnosis,W. Rordorf,1967,New Testament Studies,"aff1 /// Neuchâtel ///  /// ,  /// Switzerland ///  /// ."
"Zurich 44, Switzerland",,10.1017/S0028688500001764,http://dx.doi.org/10.1017/S0028688500001764,The Son of Man Again,E. D. Schweizer,1963,New Testament Studies,"aff1 /// Zurich 44 ///  /// ,  /// Switzerland /// "
"Bigoria, Switzerland",,10.1017/S0066477400000526,http://dx.doi.org/10.1017/S0066477400000526,The : Questions Of Authorship,R.J.H. Matthews,1990,Antichthon,"aff1 /// Bigoria ///  /// ,  /// Switzerland /// "
"Fribourg, Switzerland",,10.1017/S0009840X00282097,http://dx.doi.org/10.1017/S0009840X00282097,Catullus Carnivalised,Damien P. Nelis,1992,The Classical Review,"aff1 /// Fribourg ///  /// ,  /// Switzerland /// "
"Bern, Switzerland",,10.1017/S0008938900021427,http://dx.doi.org/10.1017/S0008938900021427,From Subsistence to Property: Traces of a Fundamental Change in Early Modern Bavaria,Renate Blickle,1992,Central European History,"aff1 /// Bern ///  /// ,  /// Switzerland /// "
"Franklin College, Switzerland",,10.1017/S0008423910000272,http://dx.doi.org/10.1017/S0008423910000272,,Morris Mottale,2010,Canadian Journal of Political Science,"aff1 /// Franklin College ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900020270,http://dx.doi.org/10.1017/S0376892900020270,,Peter G. Elkan,1982,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900017963,http://dx.doi.org/10.1017/S0376892900017963,,Carl A. C. Wallén,1976,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900027843,http://dx.doi.org/10.1017/S0376892900027843,,Amasa S. Bishop,1981,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Nr Geneva, Switzerland",,10.1017/S0376892900006895,http://dx.doi.org/10.1017/S0376892900006895,,Michael G. Royston,1980,Environmental Conservation,"aff1 /// Nr Geneva ///  /// ,  /// Switzerland /// "
"1110 Morges, Switzerland.",,10.1017/S0376892900018956,http://dx.doi.org/10.1017/S0376892900018956,Appeal to Preserve Integrity of Philippines National Park,World Wildlife Fund,1976,Environmental Conservation,"aff1 /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"Geneva, Switzerland",,10.1017/S0376892900001612,http://dx.doi.org/10.1017/S0376892900001612,,M. A. Farid,1975,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Morges, Switzerland",,10.1017/S0376892900018403,http://dx.doi.org/10.1017/S0376892900018403,,Colin W. Holloway,1976,Environmental Conservation,"aff1 /// Morges ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland.",,10.1017/S0376892900005750,http://dx.doi.org/10.1017/S0376892900005750,,Cecil E. King,1978,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland ///  /// ."
"Geneva, Switzerland",,10.1017/S0376892900025613,http://dx.doi.org/10.1017/S0376892900025613,,Claude G. Ducret,1977,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"1110 Morges, Switzerland.",,10.1017/S0376892900018488,http://dx.doi.org/10.1017/S0376892900018488,New National Parks in Senegal,World Wildlife Fund,1976,Environmental Conservation,"aff1 /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"Geneva, Switzerland",,10.1017/S0376892900018828,http://dx.doi.org/10.1017/S0376892900018828,,Claude Ducret,1976,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
Basle (Switzerland).,,10.1017/S0016756800177726,http://dx.doi.org/10.1017/S0016756800177726,III.—Tektite from British Borneo,F. P. Mueller,1915,Geological Magazine,aff1 /// Basle (Switzerland) ///  /// .
"Zürich, Switzerland",,10.1017/S0028688500003866,http://dx.doi.org/10.1017/S0028688500003866,Formgeschichtliches zu den Seligpreisungen Jesu,Eduard Schweizer,1973,New Testament Studies,"aff1 /// Zürich ///  /// ,  /// Switzerland /// "
"Zürich, Switzerland",,10.1017/S0028688500016271,http://dx.doi.org/10.1017/S0028688500016271,The ‘Matthean’ Church,Eduard Schweizer,1974,New Testament Studies,"aff1 /// Zürich ///  /// ,  /// Switzerland /// "
"Zurich, Switzerland",,10.1017/S0022215100112472,http://dx.doi.org/10.1017/S0022215100112472,Acoustic schwannoma of traumatic origin? A temporal bone study,T. H. J. Lesser /// A. Pollak,1990,The Journal of Laryngology & Otology,"aff1 /// Zurich ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.2307/1947950,http://dx.doi.org/10.2307/1947950,The Contribution to International Legislation of the Nineteenth Session of the International Labor Conference,C. Wilfred Jenks,1936,American Political Science Review,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Zurich, Switzerland.",,10.4039/Ent32166-6,http://dx.doi.org/10.4039/Ent32166-6,CONDEMNABLE PRACTICES IN GENERIC REVISIONS,Herbert Haviland Field,1900,The Canadian Entomologist,"aff1 /// Zurich ///  /// ,  /// Switzerland ///  /// ."
"Winterthur, Switzerland",,10.2143/AST.21.1.2005404,http://dx.doi.org/10.2143/AST.21.1.2005404,Separating True IBNR and IBNER Claims,R. Schnieper,1991,ASTIN Bulletin,"aff1 /// Winterthur ///  /// ,  /// Switzerland /// "
"ETH Zürich, Switzerland",ETH Zurich,10.2143/AST.20.1.2005481,http://dx.doi.org/10.2143/AST.20.1.2005481,Pareto Optimal Risk Exchanges and a System of Differential Equations: a Duality Theorem,Erich Wyler,1990,ASTIN Bulletin,"aff1 /// ETH Zürich ///  /// ,  /// Switzerland /// "
"Zurich, Switzerland",,10.1017/S0515036100007832,http://dx.doi.org/10.1017/S0515036100007832,Some Aspects of Cumulative Risk,J. Kupper,1963,ASTIN Bulletin,"aff1 /// Zurich ///  /// ,  /// Switzerland /// "
"ETH Zürich, Switzerland",ETH Zurich,10.2143/AST.29.2.504614,http://dx.doi.org/10.2143/AST.29.2.504614,Selection of Credibility Regression Models,Peter Bühlmann /// Hans Bühlmann,1999,ASTIN Bulletin,"aff1 /// ETH Zürich ///  /// ,  /// Switzerland /// "
"Zurich, Switzerland",,10.1017/S0515036100010436,http://dx.doi.org/10.1017/S0515036100010436,A Distribution Free Method for General Risk Problems,H. Bühlmann,1964,ASTIN Bulletin,"aff1 /// Zurich ///  /// ,  /// Switzerland /// "
"Arlesheim, Switzerland",,10.2307/3162171,http://dx.doi.org/10.2307/3162171,The Polarity of the Gospels in the Exegesis of Origen,Samuel Laeuchli,1952,Church History,"aff1 /// Arlesheim ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900002034,http://dx.doi.org/10.1017/S0376892900002034,,Michael G. Royston,1975,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"St Gallen, Switzerland",,10.1017/S0022215100111685,http://dx.doi.org/10.1017/S0022215100111685,Resection of palatal tumours with the CO laser,R. Sutter /// R. Grossenbacher,1990,The Journal of Laryngology & Otology,"aff1 /// St Gallen ///  /// ,  /// Switzerland /// "
"Morges, Switzerland",,10.1017/S0370164600012852,http://dx.doi.org/10.1017/S0370164600012852,XV.—The Fata Morgana,F. A. Forel,1913,Proceedings of the Royal Society of Edinburgh,"aff1 /// Morges ///  /// ,  /// Switzerland /// "
"Lausanne, Switzerland",,10.1017/S0376892900006962,http://dx.doi.org/10.1017/S0376892900006962,,Clifford B. Holliday,1980,Environmental Conservation,"aff1 /// Lausanne ///  /// ,  /// Switzerland /// "
"Conches, Geneva, Switzerland",,10.1017/S0376892900027442,http://dx.doi.org/10.1017/S0376892900027442,,Michael G. Royston,1981,Environmental Conservation,"aff1 /// Conches ///  /// ,  /// Geneva ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900025224,http://dx.doi.org/10.1017/S0376892900025224,,Roger de Candolle,1977,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Geneva, Switzerland",,10.1017/S0376892900025194,http://dx.doi.org/10.1017/S0376892900025194,,Oliver M. Ashford,1977,Environmental Conservation,"aff1 /// Geneva ///  /// ,  /// Switzerland /// "
"Grand-Saconnex, Switzerland",,10.1017/S0376892900002903,http://dx.doi.org/10.1017/S0376892900002903,,M. A. Farid,1979,Environmental Conservation,"aff1 /// Grand-Saconnex ///  /// ,  /// Switzerland /// "
"Nr Geneva, Switzerland",,10.1017/S0376892900003660,http://dx.doi.org/10.1017/S0376892900003660,,Michael G. Royston,1979,Environmental Conservation,"aff1 /// Nr Geneva ///  /// ,  /// Switzerland /// "
"Heiden, Switzerland",,10.1017/S0022215100116640,http://dx.doi.org/10.1017/S0022215100116640,Total avulsion of an osseointegrated screw,B. J. O'Reilly /// C. Walter,1991,The Journal of Laryngology & Otology,"aff1 /// Heiden ///  /// ,  /// Switzerland /// "
"Zürich, Switzerland",,10.1017/S0028688500005592,http://dx.doi.org/10.1017/S0028688500005592,The Church as the Missionary Body of Christ,E. Schweizer,1961,New Testament Studies,"aff1 /// Zürich ///  /// ,  /// Switzerland /// "
"Basle, Switzerland",,10.1017/S0028688500018014,http://dx.doi.org/10.1017/S0028688500018014,Andacht zur Eröffnung der S.N.T.S. am 30. August 1965 in Heidelberg,Oscar Cullmann,1966,New Testament Studies,"aff1 /// Basle ///  /// ,  /// Switzerland /// "
"Berne, Switzerland",,10.1557/S0883769400051009,http://dx.doi.org/10.1557/S0883769400051009,Amorphous Metals,M. von Allmen,1984,MRS Bulletin,"aff1 /// Berne ///  /// ,  /// Switzerland /// "
"University of Lausanne, Switzerland",University of Lausanne,10.2143/AST.19.1.2014916,http://dx.doi.org/10.2143/AST.19.1.2014916,Three Methods to Calculate the Probability of Ruin,François Dufresne /// Hans U. Gerber,1989,ASTIN Bulletin,"aff1 /// University of Lausanne ///  /// ,  /// Switzerland /// "
"Ecumenical Institute, Geneva, Switzerland",,10.2307/3164120,http://dx.doi.org/10.2307/3164120,,Romert F. Smylie,1974,Church History: Studies in Christianity and Culture,"aff1 /// Ecumenical Institute ///  /// ,  /// Geneva ///  /// ,  /// Switzerland /// "
"I.U.C.N., 1110 Morges, Switzerland.",,10.1017/S037689290000151X,http://dx.doi.org/10.1017/S037689290000151X,"Central American Meeting on Management of Natural and Cultural Resources, held in San José, Costa Rica, 19–24 December 1974",Gerardo Budowski,1975,Environmental Conservation,"aff1 /// I.U.C.N. ///  /// ,  /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"I.U.C.N., 1110 Morges, Switzerland.",,10.1017/S0376892900026333,http://dx.doi.org/10.1017/S0376892900026333,"Meeting on Man and the Biosphere Programme in the Mediterranean Region, held at Side on the South Coast of Turkey, 5–11 June 1977",Duncan Poore,1977,Environmental Conservation,"aff1 /// I.U.C.N. ///  /// ,  /// 1110 Morges ///  /// ,  /// Switzerland ///  /// ."
"Villars-sur-Ollon, Switzerland",,10.1017/S0003055400140146,http://dx.doi.org/10.1017/S0003055400140146,,Frederic S. Burin,1972,American Political Science Review,"aff1 /// Villars-sur-Ollon ///  /// ,  /// Switzerland /// "
"University HospitalZurich, Switzerland",University of Zurich,10.1086/503405,http://dx.doi.org/10.1086/503405,The Economic Impact of Influenza in a University Hospital Setting,Thomas D. Szucs /// Christian Ruef /// Daniela Müller /// E. Sokolovic /// Iris Beeler /// Wolfjgang Ostermayer,2001,Infection Control & Hospital Epidemiology,"aff1 /// University Hospital ///  /// Zurich ///  /// ,  /// Switzerland /// "
"CABI Bioscience Centre Switzerland, CH-2800 Delémont, Switzerland",,10.1017/S0007485300000419,http://dx.doi.org/10.1017/S0007485300000419,"Life history of  (Hymenoptera: Ichneumonidae) a cocoon parasitoid of the apple sawfly,  (Hymenoptera: Tenthredinidae)",D. Babendreier,2000,Bulletin of Entomological Research,"aff1 /// CABI Bioscience Centre Switzerland ///  /// ,  /// CH-2800 Delémont ///  /// ,  /// Switzerland /// "
"University of Lausanne, Switzerland",University of Lausanne,10.2143/AST.26.1.563235,http://dx.doi.org/10.2143/AST.26.1.563235,Estimating the Probability of Ruin for Variable Premiums by Simulation,Frédéric Michaud,1996,ASTIN Bulletin,"aff1 /// University of Lausanne ///  /// ,  /// Switzerland /// "
"Ecumenical Institute Céligny, Switzerland",,10.2307/3165728,http://dx.doi.org/10.2307/3165728,,William D. Carpe,1985,Church History: Studies in Christianity and Culture,"aff1 /// Ecumenical Institute Céligny ///  /// ,  /// Switzerland /// "
"I.U.C.N., 1196 Gland, Switzerland.",,10.1017/S0376892900002940,http://dx.doi.org/10.1017/S0376892900002940,Towards a World Strategy of Conservation,David A. Munro,1979,Environmental Conservation,"aff1 /// I.U.C.N. ///  /// ,  /// 1196 Gland ///  /// ,  /// Switzerland ///  /// ."
"University of Fribourg, Switzerland",University of Fribourg,10.1017/S0022216X08004422,http://dx.doi.org/10.1017/S0022216X08004422,,MARIANO DELGADO,2008,Journal of Latin American Studies,"aff001 /// University of Fribourg ///  /// ,  /// Switzerland /// "
"University of Bern, Switzerland",University of Bern,10.1017/S0047404500007958,http://dx.doi.org/10.1017/S0047404500007958,,Wendy E. Redlinger,1980,Language in Society,"aff1 /// University of Bern ///  /// ,  /// Switzerland /// "
"University of Basel, Switzerland.",University of Basel,10.1017/S0016756800174710,http://dx.doi.org/10.1017/S0016756800174710,II.—Note on certain Impressions of Echinoderms observed on the Sandstone Slabs in which the Skeletons of  and  are preserved,Rudolf Burckhardt,1901,Geological Magazine,"aff1 /// University of Basel ///  /// ,  /// Switzerland ///  /// ."
"University of Basel, Switzerland",University of Basel,10.1017/S0017816009000030,http://dx.doi.org/10.1017/S0017816009000030,From “Linguistic Turn” and Hebrews Scholarship to : The Enigma of a Structure,Gabriella Gelardini,2009,Harvard Theological Review,"aff001 /// University of Basel, Switzerland /// "
"University Hospital Basel, Switzerland",University of Basel,10.1017/S0195941700071939,http://dx.doi.org/10.1017/S0195941700071939,,Andreas F. Widmer,2000,Infection Control & Hospital Epidemiology,"aff1 /// University Hospital Basel ///  /// ,  /// Switzerland /// "
"University Hospital, Basil, Switzerland",,10.1086/646570,http://dx.doi.org/10.1086/646570,Parenteral Versus Oral Antimicrobials,Andreas F. Widmer,1992,Infection Control & Hospital Epidemiology,"aff1 /// University Hospital ///  /// ,  /// Basil ///  /// ,  /// Switzerland /// "
"University of Lausanne, Switzerland",University of Lausanne,10.1017/S0515036100004700,http://dx.doi.org/10.1017/S0515036100004700,A Remark on the Principle of Zero Utility,Hans U. Gerber,1982,ASTIN Bulletin,"aff1 /// University of Lausanne ///  /// ,  /// Switzerland /// "
"University of Geneva, Switzerland",University of Geneva,10.1017/S0714980800004475,http://dx.doi.org/10.1017/S0714980800004475,Do “Young-Old” Exercisers Feel Better Than Sedentary Persons? A Cohort Study in Switzerland,Christian J. Lalive d'Epinay /// Jean-François Bickel,2003,Canadian Journal on Aging / La Revue canadienne du vieillissement,"aff1 /// University of Geneva ///  /// ,  /// Switzerland /// "
"University of Bern, Switzerland",University of Bern,10.1017/S1358246110000123,http://dx.doi.org/10.1017/S1358246110000123,Is There a Metaphysics of Consciousness Without a Phenomenology of Consciousness? Some Thoughts Derived from Husserl's Philosophical Phenomenology,Eduard Marbach,2010,Royal Institute of Philosophy Supplement,"aff1 /// University of Bern ///  /// ,  /// Switzerland /// "
"Franklin College, Sorengo, Switzerland",,10.1017/S1047759400014896,http://dx.doi.org/10.1017/S1047759400014896,An atrium house of the 6th c. B.C. at Rosselle,Erik Nielsen,1997,Journal of Roman Archaeology,"aff1 /// Franklin College ///  /// ,  /// Sorengo ///  /// ,  /// Switzerland /// "
"Universität Bern, Bern, Switzerland",University of Bern,10.2307/2273597,http://dx.doi.org/10.2307/2273597,Model companions of distributive -algebras,Jürg Schmid,1982,The Journal of Symbolic Logic,"aff1 /// Universität Bern ///  /// ,  /// Bern ///  /// ,  /// Switzerland /// "
"University Hospital Basel, Switzerland",University of Basel,10.1017/S0195941700003398,http://dx.doi.org/10.1017/S0195941700003398,Bloodstream Infection From a Port-A-Cath: Successful Treatment With the Antibiotic Lock Technique,Thomas Bregenzer /// Andreas F. Widmer,1996,Infection Control,"aff1 /// University Hospital Basel ///  /// ,  /// Switzerland /// "
