Matching Affiliation,Institution Guess,doi,url,Article Title,Authors,Year,Journal Title,All Affiliations
"Cardiology Center, University Hospital, Geneva, Switzerland",University of Geneva,10.1515/bmte.1996.41.s1.184,http://dx.doi.org/10.1515/bmte.1996.41.s1.184,"A ""Multipurpose"" 3D-Reconstruction Technique for Biplane Angiocardiography",P.-A. Doriot /// P.-A. Dorsaz /// L. Dorsaz /// W. Rutishauser,1996,Biomedizinische Technik/Biomedical Engineering,"aff1 /// Cardiology Center, University Hospital, Geneva, Switzerland"
"University of Neuch�tel, Switzerland",,10.1515/lpp-2012-0004,http://dx.doi.org/10.1515/lpp-2012-0004,Cognitive Pragmatics Ways into Discourse Analysis: the Case of Discursive Presuppostions,Louis de Saussure,2012,Lodz Papers in Pragmatics,"aff1 /// 1 ///  /// University of Neuch�tel, Switzerland"
"University of Geneva, Geneva, Switzerland",University of Geneva,10.1515/applirev-2015-0001,http://dx.doi.org/10.1515/applirev-2015-0001,Rethinking Reader and Writer Responsibility in Academic English,Ian MacKenzie,2015,Applied Linguistics Review,"aff1 /// 1 ///  /// University of Geneva, Geneva, Switzerland"
"University of Fribourg, Fribourg, Switzerland",University of Fribourg,10.1515/humor-2015-0072,http://dx.doi.org/10.1515/humor-2015-0072,Simon Dickie: Cruelty and laughter: Forgotten comic literature and the unsentimental eighteenth century,Ralph Mueller,2015,HUMOR,"aff1 /// 1 ///  /// University of Fribourg, Fribourg, Switzerland"
"Cardiology Center, University Hospital, Geneva, Switzerland",University of Geneva,10.1515/bmte.1994.39.s1.58,http://dx.doi.org/10.1515/bmte.1994.39.s1.58,IMPROVED ANGIOGRAPHIC MEASUREMENT OF CORONARY ARTERY BLOOD FLOW,P.-A. Dorsaz /// L. Dorsaz /// P.-A. Doriot /// W. Rutishauser,1994,Biomedizinische Technik/Biomedical Engineering,"aff1 /// Cardiology Center, University Hospital, Geneva, Switzerland"
"AVL Biomedical Instruments, Schaffhausen / Switzerland",,10.1515/bmte.1988.33.s3.30,http://dx.doi.org/10.1515/bmte.1988.33.s3.30,Pulsox-7. Ein universell einsetzbares Pulsoximeter,H. Schwitter,1988,Biomedizinische Technik/Biomedical Engineering,"aff1 /// AVL Biomedical Instruments, Schaffhausen / Switzerland"
"Swiss Paraplegic Centre Nottwil, Switzerland",,10.1515/bmt-2013-4029,http://dx.doi.org/10.1515/bmt-2013-4029,Prevention of Orthostatic Hypotension with Electric Stimulation in Persons with Acute Spinal Cord Injury,S. Tesini /// A. Frotzler /// I. Bersch /// A. Tobón,2013,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// Swiss Paraplegic Centre Nottwil, Switzerland"
"Swiss Paraplegic Centre Nottwil, Switzerland",,10.1515/bmt-2013-4030,http://dx.doi.org/10.1515/bmt-2013-4030,Functional Electrical Stimulation in Spinal Cord Injury: Clinical Evidence versus Daily Practice,I. Bersch /// A. Frotzler /// M. Baumberger,2013,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// Swiss Paraplegic Centre Nottwil, Switzerland"
" University of Zurich, Zurich, Switzerland  ",University of Zurich,10.1515/psicl-2012-0028,http://dx.doi.org/10.1515/psicl-2012-0028,The pronunciation of voiced obstruents in L2 French: A preliminary study of Swiss German learners,Stephan Schmid,2012,Poznań Studies in Contemporary Linguistics,"aff.0001 ///  University of Zurich, Zurich, Switzerland  "
"University of Geneva, Geneva, Switzerland",University of Geneva,10.1515/jelf-2015-0024,http://dx.doi.org/10.1515/jelf-2015-0024,Response to Sabine Fiedler,Ian MacKenzie,2015,Journal of English as a Lingua Franca,"aff1 /// 1 ///  /// University of Geneva, Geneva, Switzerland"
"University of Geneva, Geneva, Switzerland",University of Geneva,10.1515/ijsl-2015-0013,http://dx.doi.org/10.1515/ijsl-2015-0013,"Equal status, but unequal perceptions: language conflict in the bilingual city of Biel/Bienne",Daniel Elmiger,2015,International Journal of the Sociology of Language,"aff1 /// 1 ///  /// University of Geneva, Geneva, Switzerland"
"University of Basel, Switzerland",University of Basel,10.1515/eujal-2015-0009,http://dx.doi.org/10.1515/eujal-2015-0009,THE DYLAN Project: “Language Dynamics and Management of Diversity”,Anne-Claude Berthoud /// François Grin /// Georges Lüdi,2015,European Journal of Applied Linguistics,"aff1 /// 1 ///  /// University of Lausanne, Switzerland /// aff2 /// 2 ///  /// University of Geneva, Switzerland /// aff3 /// 3 ///  /// University of Basel, Switzerland"
"Clinical Chemistry, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland",,10.1515/CCLM.2011.155,http://dx.doi.org/10.1515/CCLM.2011.155,Comparison of thyroglobulin antibody interference in first- and second-generation thyroglobulin immunoassays,Luca Giovanella /// Luca Ceriani,2011,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// Nuclear Medicine and Thyroid Centre, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland /// aff2 /// 2 ///  /// Clinical Chemistry, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland"
"International Cycling Union, Aigle, Switzerland",,10.1515/CCLM.2011.659,http://dx.doi.org/10.1515/CCLM.2011.659,The Athlete Biological Passport from the perspective of an anti-doping organization,Mario Zorzoli,2011,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// International Cycling Union, Aigle, Switzerland"
"University of Geneva, Switzerland",University of Geneva,10.1515/jelf-2014-0023,http://dx.doi.org/10.1515/jelf-2014-0023,ELF and the alternatives,Ian MacKenzie,2014,Journal of English as a Lingua Franca,"aff1 /// 1 ///  /// University of Geneva, Switzerland"
,,10.2202/1554-4567.1018,http://dx.doi.org/10.2202/1554-4567.1018,The Right to Confrontation after : A 'Continental European' Perspective,Sarah J Summers,2004,International Commentary on Evidence,"a1 /// Researcher, University of Zurich, Switzerland /// "
"MBT Switzerland, Zürich, Schweiz",,10.1515/rbm-1998-5292,http://dx.doi.org/10.1515/rbm-1998-5292,Kapillares Eindringen von Wasser und Salzlösungen in Beton / Penetration of Water and Salt Solutions into Concrete by Capillary Suction,P. Lunk,1998,Restoration of Buildings and Monuments,"aff1 /// 1 ///  /// MBT Switzerland, Zürich, Schweiz"
"Institute for Biomechanics, ETH Zurich, Switzerland",ETH Zurich,10.1515/bmt-2013-4203,http://dx.doi.org/10.1515/bmt-2013-4203,Electrospinning Auricular Shaped Scaffolds for Tissue Engineering,Jochen Walser /// Marco D. Caversaccio /// Stephen J. Ferguson,2013,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// Institute for Biomechanics, ETH Zurich, Switzerland 2Inselspital, University of Bern, Switzerland /// aff2 /// 2 ///  /// Inselspital, University of Bern, Switzerland /// aff3 /// 3 ///  /// Institute for Biomechanics, ETH Zurich, Switzerland"
"Cardiology Center, University Hospital, Geneva, Switzerland",University of Geneva,10.1515/bmte.1994.39.s1.23,http://dx.doi.org/10.1515/bmte.1994.39.s1.23,Three- and Four-Dimensional Cardiovascular Ultrasound Imaging,C. Vuille /// R. Lerch /// F. Ricou. /// S. Burgan /// F. Weber /// W. Rutishauser,1994,Biomedizinische Technik/Biomedical Engineering,"aff1 /// Cardiology Center, University Hospital, Geneva, Switzerland"
"University of Fribourg, Switzerland",University of Fribourg,10.1515/humor-2013-0057,http://dx.doi.org/10.1515/humor-2013-0057,Book Review,Ralf Müller,2014,HUMOR,"aff1 /// 1 ///  /// University of Fribourg, Switzerland"
" University of Zurich, Switzerland  ",University of Zurich,10.2478/psicl-2011-0014,http://dx.doi.org/10.2478/psicl-2011-0014,Morphological complexity without abstractness: Italo-Romance metaphony,Michele  Loporcaro,2011,Poznań Studies in Contemporary Linguistics,"aff.0001 ///  University of Zurich, Switzerland  "
"University Hospital Lausanne, Lausanne, Switzerland",University of Lausanne,10.1515/JLM.2006.049,http://dx.doi.org/10.1515/JLM.2006.049,"Drug monographs on drugs which are frequently analysed in the context of Therapeutic Drug Monitoring / Arzneimittel-Monographien für Medikamente, die regelmäßig im Rahmen des Therapeutic Drug Monitorings analysiert werden",Working group “Drug Monitoring” of the SSCC (Arbeitsgruppe Medikamente der SGKC): Katharina Rentsch (President) /// Pierre Baumann /// Marc Fathi /// Nathalie Grignaschi /// Jean-Luc Magnin /// Wolfgang Thormann /// Liliane Todesco /// Markus Wenk /// Dominique Werner,2006,LaboratoriumsMedizin,"a1 /// 1.  ///  /// University Hospital Zurich, Zurich, Switzerland /// a2 /// 2.  ///  /// University Hospital Prilly-Lausanne, Lausanne, Switzerland /// a3 /// 3.  ///  /// University Hospital Geneva, Geneva, Switzerland /// a4 /// 4.  ///  /// University Hospital Basle, Basle, Switzerland /// a5 /// 5.  ///  /// Kantonsspital Freiburg, Freiburg, Switzerland /// a6 /// 6.  ///  /// University of Berne, Berne, Switzerland /// a7 /// 7.  ///  /// University Hospital Basle, Basle, Switzerland /// a8 /// 8.  ///  /// University Hospital Basle, Basle, Switzerland /// a9 /// 9.  ///  /// University Hospital Lausanne, Lausanne, Switzerland"
"Université de Genève, Switzerland",University of Geneva,10.1515/tillich-2015-0104,http://dx.doi.org/10.1515/tillich-2015-0104,La radicalité eschatologique de l’éthique et la dimension théonomique de l’autonomie.,Denis Müller,2015,International Yearbook for Tillich Research,"aff1 /// 1 ///  /// Université de Genève, Switzerland"
"Swiss Federal Institute of Technology, Zurich, Switzerland",ETH Zurich,10.1515/BMT.2008.001,http://dx.doi.org/10.1515/BMT.2008.001,"A simple video-based system for examining irregularities in very slow, smooth-pursuit eye movements in cancer patients / Ein einfaches Videosystem zur Untersuchung der Irregularitäten langsamer Augenfolgebewegungen bei Krebspatienten",Marino Menozzi /// Kaspar Rhyner /// Alena Joestl /// Hanspeter Stähli /// Esther Bergande,2008,Biomedizinische Technik,"a1 /// 1 ///  /// Swiss Federal Institute of Technology, Zurich, Switzerland /// a2 /// 2 ///  /// Kantonsspital Glarus, Glarus, Switzerland /// a3 /// 3 ///  /// HerbAquatic, Glarus, Switzerland /// a4 /// 4 ///  /// Kantonsspital Glarus, Glarus, Switzerland /// a5 /// 5 ///  /// Swiss Federal Institute of Technology, Zurich, Switzerland"
"University of Applied Sciences and Arts Northwestern Switzerland, Muttenz, Switzerland",,10.1515/bmt-2012-4176,http://dx.doi.org/10.1515/bmt-2012-4176,Detection of localized overload during the bedding of patient as an alarm system for decubitus prophylaxes,S. Böhringer /// Ch. Suter /// M. Jeker /// D. Hradetzky,2012,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// University of Applied Sciences and Arts Northwestern Switzerland, Muttenz, Switzerland /// aff2 /// 2 ///  /// University of Applied Sciences and Arts Northwestern Switzerland, Muttenz, Switzerland /// aff3 /// 3 ///  /// University of Applied Sciences and Arts Northwestern Switzerland, Muttenz, Switzerland /// aff4 /// 4 ///  /// University of Applied Sciences and Arts Northwestern Switzerland, Muttenz, Switzerland"
"University Hospital Lausanne, Lausanne, Switzerland",University of Lausanne,10.1515/JLM.2008.047,http://dx.doi.org/10.1515/JLM.2008.047,"Monographs on drugs which are frequently analyzed in therapeutic drug monitoring / Arzneimittel-Monographien für Medikamente, die regelmäßig im Rahmen des Therapeutic Drug Monitorings analysiert werden",Working group “Drug Monitoring” of the SSCC: Katharina Rentsch /// Chin Bin Eap /// Marc Fathi /// Nathalie Grignaschi /// Jean-Luc Magnin /// Wolfgang Thormann /// Liliane Todesco /// Dominique Werner,2008,LaboratoriumsMedizin,"a1 /// 1 ///  /// University Hospital Zurich, Zurich,  Switzerland /// a2 /// 2 ///  /// University Hospital Lausanne, Lausanne, Switzerland /// a3 /// 3 ///  /// University Hospital Geneva, Geneva, Switzerland /// a4 /// 4 ///  /// University Hospital Basle, Basle, Switzerland /// a5 /// 5 ///  /// Kantonsspital Freiburg, Freiburg, Switzerland /// a6 /// 6 ///  /// University of Berne, Berne, Switzerland /// a7 /// 7 ///  /// University Hospital Basle, Basle, Switzerland /// a8 /// 8 ///  /// University Hospital Lausanne, Lausanne, Switzerland"
"Institute for Medical- and Analytical technologies, University of Applied Sciences Northwestern Switzerland, Muttenz, Switzerland",,10.1515/bmt-2012-4197,http://dx.doi.org/10.1515/bmt-2012-4197,Simulation study of artifacts in Computed Tomography caused by metal implants,Gregor Imboden /// Erik Schkommodau,2012,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// Institute for Medical- and Analytical technologies, University of Applied Sciences Northwestern Switzerland, Muttenz, Switzerland"
"Kantonsspital Frauenfeld, Switzerland",,10.1515/JPM.2009.042,http://dx.doi.org/10.1515/JPM.2009.042,Pregnant women's perception of cesarean section on demand,Sibil Tschudin /// Judith Alder /// Stephanie Hendriksen /// Johannes Bitzer /// Karoline Aebi Popp /// Rosanna Zanetti /// Irene Hösli /// Wolfgang Holzgreve /// Verena Geissbühler,2009,Journal of Perinatal Medicine,"aff1 /// 1 ///  /// Department of Obstetrics and Gynecology, University of Basel, Switzerland /// aff2 /// 2 ///  /// Kantonsspital Frauenfeld, Switzerland"
"University Hospital Lausanne, Lausanne, Switzerland",University of Lausanne,10.1515/labmed-2012-0002,http://dx.doi.org/10.1515/labmed-2012-0002,"Monographs on drugs which are frequently analyzed in therapeutic drug monitoring/Arzneimittel-Monographien für Medikamente, die regelmäßig im Rahmen des Therapeutic Drug Monitorings analysiert werden",Working Group “Drug Monitoring” of the SSCC: /// Katharina Rentsch /// Daniela Buhl /// Chin Bin Eap /// Marc Fathi /// Wolfgang Jöchle /// Jean-Luc Magnin /// Wolfgang Thormann /// Dominique Werner,2012,LaboratoriumsMedizin,"aff1 /// 1 ///  /// University Hospital Zurich, Zurich, Switzerland /// aff2 /// 2 ///  /// University Hospital Bern, Bern, Switzerland /// aff3 /// 3 ///  /// University Hospital Lausanne, Lausanne, Switzerland /// aff4 /// 4 ///  /// University Hospital Geneva, Geneva, Switzerland /// aff5 /// 5 ///  /// University Hospital Basel, Basel, Switzerland /// aff6 /// 6 ///  /// Kantonsspital Freiburg, Freiburg, Switzerland /// aff7 /// 7 ///  /// University of Bern, Bern, Switzerland /// aff8 /// 8 ///  /// University Hospital Lausanne, Lausanne, Switzerland"
"University of Bern, Bern, Switzerland",University of Bern,10.1515/jlm.2011.011,http://dx.doi.org/10.1515/jlm.2011.011,"Monographs on drugs which are frequently analyzed in therapeutic drug monitoring/Arzneimittel-Monographien für Medikamente, die regelmäßig im Rahmen des Therapeutic Drug Monitorings analysiert werden",Katharina Rentsch /// Daniela Buhl /// Chin Bin Eap /// Marc Fathi /// Wolfgang Thormann /// Dominique Werner,2011,LaboratoriumsMedizin,"aff1 /// 1 ///  /// University Hospital Zürich, Zürich, Switzerland /// aff2 /// 2 ///  /// University Hospital Bern, Bern, Switzerland /// aff3 /// 3 ///  /// University Hospital Lausanne, Lausanne, Switzerland /// aff4 /// 4 ///  /// University Hospital Geneva, Geneva, Switzerland /// aff5 /// 5 ///  /// University of Bern, Bern, Switzerland"
"Concretum Construction Science AG, Zurich, Switzerland",,10.1515/rbm-2005-6004,http://dx.doi.org/10.1515/rbm-2005-6004,Determination of the Required Adhesive Strength of Passive Fire Protection Mortars on Concrete Substrates / Berechnung der notwendigen Haftzugfestigkeit passiver Feuerschutzmörtel auf Beton,A. Walliser /// G. Martinola /// M. F. Bäuml,2005,Restoration of Buildings and Monuments,"aff1 /// 1 ///  /// Degussa Underground Construction (UGC), Zurich, Switzerland /// aff2 /// 2 ///  /// Concretum Construction Science AG, Zurich, Switzerland"
"University Hospital Lausanne, Lausanne, Switzerland",University of Lausanne,10.1515/jlm.2010.024,http://dx.doi.org/10.1515/jlm.2010.024,"Monographs on drugs which are frequently analyzed in therapeutic drug monitoring / Arzneimittel-Monographien für Medikamente, die regelmäßig im Rahmen des Therapeutic Drug Monitorings analysiert werden",Working group “Drug Monitoring” of the SSCC: Katharina Rentsch /// Daniela Buhl /// Chin Bin Eap /// Marc Fathi /// Wolfgang Jöchle /// Jean-Luc Magnin /// Wolfgang Thormann /// Dominique Werner,2010,LaboratoriumsMedizin,"aff1 /// 1 ///  /// University Hospital Zurich, Zurich, Switzerland /// aff2 /// 2 ///  /// University Hospital Bern, Bern, Switzerland /// aff3 /// 3 ///  /// University Hospital Lausanne, Lausanne, Switzerland /// aff4 /// 4 ///  /// University Hospital Geneva, Geneva, Switzerland /// aff5 /// 5 ///  /// University Hospital Basel, Basel, Switzerland /// aff6 /// 6 ///  /// Kantonsspital Freiburg, Freiburg, Switzerland /// aff7 /// 7 ///  /// University of Bern, Bern, Switzerland /// aff8 /// 8 ///  /// University Hospital Lausanne, Lausanne, Switzerland"
"CSEM Alpnach, Alpnach Dorf, Switzerland",,10.1515/teme-2014-1006,http://dx.doi.org/10.1515/teme-2014-1006,Automated fault detection using deep belief             networks for the quality inspection of             electromotors,Jianwen Sun /// Reto Wyss /// Alexander Steinecker /// Philipp Glocker,2014,tm - Technisches Messen,"aff1 /// 1 ///  /// CSEM Alpnach/Institute of Neuroinformatics, University/ETH Zürich, Switzerland ///  /// aff2 /// 2 ///  /// ViDi Systems SA, Villaz-St-Pierre, Switzerland ///  /// aff3 /// 3 ///  /// CSEM Alpnach, Alpnach Dorf, Switzerland /// "
"ETH Zürich, Institut für Geophysik, Zürich, Switzerland",ETH Zurich,10.1515/HF.2006.094,http://dx.doi.org/10.1515/HF.2006.094,A simple anisotropy correction procedure for acoustic wood tomography,Hansruedi Maurer /// Sandy Isabelle Schubert /// Fritz Bächle /// Sebastian Clauss /// Daniel Gsell /// Jürg Dual /// Peter Niemz,2006,Holzforschung,"a1 /// 1.  ///  /// ETH Zürich, Institut für Geophysik, Zürich, Switzerland /// a2 /// 2.  ///  /// EMPA, Dübendorf, Switzerland /// a3 /// 3.  ///  /// ETH Zürich, Institut für Geophysik, Zürich, Switzerland /// a4 /// 4.  ///  /// ETH Zürich, Institut für Geophysik, Zürich, Switzerland /// a5 /// 5.  ///  /// EMPA, Dübendorf, Switzerland /// a6 /// 6.  ///  /// ETH Zürich, Institut für Geophysik, Zürich, Switzerland /// a7 /// 7.  ///  /// ETH Zürich, Institut für Geophysik, Zürich, Switzerland"
"Department of Nuclear Medicine, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland and Department of Clinical Chemistry and Laboratory Medicine-EOLAB, Cantonal Hospital, Bellinzona, Switzerland",,10.1515/CCLM.2007.050,http://dx.doi.org/10.1515/CCLM.2007.050,Is simultaneous measurement of anti-thyroid peroxidase and anti-thyroglobulin antibodies clinically useful in patients with thyroid dysfunction?,Luca Giovanella,2007,Clinical Chemical Laboratory Medicine,"a1 /// 1.  ///  /// Department of Nuclear Medicine, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland and Department of Clinical Chemistry and Laboratory Medicine-EOLAB, Cantonal Hospital, Bellinzona, Switzerland"
"University of Basel, Biomaterials Science Center, Basel, Switzerland.",University of Basel,10.1515/bmt-2012-4356,http://dx.doi.org/10.1515/bmt-2012-4356,Controlling Mechanical Properties of NiTi Scaffolds built by Selective Laser Melting,T. Bormann /// R. Schumacher /// B. Müller /// M. de Wild,2012,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// University of Applied Sciences Northwestern Switzerland, IMA, Muttenz, Switzerland /// aff2 /// 2 ///  /// University of Basel, Biomaterials Science Center, Basel, Switzerland."
"Paul Scherrer Institut, CH-5232 Villigen PSI, Switzerland also at Laboratorium für Radiochemie, Universität Bern, Switzerland",University of Bern,10.1524/ract.1994.64.34.247,http://dx.doi.org/10.1524/ract.1994.64.34.247,"Sorption of Strontium on Unconsolidated Glaciofluvial Deposits and Clay Minerals; Mutual Interference of Cesium, Strontium and Barium",A. Grütter /// Η. R. von Gunten /// E. Rössler /// R. Keil,1994,Radiochimica Acta,"aff1 /// 1 ///  /// Paul Scherrer Institut, CH-5232 Villigen PSI, Switzerland /// aff2 /// 2 ///  /// Paul Scherrer Institut, CH-5232 Villigen PSI, Switzerland also at Laboratorium für Radiochemie, Universität Bern, Switzerland"
"Medivation AG, Dorfstrasse 69, CH-5210 Windisch, Switzerland",,10.1515/bmt-2012-4500,http://dx.doi.org/10.1515/bmt-2012-4500,A robust and accurate segmentation of the knee bones from CT data,Alex Ringenbach /// Tobias Schwägli,2012,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// Institute for Medical and Analytical Technologies, University of Applied Sciences Northwestern Switzerland, CH-4132 Muttenz, Switzerland /// aff2 /// 2 ///  /// Medivation AG, Dorfstrasse 69, CH-5210 Windisch, Switzerland"
"Olsen & Associates, Zurich, Switzerland",,10.2202/1558-3708.1066,http://dx.doi.org/10.2202/1558-3708.1066,Time-to-Expiry Seasonalities in Eurofutures,Giuseppe Ballocchi /// Michael Dacorogna /// Ramazan Gençay /// Barbara Piccinato,2001,Studies in Nonlinear Dynamics & Econometrics,"a1 /// 1 ///  /// Olsen & Associates, Zurich, Switzerland /// a2 /// 2 ///  /// Olsen & Associates, Zurich, Switzerland /// a3 /// 3 ///  /// University of Windsor /// a4 /// 4 ///  /// Olsen & Associates, Zurich, Switzerland"
"Kantonsspital Aarau AG, Aargau, Switzerland",,10.1515/bmt-2013-4400,http://dx.doi.org/10.1515/bmt-2013-4400,Removal of Small-Sized Kidney Stones Fragments Using Inverted Flushing Procedure in Ureteroscopy,D Hradetzky /// K Strub /// T Sepassi /// T Möltgen,2013,Biomedical Engineering / Biomedizinische Technik,"aff1 /// 1 ///  /// Insitute for Medical and Analytical Technologies, University of Applied Sciences and Arts Northwestern Switzerland, Switzerland /// aff2 /// 2 ///  /// Kantonsspital Aarau AG, Aargau, Switzerland"
"Criblet 13, CH-1700 Fribourg/Freiburg, Switzerland",,10.1515/cercles-2011-0027,http://dx.doi.org/10.1515/cercles-2011-0027,The eye of the beholder: Is English as a Lingua Franca in academic settings a monolingual or multilingual practice?,Iris Schaller-Schwaner,2012,Language Learning in Higher Education,"aff1 /// 1 ///  /// Criblet 13, CH-1700 Fribourg/Freiburg, Switzerland"
"Institute of Process Engineering, ETH Zürich, Zürich, Switzerland",ETH Zurich,10.1515/hf.2010.006,http://dx.doi.org/10.1515/hf.2010.006,Analysis of products from the oxidation of technical lignins by oxygen and HPMoO in water and aqueous methanol by size-exclusion chromatography,Tobias Voitl /// Marina V. Nagel /// Philipp Rudolf von Rohr,2010,Holzforschung,"aff1 /// 1 ///  /// Institute of Process Engineering, ETH Zürich, Zürich, Switzerland"
"ETH Zürich, Rämisstrasse 101, 8092 Zürich, Switzerland",ETH Zurich,10.1515/acv-2012-0106,http://dx.doi.org/10.1515/acv-2012-0106,Almost complex structures and calibrated integral cycles in contact 5-manifolds,Costante Bellettini,2013,Advances in Calculus of Variations,"aff1 /// 1 ///  /// ETH Zürich, Rämisstrasse 101, 8092 Zürich, Switzerland"
"Biozentrum der Universität Basel, CH-4056 Basel, Switzerland",University of Basel,10.1515/bc.2010.079,http://dx.doi.org/10.1515/bc.2010.079,"The type III secretion injectisome, a complex nanomachine for intracellular ‘toxin’ delivery",Guy R. Cornelis,2010,Biological Chemistry,"aff1 /// 1 ///  /// Biozentrum der Universität Basel, CH-4056 Basel, Switzerland"
"Department of Obstetrics, Zurich University Hospital, Switzerland",University of Zurich,10.1515/jpm.2010.032,http://dx.doi.org/10.1515/jpm.2010.032,Puerperal symphysis fundus distance: normal values,Sabine Frei /// Juozas Kurmanavicius /// Roland Zimmermann /// Ursula von Mandach,2010,Journal of Perinatal Medicine,"aff1 /// 1 ///  /// Department of Obstetrics, Zurich University Hospital, Switzerland"
