title_id	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
10474	Acta Mathematica Hungarica	0236-5294	1588-2632	1950	1	1	2016			http://link.springer.com/journal/10474			fulltext		Springer Netherlands	Serial							
10114	Acta Mathematica Sinica, English Series	1439-8516	1439-7617	1985	1	1	2016			http://link.springer.com/journal/10114			fulltext		Institute of Mathematics, Chinese Academy of Sciences and Chinese Mathematical Society	Serial							
10255	Acta Mathematicae Applicatae Sinica, English Series	0168-9673	1618-3932	1984	1	1	2016			http://link.springer.com/journal/10255			fulltext		Springer Berlin Heidelberg	Serial							
707	Acta Mechanica	0001-5970	1619-6937	1965	1	1	2016			http://link.springer.com/journal/707			fulltext		Springer Vienna	Serial							
10409	Acta Mechanica Sinica	0567-7718	1614-3116	2005	21	1	2016			http://link.springer.com/journal/10409			fulltext		"The Chinese Society of Theoretical and Applied Mechanics; Institute of Mechanics, Chinese Academy of Sciences"	Serial							
701	Acta Neurochirurgica	0001-6268	0942-0940	1950	1	1	2016			http://link.springer.com/journal/701			fulltext		Springer Vienna	Serial							
401	Acta Neuropathologica	0001-6322	1432-0533	1961	1	1	2016			http://link.springer.com/journal/401			fulltext		Springer Berlin Heidelberg	Serial							
13131	Acta Oceanologica Sinica	0253-505X	1869-1099	2010	29	1	2016			http://link.springer.com/journal/13131			fulltext		The Chinese Society of Oceanography	Serial							
12658	Acta physica Academiae Scientiarum Hungaricae	0001-6705		1951	1	1	1982	53	3	http://link.springer.com/journal/12658			fulltext		Springer Berlin Heidelberg	Serial							
12242	Acta Physica Hungarica	0231-4428		1983	54	1	1994	75	1	http://link.springer.com/journal/12242			fulltext		Springer-Verlag	Serial							
12657	Acta Physica Hungarica B) Quantum Electronics	1589-9535		2005	23	1	2009	26	1	http://link.springer.com/journal/12657			fulltext		Springer Berlin Heidelberg	Serial							
12656	Acta Physica Hungarica Series A, Heavy Ion Physics	1219-7580	1588-2675	1995	1	1	1996		4	http://link.springer.com/journal/12656			fulltext		Springer-Verlag	Serial							
11738	Acta Physiologiae Plantarum	0137-5881	1861-1664	2005	27	1	2016			http://link.springer.com/journal/11738			fulltext		Springer Berlin Heidelberg	Serial							
12402	ADHD Attention Deficit and Hyperactivity Disorders	1866-6116	1866-6647	2009	1	1	2014			http://link.springer.com/journal/12402			fulltext		Springer Vienna	Serial							
10488	Administration and Policy in Mental Health and Mental Health Services Research	0894-587X	1573-3289	1973	1	1	2016			http://link.springer.com/journal/10488			fulltext		Springer US	Serial							
10450	Adsorption	0929-5607	1572-8757	1995	1	1	2016			http://link.springer.com/journal/10450			fulltext		Springer US	Serial							
6	Advances in Applied Clifford Algebras	0188-7009	1661-4909	2005	15	1	2016			http://link.springer.com/journal/6			fulltext		Springer International Publishing	Serial							
376	Advances in Atmospheric Sciences	0256-1530	1861-9533	1984	1	1	2004	21	6	http://link.springer.com/journal/376			fulltext		Science Press	Serial							
10444	Advances in Computational Mathematics	1019-7168	1572-9044	1993	1	1	2016			http://link.springer.com/journal/10444			fulltext		Springer US	Serial							
10451	Advances in Contraception	0267-4874	1573-7195	1985	1	1	1996		4	http://link.springer.com/journal/10451			fulltext		Kluwer Academic Publishers	Serial							
10459	Advances in Health Sciences Education	1382-4996	1573-1677	1996	1	1	2016			http://link.springer.com/journal/10459			fulltext		Springer Netherlands	Serial							
12325	Advances in Therapy	0741-238X	1865-8652	2005	22	1	2013			http://link.springer.com/journal/12325			fulltext		Springer Healthcare	Serial							
10	Aequationes mathematicae	0001-9054	1420-8903	1968	1	1	2016			http://link.springer.com/journal/10			fulltext		Springer International Publishing	Serial							
10453	Aerobiologia	0393-5965	1573-3025	1985	1	1	2016			http://link.springer.com/journal/10453			fulltext		Springer Netherlands	Serial							
266	Aesthetic Plastic Surgery	0364-216X	1432-5241	1976	1	1	2016			http://link.springer.com/journal/266			fulltext		Springer US	Serial							
10437	African Archaeological Review	0263-0338	1572-9842	1983	1	1	2016			http://link.springer.com/journal/10437			fulltext		Springer US	Serial							
13370	Afrika Matematika	1012-9405	2190-7668	2011	22	1	2016			http://link.springer.com/journal/13370			fulltext		Springer Berlin Heidelberg	Serial							
12126	Ageing International	0163-5158	1936-606X	1974	1	2	2004	29	4	http://link.springer.com/journal/12126			fulltext		Springer US	Serial							
40520	Aging Clinical and Experimental Research		1720-8319	1989	1	1	2016			http://link.springer.com/journal/40520			fulltext		Springer International Publishing	Serial							
10460	Agriculture and Human Values	0889-048X	1572-8366	1984	1	2	2016			http://link.springer.com/journal/10460			fulltext		Springer Netherlands	Serial							
10457	Agroforestry Systems	0167-4366	1572-9680	1982	1	1	2016			http://link.springer.com/journal/10457			fulltext		Springer Netherlands	Serial							
13593	Agronomy for Sustainable Development	1774-0746	1773-0155	2007	27	1	2016			http://link.springer.com/journal/13593			fulltext		Springer Paris	Serial							
146	AI & SOCIETY	0951-5666	1435-5655	1987	1	1	2016			http://link.springer.com/journal/146			fulltext		Springer London	Serial							
10461	AIDS and Behavior	1090-7165	1573-3254	2005	9	1	2016			http://link.springer.com/journal/10461			fulltext		Springer US	Serial							
11869	Air Quality, Atmosphere & Health	1873-9318	1873-9326	2008	1	1	2016			http://link.springer.com/journal/11869			fulltext		Springer Netherlands	Serial							
10469	Algebra and Logic	0002-5232	1573-8302	1968	7	1	2016			http://link.springer.com/journal/10469			fulltext		Springer US	Serial							
12	Algebra universalis	0002-5240	1420-8911	1971	1	1	2016			http://link.springer.com/journal/12			fulltext		Springer International Publishing	Serial							
10468	Algebras and Representation Theory	1386-923X	1572-9079	2005	8	1	2016			http://link.springer.com/journal/10468			fulltext		Springer Netherlands	Serial							
453	Algorithmica	0178-4617	1432-0541	1986	1	1	2016			http://link.springer.com/journal/453			fulltext		Springer US	Serial							
15007	Allergo Journal	0941-8849	2195-6405	2005	14	1	2016			http://link.springer.com/journal/15007			fulltext		Springer Medizin	Serial							
10182	Allgemeines Statistisches Archiv	0002-6018	1614-0176	2005	89	1	2006	90	4	http://link.springer.com/journal/10182			fulltext		Springer Berlin Heidelberg	Serial							
35	Alpine Botany	1664-2201	1664-221X	2005	115	1	2016			http://link.springer.com/journal/35			fulltext		Springer International Publishing	Serial							
13280	Ambio	0044-7447	1654-7209	2010	39	1	2016			http://link.springer.com/journal/13280			fulltext		Springer Netherlands	Serial							
12103	American Journal of Criminal Justice	1066-2316	1936-1351	1975	1	1	2004	29	1	http://link.springer.com/journal/12103			fulltext		Springer US	Serial							
10465	American Journal of Dance Therapy	0146-3721	1573-3262	1977	1	1	2016			http://link.springer.com/journal/10465			fulltext		Springer US	Serial							
10620	American Journal of Digestive Diseases	0002-9211		1956	1	1	1978	23	12	http://link.springer.com/journal/10620			fulltext		Springer US	Serial							
12364	American journal of digestive diseases and nutrition	0092-5640		1934	1	1	1937	4	12	http://link.springer.com/journal/12364			fulltext		Springer US	Serial							
12230	American Journal of Potato Research	1099-209X	1874-9380	1923	1	1	2016			http://link.springer.com/journal/12230			fulltext		Springer US	Serial							
726	Amino Acids	0939-4451	1438-2199	1991	1	1	2016			http://link.springer.com/journal/726			fulltext		Springer Vienna	Serial							
10470	Analog Integrated Circuits and Signal Processing	0925-1030	1573-1979	1991	1	1	2016			http://link.springer.com/journal/10470			fulltext		Springer US	Serial							
10476	Analysis Mathematica	0133-3852	1588-273X	1975	1	1	2016			http://link.springer.com/journal/10476			fulltext		Springer Netherlands	Serial							
216	Analytical and Bioanalytical Chemistry	1618-2642	1618-2650	1862	1	1	2016			http://link.springer.com/journal/216			fulltext		Springer Berlin Heidelberg	Serial							
12565	Anatomical Science International	1447-6959	1447-073X	2005	80	1	2016			http://link.springer.com/journal/12565			fulltext		Springer Japan	Serial							
10456	Angiogenesis	0969-6970	1573-7209	2005	8	1	2016			http://link.springer.com/journal/10456			fulltext		Springer Netherlands	Serial							
10071	Animal Cognition	1435-9448	1435-9456	2005	8	1	2016			http://link.springer.com/journal/10071			fulltext		Springer Berlin Heidelberg	Serial							
12377	Annalen der Philosophie	0165-0106	1866-6167	1919	1	1	1921	3	1	http://link.springer.com/journal/12377			fulltext		Springer-Verlag	Serial							
12375	Annalen der Philosophie und philosophischen Kritik	1866-6175	1866-6175	1924	4	1	1929	8	1	http://link.springer.com/journal/12375			fulltext		Springer-Verlag	Serial							
23	Annales Henri Poincaré	1424-0637	1424-0661	2005	6	1	2016			http://link.springer.com/journal/23			fulltext		Springer International Publishing	Serial							
11565	ANNALI DELL'UNIVERSITA' DI FERRARA	0430-3202	1827-1510	1950	1	1	2016			http://link.springer.com/journal/11565			fulltext		Springer Milan	Serial							
40768	Annali di Matematica Pura ed Applicata (1858-1865)		0373-3114	1858	1	1	1865	7	1	http://link.springer.com/journal/40768			fulltext		Springer Berlin Heidelberg	Serial							
40769	Annali di Matematica Pura ed Applicata (1867-1897)		0373-3114	1867	1	1	1897	26	1	http://link.springer.com/journal/40769			fulltext		Springer Berlin Heidelberg	Serial							
40770	Annali di Matematica Pura ed Applicata (1898-1922)		0373-3114	1898	1	1	1922	31	1	http://link.springer.com/journal/40770			fulltext		Springer Berlin Heidelberg	Serial							
10231	Annali di Matematica Pura ed Applicata (1923 -)	0373-3114	1618-1891	1924	1	1	2016			http://link.springer.com/journal/10231			fulltext		Springer Berlin Heidelberg	Serial							
12160	Annals of Behavioral Medicine	0883-6612	1532-4796	2005	29	1	2012	44	3	http://link.springer.com/journal/12160			fulltext		Springer US	Serial							
10439	Annals of Biomedical Engineering	0090-6964	1573-9686	1972	1	1	2016			http://link.springer.com/journal/10439			fulltext		Springer US	Serial							
26	Annals of Combinatorics	0218-0006	0219-3094	2005	8	4	2016			http://link.springer.com/journal/26			fulltext		Springer International Publishing	Serial							
11881	Annals of Dyslexia	0736-9387	1934-7243	1955	5	1	2016			http://link.springer.com/journal/11881			fulltext		Springer US	Serial							
10436	Annals of Finance	1614-2446	1614-2454	2005	1	1	2016			http://link.springer.com/journal/10436			fulltext		Springer Berlin Heidelberg	Serial							
13595	Annals of Forest Science	1286-4560	1297-966X	2007	64	5	2016			http://link.springer.com/journal/13595			fulltext		Springer Paris	Serial							
10455	Annals of Global Analysis and Geometry	0232-704X	1572-9060	1983	1	1	2016			http://link.springer.com/journal/10455			fulltext		Springer Netherlands	Serial							
277	Annals of Hematology	0939-5555	1432-0584	1955	1	1	2016			http://link.springer.com/journal/277			fulltext		Springer Berlin Heidelberg	Serial							
10472	Annals of Mathematics and Artificial Intelligence	1012-2443	1573-7470	1990	2	1	2016			http://link.springer.com/journal/10472			fulltext		Springer International Publishing	Serial							
12149	Annals of Nuclear Medicine	0914-7187	1864-6433	1987	1	1	2016			http://link.springer.com/journal/12149			fulltext		Springer Japan	Serial							
10479	Annals of Operations Research	0254-5330	1572-9338	1984	1	1	2016			http://link.springer.com/journal/10479			fulltext		Springer US	Serial							
10480	Annals of Software Engineering	1022-7091	1573-7489	1995	1	1	1996		1	http://link.springer.com/journal/10480			fulltext		Kluwer Academic Publishers	Serial							
10434	Annals of Surgical Oncology	1068-9265	1534-4681	1994	1	1	2016			http://link.springer.com/journal/10434			fulltext		Springer International Publishing	Serial							
12243	Annals of Telecommunications	0003-4347	1958-9395	1946	1	1	2016			http://link.springer.com/journal/12243			fulltext		Springer Paris	Serial							
10463	Annals of the Institute of Statistical Mathematics	0020-3157	1572-9052	1949	1	1	2016			http://link.springer.com/journal/10463			fulltext		Springer Japan	Serial							
10482	Antonie van Leeuwenhoek	0003-6072	1572-9699	1934	1	1	2016			http://link.springer.com/journal/10482			fulltext		Springer International Publishing	Serial							
13592	Apidologie	0044-8435	1297-9678	2007	38	1	2016			http://link.springer.com/journal/13592			fulltext		Springer Paris	Serial							
10495	Apoptosis	1360-8185	1573-675X	1996	1	1	2016			http://link.springer.com/journal/10495			fulltext		Springer US	Serial							
200	Applicable Algebra in Engineering, Communication and Computing	0938-1279	1432-0622	1990	1	1	2016			http://link.springer.com/journal/200			fulltext		Springer Berlin Heidelberg	Serial							
10492	Applications of Mathematics	0862-7940	1572-9109	2005	50	1	2016			http://link.springer.com/journal/10492			fulltext		Springer Berlin Heidelberg	Serial							
12010	Applied Biochemistry and Biotechnology	0273-2289	1559-0291	1976	1	1	2016			http://link.springer.com/journal/12010			fulltext		Springer US	Serial							
10485	Applied Categorical Structures	0927-2852	1572-9095	1993	1	1	2016			http://link.springer.com/journal/10485			fulltext		Springer Netherlands	Serial							
10443	Applied Composite Materials	0929-189X	1573-4897	1994	1	1	2016			http://link.springer.com/journal/10443			fulltext		Springer Netherlands	Serial							
13355	Applied Entomology and Zoology	0003-6862	1347-605X	2011	46	1	2016			http://link.springer.com/journal/13355			fulltext		Springer Japan	Serial							
10489	Applied Intelligence	0924-669X	1573-7497	1991	1	1	2016			http://link.springer.com/journal/10489			fulltext		Springer US	Serial							
723	Applied Magnetic Resonance	0937-9347	1613-7507	1990	1	1	2016			http://link.springer.com/journal/723			fulltext		Springer Vienna	Serial							
245	Applied Mathematics & Optimization	0095-4616	1432-0606	1974	1	1	2016			http://link.springer.com/journal/245			fulltext		Springer US	Serial							
10483	Applied Mathematics and Mechanics	0253-4827	1573-2754	1980	1	1	2016			http://link.springer.com/journal/10483			fulltext		Shanghai University	Serial							
253	Applied Microbiology and Biotechnology	0175-7598	1432-0614	1975	2	1	2016			http://link.springer.com/journal/253			fulltext		Springer Berlin Heidelberg	Serial							
339	Applied Physics A	0947-8396	1432-0630	1973	1	1	2016			http://link.springer.com/journal/339			fulltext		Springer Berlin Heidelberg	Serial							
340	Applied Physics B	0946-2171	1432-0649	1981	26	1	2016			http://link.springer.com/journal/340			fulltext		Springer Berlin Heidelberg	Serial							
10484	Applied Psychophysiology and Biofeedback	1090-0586	1573-3270	1976	1	1	2016			http://link.springer.com/journal/10484			fulltext		Springer US	Serial							
11482	Applied Research in Quality of Life	1871-2584	1871-2576	2006	1	1	2016			http://link.springer.com/journal/11482			fulltext		Springer Netherlands	Serial							
10494	Applied Scientific Research		0003-6994	1966	16	1	1997	59	4	http://link.springer.com/journal/10494			fulltext		Springer Netherlands	Serial							
10494	Applied Scientific Research Section A	0365-7132		1949	1	1	1966	15	1	http://link.springer.com/journal/10494			fulltext		Springer Netherlands	Serial							
12380	Applied Scientific Research, Section B	0365-7140		1950	1	1	1965	12	5	http://link.springer.com/journal/12380			fulltext		Springer Netherlands	Serial							
12061	Applied Spatial Analysis and Policy	1874-463X	1874-4621	2008	1	1	2016			http://link.springer.com/journal/12061			fulltext		Springer Netherlands	Serial							
13313	APPS newsletter	0310-1266		1972	1	1	1978	7	1	http://link.springer.com/journal/13313			fulltext		Springer Netherlands	Serial							
10499	Aquaculture International	0967-6120	1573-143X	1993	1	1	2016			http://link.springer.com/journal/10499			fulltext		Springer International Publishing	Serial							
10452	Aquatic Ecology	1386-2588	1573-5125	1968	2	2	2016			http://link.springer.com/journal/10452			fulltext		Springer Netherlands	Serial							
10498	Aquatic Geochemistry	1380-6165	1573-1421	1995	1	1	2016			http://link.springer.com/journal/10498			fulltext		Springer Netherlands	Serial							
27	Aquatic Sciences	1015-1621	1420-9055	1920	1	1	2016			http://link.springer.com/journal/27			fulltext		Springer International Publishing	Serial							
13	Archiv der Mathematik	0003-889X	1420-8938	1948	1	1	2016			http://link.springer.com/journal/13			fulltext		Springer International Publishing	Serial							
12361	Archiv für mikroskopische Anatomie	0176-7364		1865	1	1	1923	97	4	http://link.springer.com/journal/12361			fulltext		Springer-Verlag	Serial							
10502	Archival Science	1389-0166	1573-7519	2005	5	1	2016			http://link.springer.com/journal/10502			fulltext		Springer Netherlands	Serial							
407	Archive for History of Exact Sciences	0003-9519	1432-0657	1960	1	1	2016			http://link.springer.com/journal/407			fulltext		Springer Berlin Heidelberg	Serial							
153	Archive for Mathematical Logic	0933-5846	1432-0665	1950	1	1	2016			http://link.springer.com/journal/153			fulltext		Springer Berlin Heidelberg	Serial							
205	Archive for Rational Mechanics and Analysis	0003-9527	1432-0673	1957	1	1	2016			http://link.springer.com/journal/205			fulltext		Springer Berlin Heidelberg	Serial							
419	Archive of Applied Mechanics	0939-1533	1432-0681	1929	1	1	2016			http://link.springer.com/journal/419			fulltext		Springer Berlin Heidelberg	Serial							
10505	Archives and Museum Informatics	1042-1467	1573-7500	1987	1	1	1996	10	4	http://link.springer.com/journal/10505			fulltext		Kluwer Academic Publishers	Serial							
11831	Archives of Computational Methods in Engineering	1134-3060	1886-1784	1994	1	1	2004	11	4	http://link.springer.com/journal/11831			fulltext		Springer Netherlands	Serial							
403	Archives of Dermatological Research	0340-3696	1432-069X	1869	1	1	2016			http://link.springer.com/journal/403			fulltext		Springer Berlin Heidelberg	Serial							
244	Archives of Environmental Contamination and Toxicology	0090-4341	1432-0703	1973	1	1	2016			http://link.springer.com/journal/244			fulltext		Springer US	Serial							
404	Archives of Gynecology and Obstetrics	0932-0067	1432-0711	1870	1	1	2016			http://link.springer.com/journal/404			fulltext		Springer Berlin Heidelberg	Serial							
203	Archives of Microbiology	0302-8933	1432-072X	1930	1	1	2016			http://link.springer.com/journal/203			fulltext		Springer Berlin Heidelberg	Serial							
402	Archives of Orthopaedic and Trauma Surgery	0936-8051	1434-3916	1903	1	1	2016			http://link.springer.com/journal/402			fulltext		Springer Berlin Heidelberg	Serial							
11657	Archives of Osteoporosis	1862-3522	1862-3514	2006	1	1	2016			http://link.springer.com/journal/11657			fulltext		Springer London	Serial							
12272	Archives of Pharmacal Research	0253-6269	1976-3786	1978	1	1	2004	27	12	http://link.springer.com/journal/12272			fulltext		Pharmaceutical Society of Korea	Serial							
10508	Archives of Sexual Behavior	0004-0002	1573-2800	1971	1	1	2016			http://link.springer.com/journal/10508			fulltext		Springer US	Serial							
204	Archives of Toxicology	0340-5761	1432-0738	1930	1	1	2016			http://link.springer.com/journal/204			fulltext		Springer Berlin Heidelberg	Serial							
705	Archives of Virology	0304-8608	1432-8798	1939	1	1	2016			http://link.springer.com/journal/705			fulltext		Springer Vienna	Serial							
737	Archives of Women's Mental Health	1434-1816	1435-1102	2005	8	1	2016			http://link.springer.com/journal/737			fulltext		Springer Vienna	Serial							
5	Archivum Immunologiae et Therapiae Experimentalis	0004-069X	1661-4917	1978	3	2	2016			http://link.springer.com/journal/5			fulltext		Springer International Publishing	Serial							
10503	Argumentation	0920-427X	1572-8374	1987	1	1	2016			http://link.springer.com/journal/10503			fulltext		Springer Netherlands	Serial							
11512	Arkiv för Matematik	0004-2080	1871-2487	1949	1	1	2011	49	2	http://link.springer.com/journal/11512			fulltext		Springer Netherlands	Serial							
11829	Arthropod-Plant Interactions	1872-8855	1872-8847	2007	1	1	2016			http://link.springer.com/journal/11829			fulltext		Springer Netherlands	Serial							
142	Arthroskopie	0933-7946	1434-3924	2005	18	1	2016			http://link.springer.com/journal/142			fulltext		Springer Medizin	Serial							
10506	Artificial Intelligence and Law	0924-8463	1572-8382	1992	1	1	2016			http://link.springer.com/journal/10506			fulltext		Springer Netherlands	Serial							
10462	Artificial Intelligence Review	0269-2821	1573-7462	1986	1	1	2016			http://link.springer.com/journal/10462			fulltext		Springer Netherlands	Serial							
10015	Artificial Life and Robotics	1433-5298	1614-7456	2005	9	1	2016			http://link.springer.com/journal/10015			fulltext		Springer Japan	Serial							
10308	Asia Europe Journal	1610-2932	1612-1031	2005	3	1	2016			http://link.springer.com/journal/10308			fulltext		Springer Berlin Heidelberg	Serial							
10490	Asia Pacific Journal of Management	0217-4561	1572-9958	1983	1	1	2016			http://link.springer.com/journal/10490			fulltext		Springer US	Serial							
11417	Asian Journal of Criminology	1871-0131	1871-014X	2006	1	1	2016			http://link.springer.com/journal/11417			fulltext		Springer Netherlands	Serial							
10690	Asia-Pacific Financial Markets	1387-2834	1573-6946	1994	1	1	2016			http://link.springer.com/journal/10690			fulltext		Springer Japan	Serial							
13143	Asia-Pacific Journal of Atmospheric Sciences	1976-7633	1976-7951	2010	46	1	2016			http://link.springer.com/journal/13143			fulltext		Korean Meteorological Society	Serial							
10182	AStA Advances in Statistical Analysis	1863-8171	1863-818X	2007	91	1	2016			http://link.springer.com/journal/10182			fulltext		Springer Berlin Heidelberg	Serial							
506	Österreichische Wasser- und Abfallwirtschaft	0945-358X	1613-7566	2005	57	1	2016			http://link.springer.com/journal/506			fulltext		Springer Vienna	Serial							
11614	Österreichische Zeitschrift für Soziologie	1011-0070	1862-2585	2005	30	1	2016			http://link.springer.com/journal/11614			fulltext		Springer Fachmedien Wiesbaden	Serial							
11443	Astronomy Letters	1063-7737	1562-6873	2005	31	1	2016			http://link.springer.com/journal/11443			fulltext		Pleiades Publishing	Serial							
11444	Astronomy Reports	1063-7729	1562-6881	2005	49	1	2016			http://link.springer.com/journal/11444			fulltext		Pleiades Publishing	Serial							
10511	Astrophysics	0571-7256	1573-8191	1965	1	1	2016			http://link.springer.com/journal/10511			fulltext		Springer US	Serial							
10509	Astrophysics and Space Science	0004-640X	1572-946X	1968	1	1	2016			http://link.springer.com/journal/10509			fulltext		Springer Netherlands	Serial							
11293	Atlantic Economic Journal	0197-4254	1573-9678	1973	1	1	2016			http://link.springer.com/journal/11293			fulltext		Springer US	Serial							
10512	Atomic Energy	1063-4258	1573-8205	1956	1	1	2016			http://link.springer.com/journal/10512			fulltext		Springer US	Serial							
13414	Attention, Perception, & Psychophysics	1943-3921	1943-393X	2005	67	1	2016			http://link.springer.com/journal/13414			fulltext		Springer US	Serial							
13246	Australasian Physical & Engineering Sciences in Medicine	0158-9938	1879-5447	2005	28	1	2016			http://link.springer.com/journal/13246			fulltext		Springer Netherlands	Serial							
13313	Australasian Plant Pathology	0815-3191	1448-6032	1978	7	2	2004	33	4	http://link.springer.com/journal/13313			fulltext		Springer Netherlands	Serial							
10515	Automated Software Engineering	0928-8910	1573-7535	1994	1	1	2016			http://link.springer.com/journal/10515			fulltext		Springer US	Serial							
10458	Autonomous Agents and Multi-Agent Systems	1387-2532	1573-7454	2005	10	1	2016			http://link.springer.com/journal/10458			fulltext		Springer US	Serial							
10514	Autonomous Robots	0929-5593	1573-7527	1994	1	1	2016			http://link.springer.com/journal/10514			fulltext		Springer US	Serial							
10516	Axiomathes	1122-1151	1572-8390	1993	4	1	2016			http://link.springer.com/journal/10516			fulltext		Springer Netherlands	Serial							
395	Basic Research in Cardiology	0300-8428	1435-1803	1937	1	1	2016			http://link.springer.com/journal/395			fulltext		Springer Berlin Heidelberg	Serial							
10519	Behavior Genetics	0001-8244	1573-3297	1970	1	1	2016			http://link.springer.com/journal/10519			fulltext		Springer US	Serial							
13428	Behavior Research Methods		1554-3528	2005	37	1	2016			http://link.springer.com/journal/13428			fulltext		Springer US	Serial							
265	Behavioral Ecology and Sociobiology	0340-5443	1432-0762	1976	1	1	2016			http://link.springer.com/journal/265			fulltext		Springer Berlin Heidelberg	Serial							
13366	Beiträge zur Algebra und Geometrie / Contributions to Algebra and Geometry	0138-4821	2191-0383	2011	52	1	2016			http://link.springer.com/journal/13366			fulltext		Springer Berlin Heidelberg	Serial							
11609	Berliner Journal für Soziologie	0863-1808	1862-2593	2005	15	1	2016			http://link.springer.com/journal/11609			fulltext		Springer Fachmedien Wiesbaden	Serial							
11654	best practice onkologie	0946-4565	1862-8559	2006	1	1	2016			http://link.springer.com/journal/11654			fulltext		Springer Medizin	Serial							
501	BHM Berg- und Hüttenmännische Monatshefte	0005-8912	1613-7531	2005	150	1	2016			http://link.springer.com/journal/501			fulltext		Springer Vienna	Serial							
10528	Biochemical Genetics	0006-2928	1573-4927	1967	1	1	2016			http://link.springer.com/journal/10528			fulltext		Springer US	Serial							
10541	Biochemistry (Moscow)	0006-2979	1608-3040	2005	70	1	2016			http://link.springer.com/journal/10541			fulltext		Pleiades Publishing	Serial							
11827	Biochemistry (Moscow), Supplement Series A: Membrane and Cell Biology	1990-7478	1990-7494	2007	1	1	2016			http://link.springer.com/journal/11827			fulltext		Pleiades Publishing	Serial							
11828	Biochemistry (Moscow), Supplement Series B: Biomedical Chemistry	1990-7508	1990-7516	2007	1	1	2016			http://link.springer.com/journal/11828			fulltext		Pleiades Publishing	Serial							
13206	BioChip Journal	1976-0280	2092-7843	2010	4	1	2016			http://link.springer.com/journal/13206			fulltext		The Korean BioChip Society (KBCS)	Serial							
10526	BioControl	1386-6141	1573-8248	1956	1	1	2016			http://link.springer.com/journal/10526			fulltext		Springer Netherlands	Serial							
10532	Biodegradation	0923-9820	1572-9729	1990	1	1	2016			http://link.springer.com/journal/10532			fulltext		Springer Netherlands	Serial							
10531	Biodiversity and Conservation	0960-3115	1572-9710	1992	1	1	2016			http://link.springer.com/journal/10531			fulltext		Springer Netherlands	Serial							
12155	BioEnergy Research	1939-1234	1939-1242	2008	1	1	2016			http://link.springer.com/journal/12155			fulltext		Springer US	Serial							
10533	Biogeochemistry	0168-2563	1573-515X	1984	1	1	2016			http://link.springer.com/journal/10533			fulltext		Springer International Publishing	Serial							
