PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONL	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
Archivalische Zeitschrift	0003-9497	2194-3826	1876-12-01		1	2016-12-01		OO	https://www.degruyter.com/openurl?genre=journal&issn=2194-3826		2194-3826		fulltext		Böhlau Verlag	serial								P
Aschkenas	1016-4987	1865-9438	1992-12-20	2	1	2018-11-20	28	2	https://www.degruyter.com/openurl?genre=journal&issn=1865-9438		1865-9438		fulltext		De Gruyter	serial								P
Asian Journal of Law and Economics	2194-6086	2154-4611	2010-06-20	1	1	2018-12-20	9	3	https://www.degruyter.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext		De Gruyter	serial								P
Asia-Pacific Journal of Risk and Insurance	1793-2157	2153-3792	2005-06-20	1	1	2018-07-31	12	2	https://www.degruyter.com/openurl?genre=journal&issn=2153-3792		2153-3792		fulltext		De Gruyter	serial								P
Asiatische Studien - Études Asiatiques	0004-4717	2235-5871	2014-02-28	68	1	2018-11-28	72	4	https://www.degruyter.com/openurl?genre=journal&issn=2235-5871		2235-5871		fulltext		De Gruyter	serial								P
at - Automatisierungstechnik	0178-2312	2196-677X	1964-06-20	12	1-12	2018-12-15	66	12	https://www.degruyter.com/openurl?genre=journal&issn=2196-677X		2196-677X		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
Basic Income Studies	2194-6094	1932-0183	2006-06-20	1	1	2018-12-01	13	2	https://www.degruyter.com/openurl?genre=journal&issn=1932-0183		1932-0183		fulltext		De Gruyter	serial								P
Beiträge zur Geschichte der deutschen Sprache und Literatur	0005-8076	1865-9373	1874-01-01	1	Jahresband	2018-12-20	140	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9373		1865-9373		fulltext		De Gruyter	serial								P
Bibliotheksdienst	0006-1972	2194-9646	1697-09-01	1	6	2018-11-26	52	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-9646		2194-9646		fulltext		De Gruyter Saur	serial								P
Bildung und Erziehung	0006-2456	2194-3834	1948-03-15	1	1	2016-12-15	69	4	https://www.degruyter.com/openurl?genre=journal&issn=2194-3834		2194-3834		fulltext		Böhlau Verlag	serial								P
Bio-Algorithms and Med-Systems 	1895-9091	1896-530X	2012-06-20	8	1	2016-12-20	12	4	https://www.degruyter.com/openurl?genre=journal&issn=1896-530X		1896-530X		fulltext		De Gruyter	serial								P
BioInorganic Reaction Mechanisms	2191-2483	2191-2491	2003-11-01	5	Nov	2013-03-15	9	1-4	https://www.degruyter.com/openurl?genre=journal&issn=2191-2491		2191-2491		fulltext		De Gruyter	serial								P
Biological Chemistry	1431-6730	1437-4315	1878-01-01	1	1	2018-11-20	399	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext		De Gruyter	serial								P
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	1956-01-01	1	1	2018-12-20	63	6	https://www.degruyter.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext		De Gruyter	serial								P
Biomolecular Concepts	1868-5021	1868-503X	2010-05-26	1	1	2016-12-20	7	5-6	https://www.degruyter.com/openurl?genre=journal&issn=1868-503X		1868-503X		fulltext		De Gruyter	serial								F
BioNanoMaterials	2193-0651	2193-066X	2000-06-10	1	1	2016-09-15	17	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2193-066X		2193-066X		fulltext		De Gruyter	serial								F
Botanica Marina	0006-8055	1437-4323	1959-01-01	1	Jan	2018-12-29	61	6	https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext		De Gruyter	serial								P
Business and Politics	1369-5258	1469-3569	1999-12-10	1	1	2016-12-20	18	4	https://www.degruyter.com/openurl?genre=journal&issn=1469-3569		1469-3569		fulltext		De Gruyter	serial								P
Byzantinische Zeitschrift	0007-7704	1868-9027	1892-01-01	1	1	2018-11-20	111	4	https://www.degruyter.com/openurl?genre=journal&issn=1868-9027		1868-9027		fulltext		De Gruyter	serial								P
Case Reports in Perinatal Medicine	2192-8932	2192-8959	2012-06-20	1	1-2	2018-09-15	7	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-8959		2192-8959		fulltext		De Gruyter	serial								P
Chemical Product and Process Modeling	2194-6159	1934-2659	2006-05-01	1	1	2018-12-30	13	4	https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext		De Gruyter	serial								P
Chinese Archaeology	2160-5025	2160-5068	2001-10-10		1	2018-11-20		18	https://www.degruyter.com/openurl?genre=journal&issn=2160-5068		2160-5068		fulltext		De Gruyter	serial								P
Chinese as a Second Language Research	2193-2263	2193-2271	2012-06-25	1	1	2018-10-15	7	2	https://www.degruyter.com/openurl?genre=journal&issn=2193-2271		2193-2271		fulltext		De Gruyter Mouton	serial								P
Chinese Journal of Applied Linguistics	2192-9505	2192-9513	2011-06-15	34	1	2018-11-28	41	4	https://www.degruyter.com/openurl?genre=journal&issn=2192-9513		2192-9513		fulltext		De Gruyter Mouton	serial								P
Chinese Semiotic Studies	2198-9605	2198-9613	2009-06-20		1-1	2018-11-20	14	4	https://www.degruyter.com/openurl?genre=journal&issn=2198-9613		2198-9613		fulltext		De Gruyter Mouton	serial								P
Clinical Chemistry and Laboratory Medicine (CCLM)	1434-6621	1437-4331	1963-01-01	1	1	2018-11-15	56	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4331		1437-4331		fulltext		De Gruyter	serial								P
Cognitive Linguistics	0936-5907	1613-3641	1990-03-10	1	1	2018-11-27	29	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-3641		1613-3641		fulltext		De Gruyter Mouton	serial								P
Communications	0341-2059	1613-4087	1976-01-01	2	1	2018-11-21	43	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-4087		1613-4087		fulltext		De Gruyter Mouton	serial								P
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2001-01-20	1	1	2018-10-30	18	4	https://www.degruyter.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext		De Gruyter	serial								P
Computer Law Review International	1610-7608	2194-4164	2005-02-15	6	1	2018-12-15	19	6	https://www.degruyter.com/openurl?genre=journal&issn=2194-4164		2194-4164		fulltext		Verlag Dr. Otto Schmidt	serial								P
Computer und Recht	0179-1990	2194-4172	2005-01-15	21	1	2018-12-15	34	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-4172		2194-4172		fulltext		Verlag Dr. Otto Schmidt	serial								P
Conceptus	0010-5155	2196-9523	2008-06-27	37	92	2013-12-31	42	101-102	https://www.degruyter.com/openurl?genre=journal&issn=2196-9523		2196-9523		fulltext		De Gruyter	serial								P
Corpus Linguistics and Linguistic Theory	1613-7027	1613-7035	2005-05-20	1	1	2018-10-30	14	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-7035		1613-7035		fulltext		De Gruyter Mouton	serial								P
Corrosion Reviews	0334-6005	2191-0316	1987-09-01	7	40604	2016-12-20	34	5-6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext		De Gruyter	serial								P
Das Mittelalter	0949-0345	2196-6869	1996-06-15	1	1	2018-11-20	23	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6869		2196-6869		fulltext		Akademie Verlag	serial								P
Demokratie und Geschichte	2227-7633	2307-2881	1997-12-01		1	2010-12-01		13	https://www.degruyter.com/openurl?genre=journal&issn=2307-2881		2307-2881		fulltext		Böhlau Verlag	yearbook								P
Der Donauraum	0012-5415	2307-289X	1956-03-15	1	1	2016-12-31	56	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2307-289X		2307-289X		fulltext		Böhlau Verlag	serial								P
Der Islam	0021-1818	1613-0928	1910-01-01	1	1	2018-10-20	95	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0928		1613-0928		fulltext		De Gruyter	serial								P
Deutsche Zeitschrift für Philosophie	0012-1045	2192-1482	1953-02-15	1	1	2018-12-15	66	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-1482		2192-1482		fulltext		De Gruyter (A)	serial								P
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht	1439-1589	1612-7056	1991-01-01	1	1	2018-11-29	28	12	https://www.degruyter.com/openurl?genre=journal&issn=1612-7056		1612-7056		fulltext		De Gruyter	serial								P
Deutsches Dante-Jahrbuch	0070-444X	2194-4059	1867-06-15		1	2018-10-30		93	https://www.degruyter.com/openurl?genre=journal&issn=2194-4059		2194-4059		fulltext		De Gruyter	yearbook								P
Dialectologia et Geolinguistica	0942-4040	1867-0903	1993-01-01	1993	Jan	2018-11-20		26	https://www.degruyter.com/openurl?genre=journal&issn=1867-0903		1867-0903		fulltext		De Gruyter Mouton	serial								P
Discrete Mathematics and Applications	0924-9265	1569-3929	1991-01-01	1	1	2018-12-15	28	6	https://www.degruyter.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext		De Gruyter	serial								P
Drug Metabolism and Personalized Therapy	2363-8907	2363-8915	1980-12-01	3	Dez	2016-12-20	31	4	https://www.degruyter.com/openurl?genre=journal&issn=2363-8915		2363-8915		fulltext		De Gruyter	serial								P
editio	0931-3079	1865-9446	1988-01-01	2	2	2018-11-15		32	https://www.degruyter.com/openurl?genre=journal&issn=1865-9446		1865-9446		fulltext		De Gruyter	yearbook								P
Energy Harvesting and Systems	2329-8774	2329-8766	2014-04-17	1	1-2	2016-10-20	3	4	https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext		De Gruyter	serial								P
English and American Studies in German	0071-0490	1865-8946	1969-01-01		1969	2018-11-15		2018	https://www.degruyter.com/openurl?genre=journal&issn=1865-8946		1865-8946		fulltext		De Gruyter	yearbook								P
Entrepreneurship Research Journal	2194-6175	2157-5665	2011-01-01	1	1	2018-10-20	8	4	https://www.degruyter.com/openurl?genre=journal&issn=2157-5665		2157-5665		fulltext		De Gruyter	serial								P
Epidemiologic Methods	2194-9263	2161-962X	2012-12-01	1	1	2018-12-15	7	1	https://www.degruyter.com/openurl?genre=journal&issn=2161-962X		2161-962X		fulltext		De Gruyter	serial								P
e-Polymers 	2197-4586	1618-7229	2001-06-20	1	1	2016-11-15	16	6	https://www.degruyter.com/openurl?genre=journal&issn=1618-7229		1618-7229		fulltext		De Gruyter	serial								F
Etruscan and Italic Studies	2566-9095	2566-9109	1994-06-20		1	2016-11-15	19	2	https://www.degruyter.com/openurl?genre=journal&issn=2566-9109		2566-9109		fulltext		De Gruyter	serial								P
European Company and Financial Law Review	1613-2548	1613-2556	2004-03-01	1	1	2018-12-19	15	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-2556		1613-2556		fulltext		De Gruyter	serial								P
European Journal of Applied Linguistics	2192-9521	2192-953X	2013-06-15	1	1	2018-09-15	6	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-953X		2192-953X		fulltext		De Gruyter Mouton	serial								P
European Journal of Nanomedicine	1662-5986	1662-596X	2008-06-20	1	1	2017-07-15	9	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1662-596X		1662-596X		fulltext		De Gruyter	serial								P
European Journal of Scandinavian Studies	2191-9399	2191-9402	2010-10-20		2008/2010	2018-10-20	48	2	https://www.degruyter.com/openurl?genre=journal&issn=2191-9402		2191-9402		fulltext		De Gruyter	serial								P
European Property Law Journal 	2190-8273	2190-8362	2011-11-20	1	1	2018-12-16	7	3	https://www.degruyter.com/openurl?genre=journal&issn=2190-8362		2190-8362		fulltext		De Gruyter	serial								P
European Review of Contract Law	1614-9920	1614-9939	1967-02-01	1	Jan	2018-12-12	14	4	https://www.degruyter.com/openurl?genre=journal&issn=1614-9939		1614-9939		fulltext		De Gruyter	serial								P
European Tort Law Yearbook 	2190-7773	2190-7781	2009-10-29		2009	2018-09-15		8	https://www.degruyter.com/openurl?genre=journal&issn=2190-7781		2190-7781		fulltext		De Gruyter	yearbook								P
Evangelische Theologie	0014-3502	2198-0470	1934-04-16	1	2	2018-12-04	78	6	https://www.degruyter.com/openurl?genre=journal&issn=2198-0470		2198-0470		fulltext		Gütersloher Verlagshaus	serial								P
Fabula	0014-6242	1613-0464	1958-01-01	1	1	2018-11-20	59	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1613-0464		1613-0464		fulltext		De Gruyter	serial								P
Figurationen	1439-4367	2194-363X	1999-06-01		O	2016-12-01	17	2	https://www.degruyter.com/openurl?genre=journal&issn=2194-363X		2194-363X		fulltext		Böhlau Verlag	serial								P
FinanzRundschau	2567-4765	2567-4897	2005-01-05	87	1	2018-12-20	100	24	https://www.degruyter.com/openurl?genre=journal&issn=2567-4897		2567-4897		fulltext		Verlag Dr. Otto Schmidt	serial								P
Folia Linguistica	0165-4004	1614-7308	1967-01-01	1	3-4	2018-11-15	52	s39-s2	https://www.degruyter.com/openurl?genre=journal&issn=1614-7308		1614-7308		fulltext		De Gruyter Mouton	serial								P
Forum for Health Economics & Policy	2194-6191	1558-9544	1998-10-01	1	1	2018-12-15	21	2	https://www.degruyter.com/openurl?genre=journal&issn=1558-9544		1558-9544		fulltext		De Gruyter	serial								P
FORUM für osteuropäische Zeit- und Ideengeschichte	1433-4887	2194-3672	1997-06-30	1	1	2013-12-30	17	2	https://www.degruyter.com/openurl?genre=journal&issn=2194-3672		2194-3672		fulltext		Böhlau Verlag	serial								P
Forum Mathematicum 	0933-7741	1435-5337	1989-01-01	1	Jan	2018-09-30	30	6	https://www.degruyter.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext		De Gruyter	serial								P
Frequenz	0016-1136	2191-6349	1949-01-01	3	Jan	2018-12-20	72	11-12	https://www.degruyter.com/openurl?genre=journal&issn=2191-6349		2191-6349		fulltext		De Gruyter	serial								P
Frühmittelalterliche Studien	0071-9706	1613-0812	1967-01-01	1	1967	2018-11-15		52	https://www.degruyter.com/openurl?genre=journal&issn=1613-0812		1613-0812		fulltext		De Gruyter	yearbook								P
George-Jahrbuch	1430-2519	1865-8881	2009-12-20		7 (2008/09)	2013-11-20		10 (2014/15)	https://www.degruyter.com/openurl?genre=journal&issn=1865-8881		1865-8881		fulltext		De Gruyter	yearbook								P
Georgian Mathematical Journal	1072-947X	1572-9176	1994-02-01	1	1	2018-12-16	25	4	https://www.degruyter.com/openurl?genre=journal&issn=1572-9176		1572-9176		fulltext		De Gruyter	serial								P
Germanistik	0016-8912	1865-9187	2007-12-01	48	1/2	2018-12-20	59	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9187		1865-9187		fulltext		De Gruyter	serial								P
Geschichte in Köln	0720-3659	2198-0667	1978-03-15	1	1	2016-03-15	63	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0667		2198-0667		fulltext		Böhlau Verlag	serial								P
GesundheitsRecht	1610-1197	2194-4229	2005-01-15	2	1	2016-12-15	15	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-4229		2194-4229		fulltext		Verlag Dr. Otto Schmidt	serial								P
Global Economy Journal	2194-5659	1553-5304	2000-03-01	1	1	2016-12-30	16	4	https://www.degruyter.com/openurl?genre=journal&issn=1553-5304		1553-5304		fulltext		De Gruyter	serial								P
Global Jurist	2194-5675	1934-2640	2001-11-01	1	1	2018-10-15	18	3	https://www.degruyter.com/openurl?genre=journal&issn=1934-2640		1934-2640		fulltext		De Gruyter	serial								P
Glottotheory 	1337-7892	2196-6907	2008-07-20	1	1	2018-11-15	9	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6907		2196-6907		fulltext		De Gruyter (A)	serial								P
Green	1869-876X	1869-8778	2011-02-20	1	1	2015-04-20	5	1-6	https://www.degruyter.com/openurl?genre=journal&issn=1869-8778		1869-8778		fulltext		De Gruyter	serial								P
Green Processing and Synthesis	2191-9542	2191-9550	2012-02-20	1	1	2016-12-20	5	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-9550		2191-9550		fulltext		De Gruyter	serial								F
Groups Complexity Cryptology	1867-1144	1869-6104	2009-05-01	1	April	2018-11-20	10	2	https://www.degruyter.com/openurl?genre=journal&issn=1869-6104		1869-6104		fulltext		De Gruyter	serial								P
Hegel-Jahrbuch	0073-1579	2192-5550	1999-06-15		1999	2016-12-20		2016	https://www.degruyter.com/openurl?genre=journal&issn=2192-5550		2192-5550		fulltext		Akademie Verlag	yearbook								P
Helia	1018-1806	2197-0483	2000-06-20	23	33	2016-12-30	39	65	https://www.degruyter.com/openurl?genre=journal&issn=2197-0483		2197-0483		fulltext		De Gruyter	serial								P
Heterocyclic Communications	0793-0283	2191-0197	1994-01-01	1	Febr	2016-12-20	22	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0197		2191-0197		fulltext		De Gruyter	serial								F
High Temperature Materials and Processes	0334-6455	2191-0324	1984-01-01	6	1/2	2016-11-20	35	10	https://www.degruyter.com/openurl?genre=journal&issn=2191-0324		2191-0324		fulltext		De Gruyter	serial								F
Historische Anthropologie	0942-8704	2194-4032	1993-04-20	1	1	2016-12-20	24	3	https://www.degruyter.com/openurl?genre=journal&issn=2194-4032		2194-4032		fulltext		Böhlau Verlag	serial								P
Historische Zeitschrift	0018-2613	2196-680X	1859-06-20	1-2	1	2018-12-20	307	3	https://www.degruyter.com/openurl?genre=journal&issn=2196-680X		2196-680X		fulltext		De Gruyter Oldenbourg	serial								P
Historisch-Politische Mitteilungen	0943-691X	2194-4040	1994-10-01	1	1	2016-10-15		23	https://www.degruyter.com/openurl?genre=journal&issn=2194-4040		2194-4040		fulltext		Böhlau Verlag	yearbook								P
Holzforschung	0018-3830	1437-434X	1947-01-01	1	1	2018-12-20	72	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-434X		1437-434X		fulltext		De Gruyter	serial								P
Hormone Molecular Biology and Clinical Investigation	1868-1883	1868-1891	2010-03-27		1	2018-12-20	36	1-3	https://www.degruyter.com/openurl?genre=journal&issn=1868-1891		1868-1891		fulltext		De Gruyter	serial								P
HUMOR	0933-1719	1613-3722	1988-01-01	1	1	2018-10-19	31	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-3722		1613-3722		fulltext		De Gruyter Mouton	serial								P
Iberoromania	0019-0993	1865-9039	1969-01-01		1	2018-11-28		88	https://www.degruyter.com/openurl?genre=journal&issn=1865-9039		1865-9039		fulltext		De Gruyter	serial								P
i-com	1618-162X	2196-6826	2001-08-20		O	2018-12-15	17	3	https://www.degruyter.com/openurl?genre=journal&issn=2196-6826		2196-6826		fulltext		Oldenbourg Wissenschaftsverlag	serial								P
Indogermanische Forschungen	0019-7262	1613-0405	1892-01-01		1	2018-11-15		123	https://www.degruyter.com/openurl?genre=journal&issn=1613-0405		1613-0405		fulltext		De Gruyter	yearbook								P
Information - Wissenschaft & Praxis	1434-4653	1619-4292	2012-02-20	63	1	2018-11-20	69	5-6	https://www.degruyter.com/openurl?genre=journal&issn=1619-4292		1619-4292		fulltext		De Gruyter Saur	serial								P
Innovative Neurosurgery	2193-522X	2193-5238	2013-03-20	1	1	2015-12-20	3	3-4	https://www.degruyter.com/openurl?genre=journal&issn=2193-5238		2193-5238		fulltext		De Gruyter	serial								P
Intercultural Pragmatics	1612-295X	1613-365X	2004-03-01	1	1	2018-11-20	15	5	https://www.degruyter.com/openurl?genre=journal&issn=1613-365X		1613-365X		fulltext		De Gruyter Mouton	serial								P
International African Bibliography	0020-5877	1865-9640	1971-01-01	1	1	2015-12-30	45	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9640		1865-9640		fulltext		De Gruyter	serial								P
International Commentary on Evidence	2194-5691	1554-4567	1998-08-01	1	1	2018-12-15	16	1	https://www.degruyter.com/openurl?genre=journal&issn=1554-4567		1554-4567		fulltext		De Gruyter	serial								P
International Journal of Adolescent Medicine and Health 	0334-0139	2191-0278	1985-01-01	1	1/2	2018-12-20	30	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0278		2191-0278		fulltext		De Gruyter	serial								P
International Journal of Chemical Reactor Engineering	2194-5748	1542-6580	2003-05-01	1	1	2018-12-20	16	12	https://www.degruyter.com/openurl?genre=journal&issn=1542-6580		1542-6580		fulltext		De Gruyter	serial								P
International Journal of Emerging Electric Power Systems	2194-5756	1553-779X	2004-01-01	1	1	2018-12-16	19	6	https://www.degruyter.com/openurl?genre=journal&issn=1553-779X		1553-779X		fulltext		De Gruyter	serial								P
International Journal of Food Engineering	2194-5764	1556-3758	2005-01-01	1	1	2018-12-20	14	11-12	https://www.degruyter.com/openurl?genre=journal&issn=1556-3758		1556-3758		fulltext		De Gruyter	serial								P
International Journal of Nonlinear Sciences and Numerical Simulation	1565-1339	2191-0294	2000-03-01	1	1-8	2018-12-10	19	7-8	https://www.degruyter.com/openurl?genre=journal&issn=2191-0294		2191-0294		fulltext		De Gruyter	serial								P
International Journal of Nursing Education Scholarship	2194-5772	1548-923X	2004-01-01	1	1	2018-01-01	15	1	https://www.degruyter.com/openurl?genre=journal&issn=1548-923X		1548-923X		fulltext		De Gruyter	serial								P
International Journal of Practical Theology 	1430-6921	1612-9768	1997-01-01	1	1	2018-11-28	22	2	https://www.degruyter.com/openurl?genre=journal&issn=1612-9768		1612-9768		fulltext		De Gruyter	serial								P
International Journal of the Sociology of Language	0165-2516	1613-3668	1974-01-01		1	2018-11-29		254	https://www.degruyter.com/openurl?genre=journal&issn=1613-3668		1613-3668		fulltext		De Gruyter Mouton	serial								P
