Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
asc,Animal Production,0003-3561,1748-748X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=asc,4360,1959,1,2006,82
ase,Anglo-Saxon England,0263-6751,1474-0532,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ase,654,1972,1,2014,43
asi,International Journal of Asian Studies,1479-5914,1479-5922,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=asi,418,2004,1,2015,12
aso,Ageing and Society,0144-686X,1469-1779,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=aso,3284,1981,1,2015,35
asp,Arabic Sciences and Philosophy,0957-4239,1474-0524,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=asp,337,1991,1,2015,25
asr,African Studies Review,0002-0206,1555-2462,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=asr,4069,1962,5,2015,58
ass,Modern Asian Studies,0026-749X,1469-8099,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ass,2616,1967,1,2015,49
ast,Journal of Anglican Studies,1740-3553,1745-5278,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ast,362,2003,1,2015,13
ath,The Annual of the British School at Athens,0068-2454,2045-2403,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ath,2239,1894,1,2015,110
atm,Ancient Mesoamerica,0956-5361,1469-1787,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=atm,664,1990,1,2015,26
baj,British Actuarial Journal,1357-3217,2044-0456,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=baj,738,1995,1,2015,20
baz,Bulletin of the Australian Mathematical Society,0004-9727,1755-1633,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=baz,5504,1969,1,2015,92
bbh,Bulletin of the British Society for the History of Science,0950-5636,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bbh,212,1949,1,1961,2
bbs,Behavioral and Brain Sciences,0140-525X,1469-1825,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bbs,13962,1978,1,2015,38
bca,Journal of Benefit-Cost Analysis,2194-5888,2152-2812,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bca,111,2010,1,2015,6
bch,Recusant History,0034-1932,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bch,1083,1957,4,2015,32
bci,Bird Conservation International,0959-2709,1474-0001,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bci,995,1991,1,2015,25
bcp,Behavioural and Cognitive Psychotherapy,1352-4658,1469-1833,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bcp,2686,1975,3,2015,43
bec,Behaviour Change,0813-4839,2049-7768,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bec,1024,1984,1,2015,32
beq,Business Ethics Quarterly,1052-150X,2153-3326,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=beq,1324,1991,1,2015,25
ber,Bulletin of Entomological Research,0007-4853,1475-2670,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ber,6898,1910,1,2015,105
bes,Bulletin of entomological research supplement series,1367-4269,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bes,33,1993,1,1995,3
bhr,Business History Review,0007-6805,2044-768X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bhr,8641,1926,1,2015,89
bil,Bilingualism: Language and Cognition,1366-7289,1469-1841,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bil,768,1998,1,2015,18
bim,Brain Impairment,1443-9646,1839-5252,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bim,373,2000,1,2015,16
bjh,The British Journal for the History of Science,0007-0874,1474-001X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bjh,4924,1962,1,2015,48
bjn,British Journal of Nutrition,0007-1145,1475-2662,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bjn,12615,1947,1,2015,114
bme,British Journal of Music Education,0265-0517,1469-2104,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bme,1566,1984,1,2015,32
bms,Bulletin of the British Association for American Studies,0524-5001,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bms,315,1956,1,1966,12
brc,Bulletin International des Societes de la Croix-Rouge,1816-9686,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=brc,5017,1869,1,1918,49
bri,Britannia,0068-113X,1753-5352,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bri,2202,1970,1,2015,46
bsh,Bulletin of the International Institute of Social History,0921-254X,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bsh,137,1937,1,1955,10
bsl,Bulletin of Symbolic Logic,1079-8986,1943-5894,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bsl,1154,1995,1,2015,21
bso,Bulletin of the School of Oriental and African Studies,0041-977X,1474-0699,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=bso,17103,1917,1,2015,78
caj,Cambridge Archaeological Journal,0959-7743,1474-0540,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=caj,1008,1991,1,2015,25
caq,The Classical Quarterly,0009-8388,1471-6844,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=caq,5636,1907,1,2015,65
car,The Classical Review,0009-840X,1464-3561,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=car,31651,1887,1,2015,65
cbt,The Cognitive Behaviour Therapist,,1754-470X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cbt,135,2008,1,2015,8
ccc,Central European History,0008-9389,1569-1616,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ccc,3376,1968,1,2015,48
ccj,Proceedings of the Cambridge Philological Society,0068-6735,2047-993X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ccj,1245,1882,1,2015,180
ceh,Contemporary European History,0960-7773,1469-2171,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ceh,972,1992,1,2015,24
cel,Cambridge Yearbook of European Legal Studies,1528-8870,2049-7636,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cel,441,1998,1,2015,17
cha,Children Australia,1035-0772,2049-7776,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cha,229,1976,1,2015,40
chh,Church History: Studies in Christianity and Culture,0009-6407,1755-2613,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=chh,14364,1932,1,2015,84
chj,Cambridge Historical Journal,1474-6913,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=chj,384,1923,1,1957,13
cje,Canadian Journal of Economics and Political Science/Revue canadienne de economiques et science politique,0315-4890,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cje,3552,1935,1,1967,33
cjg,Canadian Journal on Aging / La Revue canadienne du vieillissement,0714-9808,1710-1107,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cjg,2137,1982,1,2015,34
cjl,The Canadian Journal of Law and Jurisprudence,0841-8209,2056-4260,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cjl,655,1988,1,2015,28
cjn,Canadian Journal of Neurological Sciences / Journal Canadien des Sciences Neurologiques,0317-1671,2057-0155,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cjn,6039,1974,1,2015,42
cjp,Canadian Journal of Political Science,0008-4239,1744-9324,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cjp,7316,1968,1,2015,48
clj,The Cambridge Law Journal,0008-1973,1469-2139,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=clj,8664,1921,1,2015,74
cls,Canadian journal of law and society,0829-3201,1911-0227,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cls,1199,1986,1,2015,30
cns,CNS Spectrums,1092-8529,2165-6509,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cns,3106,1996,1,2015,20
com,Compositio Mathematica,0010-437X,1570-5846,London Mathematical Society,http://journals.cambridge.org/action/displayJournal?jid=com,1495,1997,105,2015,151
con,Continuity and Change,0268-4160,1469-218X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=con,1128,1986,1,2015,30
cor,Congress on Research in Dance Conference Proceedings,,2049-1255,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cor,229,2007,,2015,
cpc,"Combinatorics, Probability and Computing",0963-5483,1469-2163,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cpc,1244,1992,1,2015,24
cph,Communications in Computational Physics,1815-2406,1991-7120,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cph,650,2011,9,2015,18
cqh,Cambridge Quarterly of Healthcare Ethics,0963-1801,1469-2147,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cqh,1871,1992,1,2015,24
cqy,The China Quarterly,0305-7410,1468-2648,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cqy,7520,1960,1,2015,224
css,Comparative Studies in Society and History,0010-4175,1475-2999,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=css,3010,1958,1,2015,57
cty,Cardiology in the Young,1047-9511,1467-1107,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=cty,3928,1991,1,2015,25
dar,Journal of Dairy Research,0022-0299,1469-7629,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=dar,4633,1929,1,2015,82
dbr,Du Bois Review: Social Science Research on Race,1742-058X,1742-0598,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=dbr,387,2004,1,2015,12
dem,Recherches économiques de Louvain,0770-4518,1782-1495,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=dem,120,2011,77,2015,81
dia,Dialogue,0012-2173,1759-0949,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=dia,5632,1962,1,2015,54
dmp,Disaster Medicine and Public Health Preparedness,1935-7893,1938-744X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=dmp,868,2007,1,2015,9
doh,Journal of Developmental Origins of Health and Disease,2040-1744,2040-1752,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=doh,435,2009,1,2015,6
dpp,Development and Psychopathology,0954-5794,1469-2198,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=dpp,1772,1989,1,2015,27
drj,Dance Research Journal,0149-7677,1940-509X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=drj,1724,1973,6,2015,47
dsj,Design Science,,2053-4701,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=dsj,5,2015,1,2015,1
eac,Early China,0362-5028,2325-2324,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=eac,809,1975,1,2015,38
eag,Experimental Agriculture,0014-4797,1469-4441,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=eag,4311,1965,1,2015,51
eam,East Asian Journal on Applied Mathematics,2079-7362,2079-7370,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=eam,107,2011,1,2015,5
eap,Economics and Philosophy,0266-2671,1474-0028,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=eap,1037,1985,1,2015,31
ech,The Journal of Ecclesiastical History,0022-0469,1469-7637,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ech,13138,1950,1,2015,66
ecm,Eighteenth Century Music,1478-5706,1478-5714,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ecm,663,2004,1,2015,12
ect,Econometric Theory,0266-4666,1469-4360,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ect,2065,1985,1,2015,31
ede,Environment and Development Economics,1355-770X,1469-4395,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ede,1006,1996,1,2015,20
edp,The Australian Educational and Developmental Psychologist,0816-5122,1839-2504,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=edp,525,1985,2,2015,32
eia,Ethics & International Affairs,0892-6794,1747-7093,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=eia,1237,1987,1,2015,29
ejb,Edinburgh Journal of Botany,0960-4286,1474-0036,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ejb,980,1990,47,2015,72
ejm,European Journal of Applied Mathematics,0956-7925,1469-4425,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ejm,990,1990,1,2015,26
elj,Ecclesiastical Law Journal,0956-618X,1751-8539,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=elj,1663,1987,1,2015,17
ell,English Language and Linguistics,1360-6743,1469-4379,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ell,612,1997,1,2015,19
emh,Early Music History,0261-1279,1474-0559,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=emh,356,1981,1,2015,34
enc,Environmental Conservation,0376-8929,1469-4387,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=enc,5205,1974,1,2015,42
eng,English Today,0266-0784,1474-0567,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=eng,2072,1985,1,2015,31
enp,Environmental Practice,1466-0466,1466-0474,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=enp,1139,1999,1,2015,17
epi,Episteme,1742-3600,1750-0117,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=epi,337,2004,1,2015,12
epj,English Profile Journal,,2041-5362,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=epj,13,2010,1,2013,3
epr,European Political Science Review,1755-7739,1755-7747,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=epr,201,2009,1,2015,7
eps,Epidemiologia e Psichiatria Sociale,1121-189X,2038-1816,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=eps,1295,1992,1,2015,24
epx,Epidemiologia e psichiatria sociale. Monograph Supplement,1827-4331,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=epx,99,1997,6,2004,13
erm,Expert Reviews in Molecular Medicine,1462-3994,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=erm,466,1997,1,2015,17
erw,European Review,1062-7987,1474-0575,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=erw,1409,1993,1,2015,23
eso,Enterprise and Society,1467-2227,1467-2235,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=eso,1615,2000,1,2015,16
ets,Ergodic Theory and Dynamical Systems,0143-3857,1469-4417,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ets,2857,1981,1,2015,35
eur,European Journal of Sociology,0003-9756,1474-0583,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=eur,1342,1960,1,2015,56
fhr,Financial History Review,0968-5650,1474-0052,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=fhr,513,1994,1,2015,22
flm,Journal of Fluid Mechanics,0022-1120,1469-7645,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=flm,21028,1956,1,2015,785
fmp,"Forum of Mathematics, Pi",,2050-5086,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=fmp,13,2013,1,2015,3
fmr,Fetal and Maternal Medicine Review,0965-5395,1469-5065,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=fmr,460,1989,1,2014,25
fms,"Forum of Mathematics, Sigma",,2050-5094,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=fms,61,2013,1,2015,3
fpb,Foreign Policy Bulletin,1052-7036,1745-1302,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=fpb,1416,1990,1,2012,22
gar,Greece and Rome,0017-3835,1477-4550,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=gar,3635,1931,1,2015,62
gcn,Global Constitutionalism,2045-3817,2045-3825,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=gcn,95,2012,1,2015,4
geo,Geological Magazine,0016-7568,1469-5081,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=geo,23318,1864,1,2015,152
gmh,Global Mental Health,,2054-4251,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=gmh,30,2014,1,2015,2
gmj,Glasgow Mathematical Journal,0017-0895,1469-509X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=gmj,2520,1952,1,2015,57
gov,Government and Opposition,0017-257X,1477-7053,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=gov,2053,1965,1,2015,50
grh,Genetical Research,0016-6723,1469-5073,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=grh,4158,1960,1,2015,97
hep,"Health Economics, Policy and Law",1744-1331,1744-134X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=hep,396,2006,1,2015,10
het,Journal of the History of Economic Thought,1053-8372,1469-9656,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=het,1524,1979,1,2015,37
hgl,Hegel Bulletin,0263-5232,2051-5375,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=hgl,903,1980,1,2015,36
hia,History in Africa,0361-5413,1558-2744,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=hia,1062,1974,1,2015,42
his,The Historical Journal,0018-246X,1469-5103,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=his,3783,1958,1,2015,58
hor,Horizons,0360-9669,2050-8557,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=hor,4384,1974,1,2015,42
hpl,High Power Laser Science and Engineering,2095-4719,2052-3289,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=hpl,96,2013,1,2015,3
htr,Harvard Theological Review,0017-8160,1475-4517,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=htr,3653,1908,1,2015,108
hyg,Epidemiology and Infection,0950-2688,1469-4409,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=hyg,10980,1901,1,2015,143
iau,Proceedings of the International Astronomical Union,1743-9213,1743-9221,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=iau,11762,2004,,2015,
ice,Infection Control & Hospital Epidemiology,0899-823X,1559-6834,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ice,8788,1980,1,2015,36
idm,International Journal of Disability Management,1833-8550,1834-4887,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=idm,129,2006,1,2015,10
ihs,Irish Historical Studies,0021-1214,2056-4139,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ihs,496,2010,37,2015,39
ija,International Journal of Astrobiology,1473-5504,1475-3006,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ija,558,2002,1,2015,14
ijc,International Journal of Law in Context,1744-5523,1744-5531,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ijc,387,2005,1,2015,11
ilq,International and Comparative Law Quarterly,0020-5893,1471-6895,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ilq,7638,1952,1,2015,64
ilw,International Labor and Working-Class History,0147-5479,1471-6445,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ilw,2517,1972,1,2015,88
ino,International Organization,0020-8183,1531-5088,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ino,4133,1947,1,2015,69
ins,Journal of the International Neuropsychological Society,1355-6177,1469-7661,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ins,2250,1995,1,2015,21
int,International Theory,1752-9719,1752-9727,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=int,203,2009,1,2015,7
iop,Industrial and Organizational Psychology,1754-9426,1754-9434,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=iop,810,2008,1,2015,8
ipa,Journal of the International Phonetic Association,0025-1003,1475-3502,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ipa,1183,1971,1,2015,45
ipg,International Psychogeriatrics,1041-6102,1741-203X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ipg,3355,1989,1,2015,27
ipm,Irish Journal of Psychological Medicine,0790-9667,2051-6967,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ipm,1973,1989,6,2015,32
ips,International Review of Poultry Science,1877-9654,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ips,366,1928,1,1940,13
irc,Revue Internationale de la Croix-Rouge et Bulletin international des Sociétés de la Croix-Rouge,1026-8812,1607-5889,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=irc,17896,1919,1,2014,96
irq,Iraq,0021-0889,2053-4744,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=irq,1300,1934,1,2015,77
irs,International Review for Social History,1873-0841,,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=irs,55,1936,1,1938,4
ish,International Review of Social History,0020-8590,1469-512X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=ish,2501,1956,1,2015,60
isr,Israel Law Review,0021-2237,2047-9336,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=isr,1915,1966,1,2015,48
iti,Itinerario,0165-1153,2041-2827,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=iti,2893,1977,1,2015,39
jal,Journal of African Law,0021-8553,1464-3731,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=jal,1568,1957,1,2015,59
jan,Journal of Applied Animal Nutrition,,2049-257X,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=jan,36,2012,1,2015,3
jas,The Journal of Asian Studies,0021-9118,1752-0401,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=jas,19715,1941,1,2015,74
jaz,Journal of the Australian Mathematical Society,1446-7887,1446-8107,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=jaz,4460,1959,1,2015,99
jbr,The Journal of British Studies,0021-9371,1545-6986,Cambridge University Press,http://journals.cambridge.org/action/displayJournal?jid=jbr,3732,1962,1,2015,54
