springer id,title,eissn,pissn,number of articles,minYear,maxYear,cardinality,missing years
403,Archiv für Dermatologie und Syphilis,1432-069X,0365-6020,17015,1869.0,2016.0,139,9.0
706,Monatshefte für Chemie und verwandte Teile anderer Wissenschaften,1434-4475,0026-9247,15852,1880.0,2016.0,128,9.0
10973,Journal of Thermal Analysis and Calorimetry,1572-8943,1388-6150,15723,1969.0,2016.0,48,0.0
405,European Archives of Oto-Rhino-Laryngology,1434-4726,0365-5245,15573,1864.0,2016.0,143,10.0
213,Psychopharmacology,1432-2072,0033-3158,15469,1959.0,2016.0,58,0.0
10593,Chemistry of Heterocyclic Compounds,1573-8353,0009-3122,15374,1965.0,2015.0,51,0.0
415,Journal of Neurology,1432-1459,0340-5354,15242,1891.0,2016.0,120,6.0
438,Molecular and General Genetics MGG,1432-1874,0026-8925,15239,1908.0,2016.0,101,8.0
11104,Plant and Soil,1573-5036,0032-079X,14748,1948.0,2016.0,69,0.0
10512,Soviet Atomic Energy,1573-8205,0038-531X,14643,1956.0,2016.0,61,0.0
339,Applied Physics A,1432-0630,0947-8396,14633,1973.0,2016.0,44,0.0
11661,Metallurgical and Materials Transactions A,1543-1940,1073-5623,14612,1975.0,2016.0,42,0.0
10958,Journal of Mathematical Sciences,1573-8795,1072-3374,14600,1973.0,2016.0,44,0.0
431,European Journal of Pediatrics,1432-1076,0340-6199,14281,1911.0,2016.0,100,6.0
425,Planta,1432-2048,0032-0935,14229,1925.0,2016.0,91,1.0
11182,Soviet Physics Journal,1573-9228,0038-5697,14026,1965.0,2016.0,52,0.0
253,Applied Microbiology and Biotechnology,1432-0614,0175-7598,14010,1975.0,2016.0,42,0.0
417,Graefe's Archive for Clinical and Experimental Ophthalmology,1435-702X,0065-6100,13856,1854.0,2016.0,157,6.0
221,Experimental Brain Research,1432-1106,0014-4819,13827,1966.0,2016.0,51,0.0
10812,Journal of Applied Spectroscopy,1573-8647,0021-9037,13592,1965.0,2016.0,52,0.0
122,Theoretical and Applied Genetics,1432-2242,0040-5752,13456,1929.0,2016.0,87,1.0
432,Journal of Cancer Research and Clinical Oncology,1432-1335,0171-5216,12819,1904.0,2016.0,103,10.0
10891,Journal of engineering physics,1573-871X,0022-0841,12461,1965.0,2015.0,51,0.0
10600,Chemistry of Natural Compounds,1573-8388,0009-3130,12356,1965.0,2016.0,52,0.0
12630,Canadian Journal of Anaesthesia,1496-8975,0832-610X,12342,1954.0,2016.0,63,0.0
442,Oecologia,1432-1939,0029-8549,12179,1968.0,2016.0,49,0.0
128,Bulletin of Environmental Contamination and Toxicology,1432-0800,0007-4861,11977,1966.0,2016.0,51,0.0
208,Mathematische Annalen,1432-1807,0025-5831,11956,1869.0,2016.0,142,6.0
10350,Diseases of the Colon & Rectum,1530-0358,0012-3706,11798,1958.0,2008.0,51,0.0
11041,Metal Science and Heat Treatment,1573-8973,0026-0673,11708,1959.0,2016.0,58,0.0
10337,Chromatographia,1612-1112,0009-5893,11683,1968.0,2016.0,49,0.0
10582,Czechoslovak Journal of Physics,1572-9486,0011-4626,11618,1952.0,2006.0,55,0.0
12513,Zorg en Financiering,1876-5122,1569-948X,11591,2005.0,2012.0,8,0.0
12098,The Indian Journal of Pediatrics,0973-7693,0019-5456,11589,1936.0,2016.0,81,0.0
13130,Journal of High Energy Physics,1029-8479,,11560,2010.0,2016.0,7,0.0
125,Diabetologia,1432-0428,0012-186X,11481,1965.0,2016.0,52,0.0
10855,Journal of Materials Science Letters,1573-4811,0261-8028,11359,1982.0,2003.0,22,0.0
268,World Journal of Surgery,1432-2323,0364-2313,11350,1977.0,2016.0,40,0.0
10556,Chemical and Petroleum Engineering,1573-8329,0009-2355,11332,1965.0,2016.0,52,0.0
439,Human Genetics,1432-1203,0340-6717,11239,1964.0,2016.0,53,0.0
10717,Glass and Ceramics,1573-8515,0361-7610,11219,1956.0,2016.0,61,0.0
11015,Metallurgist,1573-8892,0026-0894,11217,1957.0,2016.0,60,0.0
227,Marine Biology,1432-1793,0025-3162,11128,1967.0,2016.0,50,0.0
705,Archives of Virology,1432-8798,0304-8608,10880,1939.0,2016.0,75,3.0
436,Parasitology Research,1432-1955,0932-0113,10826,1928.0,2016.0,85,4.0
209,Mathematische Zeitschrift,1432-1823,0025-5874,10808,1918.0,2016.0,96,3.0
11434,Chinese Science Bulletin,1861-9541,1001-6538,10799,1997.0,2016.0,20,0.0
464,Surgical Endoscopy,1432-2218,0930-2794,10708,1986.0,2016.0,31,0.0
10947,Journal of Structural Chemistry,1573-8779,0022-4766,10693,1960.0,2015.0,56,0.0
11270,"Water, Air, and Soil Pollution",1573-2932,0049-6979,10658,1971.0,2016.0,46,0.0
11094,Pharmaceutical Chemistry Journal,1573-9031,0091-150X,10564,1967.0,2016.0,50,0.0
134,Intensive Care Medicine,1432-1238,0342-4642,10534,1975.0,2016.0,42,0.0
11207,Solar Physics,1573-093X,0038-0938,10499,1967.0,2016.0,50,0.0
10645,De Economist,1572-9982,0013-063X,10438,1852.0,2015.0,159,5.0
10342,Forstwissenschaftliches Centralblatt,1439-0337,0015-8003,10355,1857.0,2016.0,133,27.0
414,Deutsche Zeitschrift für die gesamte gerichtliche Medizin,1437-1596,0367-0031,10302,1922.0,2016.0,91,4.0
604,Microchimica Acta,1436-5073,0026-3672,10275,1937.0,2016.0,78,2.0
11010,Molecular and Cellular Biochemistry,1573-4919,0300-8177,10035,1973.0,2016.0,44,0.0
10751,Hyperfine Interactions,1572-9540,0304-3843,9984,1975.0,2016.0,42,0.0
170,The International Journal of Advanced Manufacturing Technology,1433-3015,0268-3768,9965,1985.0,2016.0,32,0.0
701,Acta Neurochirurgica,0942-0940,0001-6268,9951,1950.0,2016.0,67,0.0
11106,Soviet Powder Metallurgy and Metal Ceramics,1573-9066,0038-5735,9863,1962.0,2015.0,54,0.0
11006,Mathematical Notes,1573-8876,0001-4346,9702,1967.0,2015.0,49,0.0
203,Archives of Microbiology,1432-072X,0302-8933,9675,1930.0,2016.0,82,5.0
709,Protoplasma,1615-6102,0033-183X,9648,1926.0,2016.0,86,5.0
11837,JOM,1543-1851,1047-4838,9602,1976.0,2016.0,41,0.0
11223,Strength of Materials,1573-9325,0039-2316,9590,1969.0,2015.0,47,0.0
10681,Euphytica,1573-5060,0014-2336,9559,1952.0,2016.0,65,0.0
11664,Journal of Electronic Materials,1543-186X,0361-5235,9534,1972.0,2016.0,45,0.0
220,Communications in Mathematical Physics,1432-0916,0010-3616,9512,1965.0,2016.0,52,0.0
10955,Journal of Statistical Physics,1572-9613,0022-4715,9454,1969.0,2016.0,48,0.0
10529,Biotechnology Letters,1573-6776,0141-5492,9446,1979.0,2016.0,38,0.0
402,Archives of Orthopaedic and Trauma Surgery,1434-3916,0936-8051,9360,1903.0,2016.0,105,9.0
10909,Journal of Low Temperature Physics,1573-7357,0022-2291,9314,1969.0,2016.0,48,0.0
10778,Soviet Applied Mechanics,1573-8582,0038-5298,9237,1966.0,2015.0,50,0.0
340,Applied Physics B,1432-0649,0946-2171,9216,1981.0,2016.0,36,0.0
421,European Journal of Applied Physiology,1439-6327,1439-6319,9216,1928.0,2016.0,84,5.0
535,Gastroenterologia Japonica,1435-5922,0435-1339,9122,1966.0,2016.0,51,0.0
433,Zeitschrift für die gesamte experimentelle Medizin,1433-8580,0044-2534,9041,1913.0,2001.0,84,5.0
10661,Environmental Monitoring and Assessment,1573-2959,0167-6369,9017,1981.0,2016.0,36,0.0
277,Annals of Hematology,1432-0584,0939-5555,8944,1955.0,2016.0,62,0.0
259,European Journal of Nuclear Medicine and Molecular Imaging,1619-7089,1619-7070,8923,1976.0,2016.0,41,0.0
605,Monatshefte für Mathematik und Physik,1436-5081,0026-9255,8910,1890.0,2016.0,111,16.0
247,Pediatric Radiology,1432-1998,0301-0449,8878,1973.0,2016.0,44,0.0
228,European Journal of Clinical Pharmacology,1432-1041,0031-6970,8875,1968.0,2016.0,49,0.0
359,Journal of Comparative Physiology A,1432-1351,0340-7594,8839,1924.0,2016.0,89,4.0
408,Beiträge zur Klinik der Tuberkulose und spezifischen Tuberkulose-Forschung,1432-1750,0179-616x,8781,1903.0,2016.0,108,6.0
330,European Radiology,1432-1084,0938-7994,8742,1991.0,2016.0,26,0.0
406,Archiv für Psychiatrie und Nervenkrankheiten,1433-8491,0003-9373,8614,1868.0,2016.0,139,10.0
11095,Pharmaceutical Research,1573-904X,0724-8741,8540,1984.0,2016.0,33,0.0
13,Archiv der Mathematik,1420-8938,0003-889X,8474,1948.0,2016.0,67,2.0
10773,International Journal of Theoretical Physics,1572-9575,0020-7748,8398,1968.0,2016.0,49,0.0
11148,Refractories,1573-9139,0034-3102,8379,1960.0,2015.0,56,0.0
10336,Journal für Ornithologie,1439-0361,0021-8375,8349,1853.0,2016.0,154,10.0
11141,Radiophysics and Quantum Electronics,1573-9120,0033-8443,8233,1965.0,2016.0,52,0.0
11745,Lipids,1558-9307,0024-4201,8161,1966.0,2016.0,51,0.0
107,Holz als Roh- und Werkstoff,1436-736X,0018-3768,8144,1937.0,2016.0,74,6.0
10434,Annals of Surgical Oncology,1534-4681,1068-9265,8118,1994.0,2016.0,23,0.0
10553,Chemistry and Technology of Fuels and Oils,1573-8310,0009-3092,8116,1965.0,2015.0,51,0.0
401,Acta Neuropathologica,1432-0533,0001-6322,8114,1961.0,2016.0,56,0.0
10749,Hydrotechnical Construction,1570-1468,0018-8220,8048,1967.0,2016.0,50,0.0
13414,Perception & Psychophysics,1532-5962,0031-5117,7967,1966.0,2016.0,51,0.0
11451,Physics of the Solid State,1090-6460,1063-7834,7924,1997.0,2016.0,20,0.0
10549,Breast Cancer Research and Treatment,1573-7217,0167-6806,7862,1981.0,2016.0,36,0.0
40265,Drugs,1179-1950,0012-6667,7847,1971.0,2016.0,46,0.0
10808,Journal of Applied Mechanics and Technical Physics,1573-8620,0021-8944,7817,1965.0,2015.0,51,0.0
467,Pediatric Nephrology,1432-198X,0931-041X,7780,1987.0,2016.0,30,0.0
11253,Ukrainian Mathematical Journal,1573-9376,0041-5995,7776,1967.0,2015.0,49,0.0
11606,Journal of General Internal Medicine,1525-1497,0884-8734,7654,1986.0,2016.0,31,0.0
12010,Applied Biochemistry and Biotechnology,1559-0291,0273-2289,7614,1976.0,2016.0,41,0.0
418,Histochemistry,1432-119X,0301-5564,7607,1958.0,2016.0,59,0.0
11663,Metallurgical and Materials Transactions B,1543-1916,1073-5615,7589,1970.0,2016.0,47,0.0
11,Agents and Actions,1420-908X,0065-4299,7562,1969.0,2016.0,48,0.0
10096,European Journal of Clinical Microbiology and Infectious Diseases,1435-4373,0934-9723,7557,1982.0,2016.0,35,0.0
10051,The European Physical Journal B - Condensed Matter and Complex Systems,1434-6036,1434-6028,7556,1998.0,2016.0,19,0.0
11064,Neurochemical Research,1573-6903,0364-3190,7535,1976.0,2015.0,40,0.0
280,Cancer Chemotherapy and Pharmacology,1432-0843,0344-5704,7517,1978.0,2016.0,39,0.0
595,Surgery Today,1436-2813,0941-1291,7447,1971.0,2016.0,46,0.0
10957,Journal of Optimization Theory and Applications,1573-2878,0022-3239,7437,1967.0,2016.0,50,0.0
11003,Soviet materials science : a transl. of Fiziko-khimicheskaya mekhanika materialov / Academy of Sciences of the Ukrainian SSR,1573-885X,0038-5565,7432,1966.0,2015.0,49,1.0
24,pure and applied geophysics,1420-9136,0033-4553,7406,1939.0,2016.0,78,0.0
10697,Fluid Dynamics,1573-8507,0015-4628,7317,1966.0,2015.0,50,0.0
10562,Catalysis Letters,1572-879X,1011-372X,7270,1988.0,2016.0,29,0.0
11232,Theoretical and Mathematical Physics,1573-9333,0040-5779,7252,1969.0,2016.0,48,0.0
12230,American Potato Journal,1874-9380,0003-0589,7206,1923.0,2015.0,93,0.0
289,Polymer Bulletin,1436-2449,0170-0839,7176,1978.0,2016.0,39,0.0
11144,Reaction Kinetics and Catalysis Letters,1588-2837,0133-1736,7161,1974.0,2016.0,43,0.0
10340,Anzeiger für Schädlingskunde,1439-0280,1436-5693,7106,1925.0,2016.0,89,3.0
430,Zeitschrift für Hygiene und Infektionskrankheiten,1432-1831,0340-1782,7045,1886.0,2016.0,125,6.0
10052,The European Physical Journal C,1434-6052,1434-6044,7022,1998.0,2016.0,19,0.0
11103,Plant Molecular Biology,1573-5028,0167-4412,6905,1981.0,2016.0,36,0.0
40618,Journal of Endocrinological Investigation,1720-8386,0391-4097,6893,1978.0,2016.0,39,0.0
12043,Pramana,0973-7111,0304-4289,6876,1973.0,2016.0,44,0.0
429,Anatomy and Embryology,1432-0568,0340-2061,6796,1891.0,2016.0,118,8.0
531,Geologische Rundschau,1432-1149,0016-7835,6786,1910.0,2016.0,100,7.0
234,Neuroradiology,1432-1920,0028-3940,6762,1970.0,2016.0,47,0.0
10704,International Journal of Fracture,1573-2673,0376-9429,6749,1965.0,2016.0,52,0.0
223,Calcified Tissue International,1432-0827,0171-967X,6728,1967.0,2016.0,50,0.0
204,Archives of Toxicology,1432-0738,0340-5761,6718,1930.0,2016.0,78,9.0
40762,Il Nuovo Cimento (1955-1965),1827-6121,,6708,1955.0,1965.0,11,0.0
214,Theoretica chimica acta,1432-2234,0040-5744,6704,1962.0,2016.0,55,0.0
10886,Journal of Chemical Ecology,1573-1561,0098-0331,6700,1975.0,2016.0,42,0.0
10800,Journal of Applied Electrochemistry,1572-8838,0021-891X,6647,1971.0,2016.0,46,0.0
10854,Journal of Materials Science: Materials in Electronics,1573-482X,0957-4522,6634,1990.0,2016.0,27,0.0
10551,Journal of Business Ethics,1573-0697,0167-4544,6597,1982.0,2016.0,35,0.0
11356,Environmental Science and Pollution Research,1614-7499,0944-1344,6583,1994.0,2016.0,23,0.0
11046,Mycopathologia,1573-0832,0301-486X,6549,1938.0,2016.0,71,8.0
40767,Lettere al Nuovo Cimento (1971-1985),1827-613X,,6534,1971.0,1985.0,15,0.0
10658,European Journal of Plant Pathology,1573-8469,0929-1873,6494,1895.0,2016.0,120,2.0
11455,Technical Physics Letters,1090-6533,1063-7850,6482,1997.0,2015.0,19,0.0
11176,Russian Journal of General Chemistry,1608-3350,1070-3632,6418,2001.0,2016.0,16,0.0
10692,Fibre Chemistry,1573-8493,0015-0541,6388,1969.0,2015.0,47,0.0
11517,Medical and Biological Engineering and Computing,1741-0444,0140-0118,6386,1963.0,2015.0,53,0.0
10573,"Combustion, Explosion and Shock Waves",1573-8345,0010-5082,6293,1965.0,2015.0,51,0.0
11033,Molecular Biology Reports,1573-4978,0301-4851,6229,1973.0,2016.0,43,1.0
702,Journal of Neural Transmission,1435-1463,0300-9564,6227,1950.0,2016.0,67,0.0
11029,Mechanics of Composite Materials,1573-8922,0191-5665,6227,1965.0,2016.0,52,0.0
11167,Russian Journal of Applied Chemistry,1608-3296,1070-4272,6222,2001.0,2015.0,15,0.0
410,Contributions to Mineralogy and Petrology,1432-0967,0010-7999,6206,1947.0,2016.0,69,1.0
10535,Biologia Plantarum,1573-8264,0006-3134,6156,1959.0,2016.0,58,0.0
198,Osteoporosis International,1433-2965,0937-941X,6101,1990.0,2016.0,27,0.0
11202,Siberian Mathematical Journal,1573-9260,0037-4466,6093,1966.0,2015.0,50,0.0
256,Skeletal Radiology,1432-2161,0364-2348,6086,1976.0,2016.0,41,0.0
11448,Journal of Experimental and Theoretical Physics Letters,1090-6487,0021-3640,6085,1996.0,2015.0,20,0.0
10559,Cybernetics,1573-8337,0011-4235,6079,1965.0,2015.0,51,0.0
427,Wilhelm Roux' Archiv für Entwicklungsmechanik der Organismen,1432-041X,0043-5546,6059,1894.0,2016.0,118,5.0
12359,Zeitschrift für die gesamte Neurologie und Psychiatrie,,0303-4194,5986,1910.0,1944.0,35,0.0
40775,Irish Journal of Medical Science (1926-1967),0021-1265,,5982,1926.0,1967.0,42,0.0
10714,General Relativity and Gravitation,1572-9532,0001-7701,5948,1970.0,2016.0,47,0.0
381,Child's Nervous System,1433-0350,0256-7040,5944,1985.0,2016.0,32,0.0
12445,Huisarts en Wetenschap,1876-5912,0018-7070,5929,2001.0,2016.0,16,0.0
40628,Psychonomic Science,2197-9952,0033-3131,5912,1964.0,1972.0,9,0.0
12206,Journal of Mechanical Science and Technology,1976-3824,1738-494X,5909,1987.0,2016.0,30,0.0
10482,Antonie van Leeuwenhoek,1572-9699,0003-6072,5894,1934.0,2016.0,81,2.0
11060,Journal of Neuro-Oncology,1573-7373,0167-594X,5877,1983.0,2016.0,34,0.0
33,Zeitschrift für angewandte Mathematik und Physik ZAMP,1420-9039,0044-2275,5873,1950.0,2016.0,67,0.0
15010,Infection,1439-0973,0300-8126,5809,1973.0,2016.0,44,0.0
10067,Clinical Rheumatology,1434-9949,0770-3198,5795,1982.0,2016.0,35,0.0
11229,Synthese,1573-0964,0039-7857,5786,1936.0,2016.0,66,15.0
11454,Technical Physics,1090-6525,1063-7842,5783,1997.0,2016.0,20,0.0
383,Pediatric Surgery International,1437-9813,0179-0358,5768,1986.0,2016.0,31,0.0
257,Zeitschrift für Physik B Condensed Matter,1431-584X,0722-3277,5745,1962.0,1997.0,36,0.0
11274,World Journal of Microbiology and Biotechnology,1573-0972,0959-3993,5737,1985.0,2016.0,32,0.0
12011,Biological Trace Element Research,1559-0720,0163-4984,5733,1979.0,2016.0,38,0.0
284,Current Microbiology,1432-0991,0343-8651,5732,1978.0,2016.0,39,0.0
586,European Spine Journal,1432-0932,0940-6719,5730,1992.0,2016.0,25,0.0
232,The Journal of Membrane Biology,1432-1424,0022-2631,5705,1969.0,2015.0,47,0.0
10913,Soviet Mining,1573-8736,0038-5581,5649,1965.0,2015.0,51,0.0
40763,Il Nuovo Cimento A (1965-1970),1826-9869,,5577,1971.0,1999.0,29,0.0
13428,Behavior Research Methods & Instrumentation,1554-3528,1554-351X,5537,1968.0,2015.0,48,0.0
12115,Society,1936-4725,0147-2011,5530,1963.0,2016.0,54,0.0
12044,Proceedings of the Indian Academy of Sciences - Section A,0973-7685,0370-0089,5527,1934.0,2015.0,82,0.0
11255,International Urology and Nephrology,1573-2584,0301-1623,5495,1969.0,2016.0,48,0.0
299,Plant Cell Reports,1432-203X,0721-7714,5479,1981.0,2016.0,36,0.0
10072,Neurological Sciences,1590-3478,1590-1874,5446,1979.0,2016.0,37,1.0
270,CardioVascular and Interventional Radiology,1432-086X,0174-1551,5366,1978.0,2016.0,39,0.0
11243,Transition Metal Chemistry,1572-901X,0340-4285,5349,1975.0,2016.0,42,0.0
40772,Dublin Journal of Medical Science (1872-1920),0790-231X,,5349,1872.0,1920.0,49,0.0
11453,Semiconductors,1090-6479,1063-7826,5328,1997.0,2016.0,20,0.0
11845,Irish Journal of Medical Science,1863-4362,0021-1265,5327,1953.0,2016.0,48,16.0
288,Zeitschrift für Physik C Particles and Fields,1431-5858,0170-9739,5326,1979.0,1997.0,19,0.0
11258,Plant Ecology,1573-5052,1385-0237,5325,1948.0,2016.0,68,1.0
11126,Psychiatric Quarterly,1573-6709,0033-2720,5307,1927.0,2016.0,88,2.0
707,Acta Mechanica,1619-6937,0001-5970,5299,1965.0,2016.0,52,0.0
11237,Theoretical and Experimental Chemistry,1573-935X,0040-5760,5242,1965.0,2016.0,52,0.0
251,Immunogenetics,1432-1211,0093-7711,5236,1974.0,2016.0,43,0.0
10053,The European Physical Journal D,1434-6079,1434-6060,5231,1998.0,2016.0,19,0.0
261,Abdominal Imaging,1432-0509,0942-8925,5176,1976.0,2016.0,41,0.0
10948,Journal of Superconductivity and Novel Magnetism,1557-1947,1557-1939,5154,1988.0,2016.0,29,0.0
10545,Journal of Inherited Metabolic Disease,1573-2665,0141-8955,5149,1978.0,2016.0,39,0.0
10856,Journal of Materials Science: Materials in Medicine,1573-4838,0957-4530,5145,1990.0,2016.0,27,0.0
11695,Obesity Surgery,1708-0428,0960-8923,5143,1991.0,2016.0,26,0.0
13361,Journal of the American Society for Mass Spectrometry,1879-1123,1044-0305,5126,1990.0,2016.0,27,0.0
11089,Pastoral Psychology,1573-6679,0031-2789,5107,1950.0,2016.0,65,2.0
11178,Russian Journal of Organic Chemistry,1608-3393,1070-4280,5081,2001.0,2015.0,15,0.0
244,Archives of Environmental Contamination and Toxicology,1432-0703,0090-4341,5071,1973.0,2016.0,44,0.0
264,International Orthopaedics,1432-5195,0341-2695,5063,1977.0,2016.0,40,0.0
38,Sozial- und Präventivmedizin,1420-911X,0303-8408,5055,1956.0,2016.0,61,0.0
12665,Environmental Earth Sciences,1866-6299,1866-6280,5055,2009.0,2016.0,8,0.0
11061,Neophilologus,1572-8668,0028-2677,5054,1916.0,2016.0,97,4.0
10483,Applied Mathematics and Mechanics,1573-2754,0253-4827,5033,1980.0,2016.0,37,0.0
12223,Folia Microbiologica,1874-9356,0015-5632,5033,1956.0,2016.0,61,0.0
412,Chromosoma,1432-0886,0009-5915,4993,1939.0,2015.0,64,13.0
265,Behavioral Ecology and Sociobiology,1432-0762,0340-5443,4981,1976.0,2016.0,41,0.0
11240,"Plant Cell, Tissue and Organ Culture",1573-5044,0167-6857,4955,1981.0,2016.0,36,0.0
420,International Archives of Occupational and Environmental Health,1432-1246,0340-0131,4947,1930.0,2016.0,78,9.0
10439,Annals of Biomedical Engineering,1573-9686,0090-6964,4897,1972.0,2016.0,45,0.0
10474,Acta Mathematica Hungarica,1588-2632,0236-5294,4883,1950.0,2016.0,66,1.0
11055,Neuroscience and Behavioral Physiology,1573-899X,0097-0549,4879,1967.0,2016.0,46,4.0
11856,Israel Journal of Mathematics,1565-8511,0021-2172,4864,1963.0,2015.0,53,0.0
11199,Sex Roles,1573-2762,0360-0025,4860,1975.0,2016.0,42,0.0
246,Pediatric Cardiology,1432-1971,0172-0643,4858,1979.0,2016.0,37,1.0
11051,Journal of Nanoparticle Research,1572-896X,1388-0764,4835,1999.0,2016.0,18,0.0
296,Rheumatology International,1437-160X,0172-8172,4828,1981.0,2016.0,36,0.0
11449,Optics and Spectroscopy,1562-6911,0030-400X,4802,2000.0,2016.0,17,0.0
12070,Indian Journal of Otolaryngology,0973-7707,0019-5421,4800,1950.0,2015.0,61,5.0
348,Experiments in Fluids,1432-1114,0723-4864,4797,1983.0,2016.0,34,0.0
11277,Wireless Personal Communications,1572-834X,0929-6212,4793,1994.0,2016.0,23,0.0
10641,Environmental Biology of Fishes,1573-5133,0378-1909,4777,1976.0,2015.0,40,0.0
10870,Journal of Chemical Crystallography,1572-8854,1074-1542,4773,1971.0,2016.0,46,0.0
10971,Journal of Sol-Gel Science and Technology,1573-4846,0928-0707,4770,1993.0,2016.0,24,0.0
11447,Journal of Experimental and Theoretical Physics,1090-6509,1063-7761,4754,1997.0,2015.0,19,0.0
262,"Cancer Immunology, Immunotherapy",1432-0851,0340-7004,4738,1976.0,2016.0,41,0.0
10762,International Journal of Infrared and Millimeter Waves,1572-9559,0195-9271,4736,1980.0,2016.0,37,0.0
11098,Philosophical Studies,1573-0883,0031-8116,4705,1950.0,2016.0,67,0.0
11814,Korean Journal of Chemical Engineering,1975-7220,0256-1115,4688,1984.0,2016.0,33,0.0
12272,Archives of Pharmacal Research,1976-3786,0253-6269,4671,1978.0,2016.0,39,0.0
10803,Journal of Autism and Developmental Disorders,1573-3432,0162-3257,4637,1971.0,2016.0,46,0.0
10584,Climatic Change,1573-1480,0165-0009,4629,1977.0,2016.0,40,0.0
11999,Clinical Orthopaedics and Related Research®,1528-1132,0009-921X,4610,2008.0,2016.0,9,0.0
267,Environmental Management,1432-1009,0364-152X,4596,1977.0,2016.0,40,0.0
239,Journal of Molecular Evolution,1432-1432,0022-2844,4590,1971.0,2016.0,46,0.0
11071,Nonlinear Dynamics,1573-269X,0924-090X,4576,1990.0,2016.0,27,0.0
12243,Annales Des Télécommunications,1958-9395,0003-4347,4567,1946.0,2016.0,71,0.0
202,Archiv für Elektrotechnik,1432-0487,0003-9039,4562,1912.0,2016.0,98,7.0
10546,Boundary-Layer Meteorology,1573-1472,0006-8314,4548,1970.0,2016.0,47,0.0
11127,Public Choice,1573-7101,0048-5829,4530,1966.0,2015.0,50,0.0
10709,Genetica,1573-6857,0016-6707,4521,1919.0,2016.0,86,12.0
11192,Scientometrics,1588-2861,0138-9130,4507,1978.0,2016.0,39,0.0
11082,Optical and Quantum Electronics,1572-817X,0306-8919,4504,1969.0,2016.0,48,0.0
11214,Space Science Reviews,1572-9672,0038-6308,4469,1962.0,2016.0,55,0.0
167,"Knee Surgery, Sports Traumatology, Arthroscopy",1433-7347,0942-2056,4468,1993.0,2016.0,24,0.0
11665,Journal of Materials Engineering and Performance,1544-1024,1059-9495,4456,1992.0,2016.0,25,0.0
10708,GeoJournal,1572-9893,0343-2521,4454,1977.0,2016.0,39,1.0
10765,International Journal of Thermophysics,1572-9567,0195-928X,4454,1980.0,2016.0,37,0.0
40631,Bulletin of the Psychonomic Society,,0090-5054,4447,1973.0,1993.0,21,0.0
11340,Experimental Mechanics,1741-2765,0014-4851,4428,1961.0,2016.0,56,0.0
11527,Materials and Structures,1871-6873,1359-5997,4428,1968.0,2016.0,49,0.0
11771,Journal of Central South University of Technology,1993-0666,1005-9784,4421,1994.0,2016.0,23,0.0
