journal_id,title,% of articles with this title,eissn,%of articles with this eissn,pissn,%of articles with this pissn,publisher,%of articles with this publisher,url,number of articles,minYear,maxYear,cardinality,missing years,min_volume,max_volume,cardinality-volumes,number of missing volumes
crimin,The British Journal of Criminology,79.9,1464-3529,99.2,0007-0955,99.2,Oxford University Press,99.7,http://bjc.oxfordjournals.org,,1960,2015,56,0,1,55,55,0
crj,Classical Receptions Journal,100.0,1759-5142,100.0,1759-5134,100.0,Oxford University Press,100.0,http://crj.oxfordjournals.org,,2015,2015,1,0,7,7,1,0
cs,Children & Schools,100.0,1545-682X,100.0,1532-8759,100.0,Oxford University Press,100.0,http://cs.oxfordjournals.org,,1978,2015,38,0,1,37,36,1
cww,Contemporary Women's Writing,97.6,1754-1484,100.0,1754-1476,100.0,Oxford University Press,100.0,http://cww.oxfordjournals.org,,2015,2015,1,0,9,9,1,0
deafed,Journal Of Deaf Studies And Deaf Education,100.0,1465-7325,100.0,1081-4159,100.0,Oxford University Press,100.0,http://jdsde.oxfordjournals.org,,2015,2015,1,0,20,20,1,0
design,Journal of Design History,87.5,1741-7279,100.0,0952-4649,100.0,Oxford University Press,100.0,http://jdh.oxfordjournals.org,,1988,2015,28,0,1,28,28,0
dh,Diplomatic History,100.0,1467-7709,100.0,0145-2096,100.0,Oxford University Press,83.2,http://dh.oxfordjournals.org,,1977,2015,39,0,1,39,39,0
dsh,Digital Scholarship in the Humanities,100.0,2055-768X,100.0,2055-7671,100.0,Oxford University Press,100.0,http://dsh.oxfordjournals.org,,2015,2015,1,0,30,30,1,0
earlyj,Early Music,100.0,1741-7260,100.0,0306-1078,100.0,Oxford University Press,99.8,http://em.oxfordjournals.org,,1973,2015,43,0,1,43,26,17
eccojc,Journal of Crohn’s and Colitis,83.3,1876-4479,100.0,1873-9946,100.0,Oxford University Press,100.0,http://eccojc.oxfordjournals.org,,2015,2015,1,0,9,9,1,0
economicpolicy,Economic Policy,100.0,1468-0327,100.0,0266-4658,100.0,Oxford University Press,100.0,http://economicpolicy.oxfordjournals.org,,1985,2015,31,0,1,30,30,0
ecopol,Oxford Review of Economic Policy,84.9,1460-2121,100.0,0266-903X,100.0,Oxford University Press,100.0,http://oxrep.oxfordjournals.org,,1985,2015,31,0,1,31,31,0
ee,Environmental Entomology,100.0,1938-2936,100.0,0046-225X,100.0,Oxford University Press,100.0,http://ee.oxfordjournals.org,,1972,2015,44,0,1,44,44,0
ehjcimaging,European Heart Journal - Cardiovascular Imaging,85.6,2047-2412,100.0,2047-2404,100.0,Oxford University Press,100.0,http://ehjcimaging.oxfordjournals.org,,2015,2015,1,0,16,16,1,0
ejcts,European Journal of Cardio-Thoracic Surgery,100.0,1873-734X,100.0,1010-7940,100.0,Oxford University Press,77.6,http://ejcts.oxfordjournals.org,,1981,2015,29,0,1,48,48,0
ejilaw,European Journal Of International Law,100.0,1464-3596,100.0,0938-5428,100.0,Oxford University Press,100.0,http://ejil.oxfordjournals.org,,2015,2015,1,0,26,26,1,0
eltj,ELT Journal,94.6,1477-4526,100.0,0951-0893,99.3,Oxford University Press,100.0,http://eltj.oxfordjournals.org,,1946,2015,68,2,1,69,35,34
enghis,The English Historical Review,100.0,1477-4534,100.0,0013-8266,100.0,Oxford University Press,99.7,http://ehr.oxfordjournals.org,,1886,2015,128,2,1,130,12,118
english,English,99.2,1756-1124,99.3,0013-8215,100.0,Oxford University Press,91.1,http://english.oxfordjournals.org,,1936,2015,80,0,1,64,64,0
envhis,Environmental History,100.0,1930-8892,100.0,1084-5453,100.0,Oxford University Press,100.0,http://envhis.oxfordjournals.org,,2015,2015,1,0,20,20,1,0
envlaw,Journal of Environmental Law,100.0,1464-374X,100.0,0952-8873,100.0,Oxford University Press,100.0,http://jel.oxfordjournals.org,,1989,2015,27,0,1,27,27,0
eortho,The European Journal of Orthodontics,82.1,1460-2210,100.0,0141-5387,100.0,Oxford University Press,100.0,http://ejo.oxfordjournals.org,,1979,2015,37,0,1,37,37,0
epirev,Epidemiologic Reviews,100.0,1478-6729,100.0,0193-936X,100.0,Oxford University Press,100.0,http://epirev.oxfordjournals.org,,1979,2015,37,0,1,37,37,0
erae,European Review of Agricultural Economics,100.0,1464-3618,100.0,0165-1587,100.0,Oxford University Press,100.0,http://erae.oxfordjournals.org,,1973,2015,42,1,1,42,42,0
ereh,European Review of Economic History,100.0,1474-0044,100.0,1361-4916,100.0,Oxford University Press,100.0,http://ereh.oxfordjournals.org,,2015,2015,1,0,19,19,1,0
escrit,Essays in Criticism,100.0,1471-6852,100.0,0014-0856,100.0,Oxford University Press,100.0,http://eic.oxfordjournals.org,,1951,2015,65,0,1,65,16,49
eurheartj,European Heart Journal,100.0,1522-9645,99.8,0195-668X,99.8,Oxford University Press,100.0,http://eurheartj.oxfordjournals.org,,1980,2015,36,0,1,36,36,0
europace,EP Europace,98.9,1532-2092,100.0,1099-5129,100.0,Oxford University Press,100.0,http://europace.oxfordjournals.org,,2015,2015,1,0,17,17,1,0
eurpub,The European Journal of Public Health,89.6,1464-360X,100.0,1101-1262,100.0,Oxford University Press,100.0,http://eurpub.oxfordjournals.org,,1991,2015,25,0,1,25,25,0
eursoj,European Sociological Review,100.0,1468-2672,100.0,0266-7215,100.0,Oxford University Press,100.0,http://esr.oxfordjournals.org,,1985,2015,31,0,1,31,31,0
exbotj,Journal of Experimental Botany,86.0,1460-2431,99.9,0022-0957,99.9,Oxford University Press,99.9,http://jxb.oxfordjournals.org,,1950,2015,66,0,1,66,66,0
famprj,Family Practice,95.8,1460-2229,100.0,0263-2136,100.0,Oxford University Press,100.0,http://fampra.oxfordjournals.org,,1984,2015,32,0,1,32,32,0
femsec,FEMS Microbiology Ecology,100.0,1574-6941,98.3,,nan,Oxford University Press,95.5,http://femsec.oxfordjournals.org,,1985,2015,31,0,1,91,90,1
femsle,FEMS Microbiology Letters,99.2,1574-6968,100.0,0378-1097,100.0,Oxford University Press,98.1,http://femsle.oxfordjournals.org,,1977,2015,20,0,1,362,231,131
femspd,Pathogens and Disease,93.0,,100.0,2049-632X,100.0,Oxford University Press,54.6,http://femspd.oxfordjournals.org,,2013,2015,3,0,67,73,7,0
femsre,FEMS Microbiology Reviews,100.0,1574-6976,100.0,,nan,Oxford University Press,95.2,http://femsre.oxfordjournals.org,,1985,2015,18,2,1,39,20,19
femsyr,FEMS Yeast Research,100.0,,100.0,1567-1364,100.0,Oxford University Press,100.0,http://femsyr.oxfordjournals.org,,2015,2015,1,0,15,15,1,0
foresj,Forestry,80.5,1464-3626,99.9,0015-752X,99.9,Oxford University Press,98.8,http://forestry.oxfordjournals.org,,1940,2015,19,0,14,88,19,56
formod,Forum for Modern Language Studies,100.0,1471-6860,100.0,0015-8518,100.0,Oxford University Press,100.0,http://fmls.oxfordjournals.org,,1965,2015,20,0,1,51,15,36
fpa,Foreign Policy Analysis,100.0,1743-8594,100.0,1743-8586,100.0,Oxford University Press,100.0,http://fpa.oxfordjournals.org,,2015,2015,1,0,11,11,1,0
frebul,French Studies Bulletin,100.0,1748-9180,100.0,0262-2750,100.0,Oxford University Press,100.0,http://fsb.oxfordjournals.org,,1981,2015,35,0,1,36,35,1
french,French History,100.0,1477-4542,98.7,0269-1191,98.7,Oxford University Press,100.0,http://fh.oxfordjournals.org,,1987,2015,29,0,1,29,29,0
frestu,French Studies,100.0,1468-2931,99.7,0016-1128,99.7,Oxford University Press,97.2,http://fs.oxfordjournals.org,,1947,2015,69,0,1,69,15,54
gerona,The Journals of Gerontology Series A: Biological Sciences and Medical Sciences,55.5,1758-535X,100.0,1079-5006,100.0,Oxford University Press,83.6,http://biomedgerontology.oxfordjournals.org,,1995,2015,21,0,50,70,21,0
geronb,The Journals of Gerontology Series B: Psychological Sciences and Social Sciences,56.9,1758-5368,100.0,1079-5014,100.0,Oxford University Press,79.6,http://psychsocgerontology.oxfordjournals.org,,1995,2015,21,0,50,70,21,0
geronj,Journal of Gerontology,100.0,,nan,0022-1422,100.0,Oxford University Press,100.0,http://geron.oxfordjournals.org,,1946,1994,49,0,1,49,49,0
geront,The Gerontologist,100.0,1758-5341,100.0,0016-9013,100.0,Oxford University Press,52.4,http://gerontologist.oxfordjournals.org,,1961,2015,55,0,1,55,55,0
gh,German History,100.0,1477-089X,100.0,0266-3554,95.4,Oxford University Press,65.0,http://gh.oxfordjournals.org,,1984,2015,32,0,1,33,33,0
gji,Geophysical Journal International,100.0,1365-246X,100.0,0956-540X,100.0,Oxford University Press,74.1,http://gji.oxfordjournals.org,,1958,2015,20,0,1,203,80,123
glycob,Glycobiology,100.0,1460-2423,99.7,0959-6658,99.7,Oxford University Press,100.0,http://glycob.oxfordjournals.org,,1990,2015,26,0,1,25,25,0
healed,Health Education Research,100.0,1465-3648,100.0,0268-1153,100.0,Oxford University Press,100.0,http://her.oxfordjournals.org,,1986,2015,30,0,1,30,30,0
heapol,Health Policy and Planning,99.9,1460-2237,100.0,0268-1080,100.0,Oxford University Press,100.0,http://heapol.oxfordjournals.org,,1986,2015,30,0,1,30,30,0
heapro,Health Promotion International,100.0,1460-2245,99.3,0957-4824,99.3,Oxford University Press,100.0,http://heapro.oxfordjournals.org,,1986,2015,30,0,1,30,30,0
hiscol,Journal of the History of Collections,86.1,1477-8564,100.0,0954-6650,100.0,Oxford University Press,99.9,http://jhc.oxfordjournals.org,,1989,2015,27,0,11,27,27,-10
hiwork,History Workshop Journal,100.0,1477-4569,95.3,1363-3554,95.4,Oxford University Press,100.0,http://hwj.oxfordjournals.org,,1976,2015,40,0,1,,74,-74
hmg,Human Molecular Genetics,100.0,1460-2083,100.0,0964-6906,100.0,Oxford University Press,100.0,http://hmg.oxfordjournals.org,,1992,2015,24,0,1,24,24,0
holgen,Holocaust and Genocide Studies,100.0,1476-7937,100.0,8756-6583,100.0,Oxford University Press,100.0,http://hgs.oxfordjournals.org,,1986,2015,30,0,1,29,29,0
hrlr,Human Rights Law Review,100.0,1744-1021,100.0,1461-7781,100.0,Oxford University Press,100.0,http://hrlr.oxfordjournals.org,,2015,2015,1,0,15,15,1,0
hsw,Health & Social Work,100.0,1545-6854,100.0,0360-7283,100.0,Oxford University Press,100.0,http://hsw.oxfordjournals.org,,1976,2015,40,0,1,40,40,0
humrep,Human Reproduction,93.2,1460-2350,100.0,0268-1161,100.0,Oxford University Press,100.0,http://humrep.oxfordjournals.org,,1986,2015,30,0,1,30,30,0
humupd,Human Reproduction Update,100.0,1460-2369,100.0,1355-4786,100.0,Oxford University Press,100.0,http://humupd.oxfordjournals.org,,1995,2015,21,0,1,21,21,0
icb,Integrative and Comparative Biology,100.0,1557-7023,100.0,1540-7063,100.0,Oxford University Press,100.0,http://icb.oxfordjournals.org,,1961,2015,20,0,1,55,20,35
icesjms,ICES Journal of Marine Science,97.8,1095-9289,100.0,1054-3139,100.0,Oxford University Press,100.0,http://icesjms.oxfordjournals.org,,1903,2015,100,13,1,72,72,0
icsidreview,ICSID Review,92.2,2049-1999,100.0,0258-3690,100.0,Oxford University Press,100.0,http://icsidreview.oxfordjournals.org,,1986,2015,30,0,1,30,30,0
idpl,International Data Privacy Law,100.0,2044-4001,100.0,2044-3994,100.0,Oxford University Press,100.0,http://idpl.oxfordjournals.org,,2015,2015,1,0,5,5,1,0
igpl,Logic Journal of IGPL,73.5,1368-9894,100.0,1367-0751,100.0,Oxford University Press,100.0,http://jigpal.oxfordjournals.org,,1993,2015,23,0,1,23,23,0
ijclaw,International Journal Of Constitutional Law,100.0,1474-2659,100.0,1474-2640,100.0,Oxford University Press,100.0,http://icon.oxfordjournals.org,,2015,2015,1,0,13,13,1,0
ije,International Journal of Epidemiology,96.1,1464-3685,100.0,0300-5771,100.0,Oxford University Press,100.0,http://ije.oxfordjournals.org,,1972,2015,44,0,1,44,44,0
ijtj,International Journal of Transitional Justice,100.0,1752-7724,100.0,1752-7716,100.0,Oxford University Press,100.0,http://ijtj.oxfordjournals.org,,2015,2015,1,0,9,9,1,0
ilarjournal,ILAR Journal,100.0,1930-6180,100.0,1084-2020,100.0,Oxford University Press,100.0,http://ilarjournal.oxfordjournals.org,,2015,2015,1,0,56,56,1,0
imaman,IMA Journal of Management Mathematics,100.0,1471-6798,100.0,1471-678X,100.0,Oxford University Press,100.0,http://imaman.oxfordjournals.org,,1986,2015,27,3,1,26,26,0
imamat,IMA Journal of Applied Mathematics,92.5,1464-3634,98.7,0272-4960,98.7,Oxford University Press,100.0,http://imamat.oxfordjournals.org,,1965,2015,51,0,1,80,80,0
imamci,IMA Journal of Mathematical Control and Information,87.9,1471-6887,100.0,0265-0754,100.0,Oxford University Press,100.0,http://imamci.oxfordjournals.org,,1984,2015,32,0,1,32,32,0
imammb,Mathematical Medicine and Biology: A Journal of the IMA,65.5,1477-8602,100.0,1477-8599,100.0,Oxford University Press,100.0,http://imammb.oxfordjournals.org,,1984,2015,32,0,1,32,32,0
imanum,IMA Journal of Numerical Analysis,85.9,1464-3642,100.0,0272-4979,100.0,Oxford University Press,100.0,http://imajna.oxfordjournals.org,,1981,2015,35,0,1,35,35,0
imrn,International Mathematics Research Notices,100.0,1687-0247,64.2,1073-7928,100.0,Oxford University Press,64.2,http://imrn.oxfordjournals.org,,1991,2015,25,0,1,,25,-25
indcor,Industrial and Corporate Change,100.0,1464-3650,99.2,0960-6491,99.2,Oxford University Press,100.0,http://icc.oxfordjournals.org,,1992,2015,24,0,1,24,24,0
indlaw,Industrial Law Journal,100.0,1464-3669,100.0,0305-9332,100.0,Oxford University Press,100.0,http://ilj.oxfordjournals.org,,1972,2015,44,0,1,44,44,0
inthealth,International Health,100.0,1876-3405,100.0,1876-3413,100.0,Oxford University Press,100.0,http://inthealth.oxfordjournals.org,,2015,2015,1,0,7,7,1,0
intimm,International Immunology,90.5,1460-2377,99.9,0953-8178,100.0,Oxford University Press,99.9,http://intimm.oxfordjournals.org,,1989,2015,27,0,1,27,27,0
intpor,International Journal of Public Opinion Research,99.8,1471-6909,100.0,0954-2892,100.0,Oxford University Press,100.0,http://ijpor.oxfordjournals.org,,1989,2015,27,0,1,27,27,0
intqhc,International Journal for Quality in Health Care,100.0,1464-3677,100.0,1353-4505,100.0,Oxford University Press,100.0,http://intqhc.oxfordjournals.org,,1989,2015,27,0,1,27,27,0
inttec,International Journal of Law and Information Technology,100.0,1464-3693,100.0,0967-0769,100.0,Oxford University Press,100.0,http://ijlit.oxfordjournals.org,,1993,2015,23,0,1,23,23,0
ips,International Political Sociology,100.0,1749-5687,100.0,1749-5679,100.0,Oxford University Press,52.0,http://ips.oxfordjournals.org,,2015,2015,1,0,9,9,1,0
irasia,International Relations of the Asia-Pacific,100.0,1470-4838,100.0,1470-482X,100.0,Oxford University Press,100.0,http://irap.oxfordjournals.org,,2015,2015,1,0,15,15,1,0
islamj,Journal of Islamic Studies,100.0,1471-6917,100.0,0955-2340,100.0,Oxford University Press,100.0,http://jis.oxfordjournals.org,,1990,2015,26,0,1,26,26,0
isle,Interdisciplinary Studies in Literature and Environment,100.0,1759-1090,100.0,1076-0962,100.0,Oxford University Press,61.0,http://isle.oxfordjournals.org,,1993,2015,22,1,1,22,22,0
isp,International Studies Perspectives,100.0,1528-3585,100.0,1528-3577,100.0,Oxford University Press,100.0,http://isp.oxfordjournals.org,,2015,2015,1,0,16,16,1,0
isq,International Studies Quarterly,100.0,1468-2478,100.0,0020-8833,100.0,Oxford University Press,100.0,http://isq.oxfordjournals.org,,2015,2015,1,0,59,59,1,0
isr,International Studies Review,100.0,1468-2486,100.0,1521-9488,100.0,Oxford University Press,53.8,http://isr.oxfordjournals.org,,2015,2015,1,0,17,17,1,0
iwc,Interacting with Computers,100.0,1873-7951,100.0,0953-5438,99.8,Oxford University Press,100.0,http://iwc.oxfordjournals.org,,1989,2015,27,0,1,27,27,0
jaarel,Journal of the American Academy of Religion,100.0,1477-4585,100.0,0002-7189,100.0,Oxford University Press,100.0,http://jaar.oxfordjournals.org,,1933,2015,83,0,1,83,25,58
