PUBLICATION_TITLE	PRINT_IDENTIFIER	ONLINE_IDENTIFIER	DATE_FIRST_ISSUE_ONLINE	NUM_FIRST_VOL_ONLINE	NUM_FIRST_ISSUE_ONLINE	DATE_LAST_ISSUE_ONLINE	NUM_LAST_VOL_ONLINE	NUM_LAST_ISSUE_ONLINE	TITLE_URL	FIRST_AUTHOR	TITLE_ID	EMBARGO_INFO	COVERAGE_DEPTH	NOTES	PUBLISHER_NAME	PUBLICATION_TYPE	DATE_MONOGRAPH_PUBLISHED_PRINT	DATE_MONOGRAPH_PUBLISHED_ONL	MONOGRAPH_VOLUME	MONOGRAPH_EDITION	FIRST_EDITOR	PARENT_PUBLICATION_TITLE_ID	PRECEDING_PUBLICATION_TITLE_ID	ACCESS_TYPE
Anglia	0340-5222	1865-8938	1878-01-01	1	1	2021-11-20	139	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-8938		1865-8938		fulltext	Online	De Gruyter	serial								P
Antike und Abendland	0003-5696	1613-0421	1944-01-01		1	2021-11-15		67	https://www.degruyter.com/openurl?genre=journal&issn=1613-0421		1613-0421		fulltext	Online	De Gruyter	yearbook								P
Apeiron	0003-6390	2156-7093	1967-03-01	1	März	2021-10-15	54	4	https://www.degruyter.com/openurl?genre=journal&issn=2156-7093		2156-7093		fulltext	Online	De Gruyter	serial								P
Applied Linguistics Review	1868-6303	1868-6311	2010-05-26	1	1	2021-11-15	12	4	https://www.degruyter.com/openurl?genre=journal&issn=1868-6311		1868-6311		fulltext	Online	De Gruyter Mouton	serial								P
Arbitrium	0723-2977	1865-8849	1985-01-01	3	1	2021-12-20	39	3	https://www.degruyter.com/openurl?genre=journal&issn=1865-8849		1865-8849		fulltext	Online	De Gruyter	serial								P
arcadia	0003-7982	1613-0642	1966-01-01	1	1	2021-11-28	56	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0642		1613-0642		fulltext	Online	De Gruyter	serial								P
Archiv für Geschichte der Philosophie	0003-9101	1613-0650	1888-01-01	1	1	2021-12-15	103	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-0650		1613-0650		fulltext	Online	De Gruyter	serial								P
Archiv für Papyrusforschung und verwandte Gebiete	0066-6459	1867-1551	1901-01-01	1	1	2021-12-20	67	2	https://www.degruyter.com/openurl?genre=journal&issn=1867-1551		1867-1551		fulltext	Online	De Gruyter	serial								P
Archiv für Reformationsgeschichte - Archive for Reformation History	0003-9381	2198-0489	1904-06-15	1	1	2021-10-16	112	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0489		2198-0489		fulltext	Online	Gütersloher Verlagshaus	serial								P
Archiv für Reformationsgeschichte / Literaturberichte - Archive for Reformation History / Literature Review	0341-8375	2198-0497	1972-06-15	1	1	2019-11-20	48	1	https://www.degruyter.com/openurl?genre=journal&issn=2198-0497		2198-0497		fulltext	CEASED !	Gütersloher Verlagshaus	serial								P
Archiv für Religionsgeschichte	1436-3038	1868-8888	1999-01-01		1	2021-02-20		23	https://www.degruyter.com/openurl?genre=journal&issn=1868-8888		1868-8888		fulltext	Online	De Gruyter	yearbook								P
Aschkenas	1016-4987	1865-9438	1992-12-20	2	1	2021-12-20	31	2	https://www.degruyter.com/openurl?genre=journal&issn=1865-9438		1865-9438		fulltext	Online	De Gruyter	serial								P
Asian Journal of Law and Economics	2194-6086	2154-4611	2010-06-20	1	1	2021-12-20	12	3	https://www.degruyter.com/openurl?genre=journal&issn=2154-4611		2154-4611		fulltext	Online	De Gruyter	serial								P
Asia-Pacific Journal of Risk and Insurance	1793-2157	2153-3792	2005-06-20	1	1	2021-07-31	15	2	https://www.degruyter.com/openurl?genre=journal&issn=2153-3792		2153-3792		fulltext	Online	De Gruyter	serial								P
Asiatische Studien - Études Asiatiques	0004-4717	2235-5871	2014-02-28	68	1	2021-11-28	75	4	https://www.degruyter.com/openurl?genre=journal&issn=2235-5871		2235-5871		fulltext	Online	De Gruyter	serial								P
at - Automatisierungstechnik	0178-2312	2196-677X	1964-06-20	12	1-12	2021-12-15	69	12	https://www.degruyter.com/openurl?genre=journal&issn=2196-677X		2196-677X		fulltext	Online	De Gruyter (O)	serial								P
Basic Income Studies	2194-6094	1932-0183	2006-06-20	1	1	2021-12-01	16	2	https://www.degruyter.com/openurl?genre=journal&issn=1932-0183		1932-0183		fulltext	Online	De Gruyter	serial								P
Beiträge zur Geschichte der deutschen Sprache und Literatur	0005-8076	1865-9373	1874-01-01	1	Jahresband	2021-12-20	143	4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9373		1865-9373		fulltext	Online	De Gruyter	serial								P
Bibliotheksdienst	0006-1972	2194-9646	1967-04-01	1	1	2021-11-26	55	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-9646		2194-9646		fulltext	Online	De Gruyter Saur	serial								F
Bio-Algorithms and Med-Systems		1896-530X	2023-02-20	8	1				https://www.degruyter.com/openurl?genre=journal&issn=1896-530X		1896-530X		fulltext	CEASED !	Sciendo	serial								F
BioInorganic Reaction Mechanisms	2191-2483	2191-2491	2003-11-01	5	Nov	2013-03-15	9	1-4	https://www.degruyter.com/openurl?genre=journal&issn=2191-2491		2191-2491		fulltext	CEASED !	De Gruyter	serial								P
Biological Chemistry	1431-6730	1437-4315	1878-01-01	1	1	2021-11-20	402	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4315		1437-4315		fulltext	Online	De Gruyter	serial								P
Biomedical Engineering / Biomedizinische Technik 	0013-5585	1862-278X	1956-01-01	1	1	2021-12-20	66	6	https://www.degruyter.com/openurl?genre=journal&issn=1862-278X		1862-278X		fulltext	Online	De Gruyter	serial								P
Biomolecular Concepts	1868-5021	1868-503X	2010-05-26	1	1	2021-06-20	12	1	https://www.degruyter.com/openurl?genre=journal&issn=1868-503X		1868-503X		fulltext	Online	De Gruyter	serial								F
Botanica Marina	0006-8055	1437-4323	1959-01-01	1	Jan	2021-12-29	64	6	https://www.degruyter.com/openurl?genre=journal&issn=1437-4323		1437-4323		fulltext	Online	De Gruyter	serial								P
Business and Politics	1369-5258	1469-3569	1999-12-10	1	1	2016-12-20	18	4	https://www.degruyter.com/openurl?genre=journal&issn=1469-3569		1469-3569		fulltext	CEASED !	De Gruyter	serial								P
Byzantinische Zeitschrift	0007-7704	1868-9027	1892-01-01	1	1	2021-11-20	114	4	https://www.degruyter.com/openurl?genre=journal&issn=1868-9027		1868-9027		fulltext	Online	De Gruyter	serial								P
Case Reports in Perinatal Medicine	2192-8932	2192-8959	2012-06-20	1	1-2	2021-06-20	10	1	https://www.degruyter.com/openurl?genre=journal&issn=2192-8959		2192-8959		fulltext	Online	De Gruyter	serial								F
Chemical Product and Process Modeling	2194-6159	1934-2659	2006-05-01	1	1	2021-12-30	16	4	https://www.degruyter.com/openurl?genre=journal&issn=1934-2659		1934-2659		fulltext	Online	De Gruyter	serial								P
Chinese Archaeology	2160-5025	2160-5068	2001-10-10		1	2021-11-29		21	https://www.degruyter.com/openurl?genre=journal&issn=2160-5068		2160-5068		fulltext	Online	De Gruyter	serial								P
Chinese as a Second Language Research	2193-2263	2193-2271	2012-06-25	1	1	2021-10-15	10	2	https://www.degruyter.com/openurl?genre=journal&issn=2193-2271		2193-2271		fulltext	Online	De Gruyter Mouton	serial								P
Chinese Journal of Applied Linguistics	2192-9505	2192-9513	2011-06-15	34	1	2021-11-28	44	4	https://www.degruyter.com/openurl?genre=journal&issn=2192-9513		2192-9513		fulltext	Online	De Gruyter Mouton	serial								P
Chinese Semiotic Studies	2198-9605	2198-9613	2009-06-20		1-1	2021-11-20	17	4	https://www.degruyter.com/openurl?genre=journal&issn=2198-9613		2198-9613		fulltext	Online	De Gruyter Mouton	serial								F
Clinical Chemistry and Laboratory Medicine (CCLM)	1434-6621	1437-4331	1963-01-01	1	1	2021-11-15	59	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-4331		1437-4331		fulltext	Online	De Gruyter	serial								P
Cognitive Linguistics	0936-5907	1613-3641	1990-03-10	1	1	2021-11-27	32	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-3641		1613-3641		fulltext	Online	De Gruyter Mouton	serial								F
Communications	0341-2059	1613-4087	1976-01-01	2	1	2021-11-21	46	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-4087		1613-4087		fulltext	Online	De Gruyter Mouton	serial								P
Computational Methods in Applied Mathematics	1609-4840	1609-9389	2001-01-20	1	1	2021-10-30	21	4	https://www.degruyter.com/openurl?genre=journal&issn=1609-9389		1609-9389		fulltext	Online	De Gruyter	serial								P
Computer Law Review International	1610-7608	2194-4164	2005-02-15	6	1	2021-12-15	22	6	https://www.degruyter.com/openurl?genre=journal&issn=2194-4164		2194-4164		fulltext	Online	Verlag Dr. Otto Schmidt	serial								P
Computer und Recht	0179-1990	2194-4172	2005-01-15	21	1	2021-12-15	37	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-4172		2194-4172		fulltext	Online	Verlag Dr. Otto Schmidt	serial								P
Conceptus	0010-5155	2196-9523	2008-06-27	37	92	2016-11-20	45	107-108	https://www.degruyter.com/openurl?genre=journal&issn=2196-9523		2196-9523		fulltext	CEASED !	De Gruyter	serial								P
Corpus Linguistics and Linguistic Theory	1613-7027	1613-7035	2005-05-20	1	1	2021-11-20	17	3	https://www.degruyter.com/openurl?genre=journal&issn=1613-7035		1613-7035		fulltext	Online	De Gruyter Mouton	serial								P
Corrosion Reviews	0334-6005	2191-0316	1987-09-01	7	40604	2021-12-20	39	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0316		2191-0316		fulltext	Online	De Gruyter	serial								P
Das Mittelalter	0949-0345	2196-6869	1996-06-15	1	1	2020-11-20	25	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6869		2196-6869		fulltext	CEASED !	Akademie Verlag	serial								P
Der Islam	0021-1818	1613-0928	1910-01-01	1	1	2021-10-20	98	2	https://www.degruyter.com/openurl?genre=journal&issn=1613-0928		1613-0928		fulltext	Online	De Gruyter	serial								P
Deutsche Zeitschrift für Philosophie	0012-1045	2192-1482	1953-02-15	1	1	2021-12-15	69	6	https://www.degruyter.com/openurl?genre=journal&issn=2192-1482		2192-1482		fulltext	Online	De Gruyter (A)	serial								P
Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht	1439-1589	1612-7056	1991-01-01	1	1	2021-11-29	31	12	https://www.degruyter.com/openurl?genre=journal&issn=1612-7056		1612-7056		fulltext	Online	De Gruyter	serial								P
Deutsches Dante-Jahrbuch	0070-444X	2194-4059	1867-06-15		1	2021-10-30		96	https://www.degruyter.com/openurl?genre=journal&issn=2194-4059		2194-4059		fulltext	Online	De Gruyter	yearbook								P
Dialectologia et Geolinguistica	0942-4040	1867-0903	1993-01-01	1993	Jan	2021-11-20		29	https://www.degruyter.com/openurl?genre=journal&issn=1867-0903		1867-0903		fulltext	Online	De Gruyter Mouton	serial								P
Discrete Mathematics and Applications	0924-9265	1569-3929	1991-01-01	1	1	2021-12-15	31	6	https://www.degruyter.com/openurl?genre=journal&issn=1569-3929		1569-3929		fulltext	Online	De Gruyter	serial								P
Drug Metabolism and Personalized Therapy	2363-8907	2363-8915	1980-12-01	3	Dez	2021-12-20	36	4	https://www.degruyter.com/openurl?genre=journal&issn=2363-8915		2363-8915		fulltext	Online	De Gruyter	serial								P
editio	0931-3079	1865-9446	1988-01-01	2	2	2021-11-15		35	https://www.degruyter.com/openurl?genre=journal&issn=1865-9446		1865-9446		fulltext	Online	De Gruyter	yearbook								P
Energy Harvesting and Systems	2329-8774	2329-8766	2014-04-17	1	1-2	2021-11-20	8	2	https://www.degruyter.com/openurl?genre=journal&issn=2329-8766		2329-8766		fulltext	Online	De Gruyter	serial								F
English and American Studies in German	0071-0490	1865-8946	1969-01-01		1969	2019-11-15		2019	https://www.degruyter.com/openurl?genre=journal&issn=1865-8946		1865-8946		fulltext	CEASED !	De Gruyter	yearbook								P
Entrepreneurship Research Journal	2194-6175	2157-5665	2011-01-01	1	1	2021-10-20	11	4	https://www.degruyter.com/openurl?genre=journal&issn=2157-5665		2157-5665		fulltext	Online	De Gruyter	serial								P
Epidemiologic Methods	2194-9263	2161-962X	2012-12-01	1	1	2021-12-20	10	s1	https://www.degruyter.com/openurl?genre=journal&issn=2161-962X		2161-962X		fulltext	Online	De Gruyter	serial								P
e-Polymers 	2197-4586	1618-7229	2001-06-20	1	1	2021-01-15	21	1	https://www.degruyter.com/openurl?genre=journal&issn=1618-7229		1618-7229		fulltext	Online	De Gruyter	serial								F
Etruscan and Italic Studies	2566-9095	2566-9109	1994-06-20		1	2021-12-20	24	1-2	https://www.degruyter.com/openurl?genre=journal&issn=2566-9109		2566-9109		fulltext	Online	De Gruyter	serial								P
European Company and Financial Law Review	1613-2548	1613-2556	2004-03-01	1	1	2021-12-20	18	6	https://www.degruyter.com/openurl?genre=journal&issn=1613-2556		1613-2556		fulltext	Online	De Gruyter	serial								P
European Journal of Applied Linguistics	2192-9521	2192-953X	2013-06-15	1	1	2021-09-15	9	2	https://www.degruyter.com/openurl?genre=journal&issn=2192-953X		2192-953X		fulltext	Online	De Gruyter Mouton	serial								P
European Journal of Nanomedicine	1662-5986	1662-596X	2008-06-20	1	1	2017-07-15	9	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1662-596X		1662-596X		fulltext	CEASED !	De Gruyter	serial								P
European Journal of Scandinavian Studies	2191-9399	2191-9402	2010-10-20		2008/2010	2021-10-20	51	2	https://www.degruyter.com/openurl?genre=journal&issn=2191-9402		2191-9402		fulltext	Online	De Gruyter	serial								P
European Property Law Journal 	2190-8273	2190-8362	2011-11-20	1	1	2021-12-20	10	2-3	https://www.degruyter.com/openurl?genre=journal&issn=2190-8362		2190-8362		fulltext	Online	De Gruyter	serial								P
European Review of Contract Law	1614-9920	1614-9939	1967-02-01	1	Jan	2021-12-12	17	4	https://www.degruyter.com/openurl?genre=journal&issn=1614-9939		1614-9939		fulltext	Online	De Gruyter	serial								P
European Tort Law Yearbook 	2190-7773	2190-7781	2009-10-29		2009	2021-12-20		11	https://www.degruyter.com/openurl?genre=journal&issn=2190-7781		2190-7781		fulltext	CEASED !	De Gruyter	yearbook								P
Evangelische Theologie	0014-3502	2198-0470	1934-04-16	1	2	2021-12-02	81	6	https://www.degruyter.com/openurl?genre=journal&issn=2198-0470		2198-0470		fulltext	Online	Gütersloher Verlagshaus	serial								P
Fabula	0014-6242	1613-0464	1958-01-01	1	1	2021-11-20	62	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1613-0464		1613-0464		fulltext	Online	De Gruyter	serial								P
FinanzRundschau	2567-4765	2567-4897	2005-01-05	87	1	2021-12-20	103	24	https://www.degruyter.com/openurl?genre=journal&issn=2567-4897		2567-4897		fulltext	Online	Verlag Dr. Otto Schmidt	serial								P
Folia Linguistica	0165-4004	1614-7308	1967-01-01	1	3-4	2021-11-15	55	s42-s2	https://www.degruyter.com/openurl?genre=journal&issn=1614-7308		1614-7308		fulltext	Online	De Gruyter Mouton	serial								P
Forum for Health Economics & Policy	2194-6191	1558-9544	1998-10-01	1	1	2021-12-15	24	2	https://www.degruyter.com/openurl?genre=journal&issn=1558-9544		1558-9544		fulltext	Online	De Gruyter	serial								P
FORUM für osteuropäische Zeit- und Ideengeschichte	1433-4887	2194-3672	1997-06-30	1	1	2013-12-30	17	2	https://www.degruyter.com/openurl?genre=journal&issn=2194-3672		2194-3672		fulltext	CEASED !	Böhlau Verlag	serial								P
Forum Mathematicum 	0933-7741	1435-5337	1989-01-01	1	Jan	2021-09-30	33	6	https://www.degruyter.com/openurl?genre=journal&issn=1435-5337		1435-5337		fulltext	Online	De Gruyter	serial								P
Frequenz	0016-1136	2191-6349	1949-01-01	3	Jan	2021-12-20	75	11-12	https://www.degruyter.com/openurl?genre=journal&issn=2191-6349		2191-6349		fulltext	Online	De Gruyter	serial								P
Frühmittelalterliche Studien	0071-9706	1613-0812	1967-01-01	1	1967	2021-11-15		55	https://www.degruyter.com/openurl?genre=journal&issn=1613-0812		1613-0812		fulltext	Online	De Gruyter	yearbook								F
George-Jahrbuch	1430-2519	1865-8881	2009-12-20		7 (2008/09)	2013-11-20		10 (2014/15)	https://www.degruyter.com/openurl?genre=journal&issn=1865-8881		1865-8881		fulltext	CEASED !	De Gruyter	yearbook								P
Georgian Mathematical Journal	1072-947X	1572-9176	1994-02-01	1	1	2021-12-20	28	6	https://www.degruyter.com/openurl?genre=journal&issn=1572-9176		1572-9176		fulltext	Online	De Gruyter	serial								P
Germanistik	0016-8912	1865-9187	2007-12-01	48	1/2	2021-12-20	62	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9187		1865-9187		fulltext	Online	De Gruyter	serial								P
GesundheitsRecht	1610-1197	2194-4229	2005-01-15	2	1	2021-12-20	20	12	https://www.degruyter.com/openurl?genre=journal&issn=2194-4229		2194-4229		fulltext	Online	Verlag Dr. Otto Schmidt	serial								P
Global Economy Journal	2194-5659	1553-5304	2000-03-01	1	1	2018-12-30	18	4	https://www.degruyter.com/openurl?genre=journal&issn=1553-5304		1553-5304		fulltext	CEASED !	De Gruyter	serial								P
Global Jurist	2194-5675	1934-2640	2001-11-01	1	1	2021-10-15	21	3	https://www.degruyter.com/openurl?genre=journal&issn=1934-2640		1934-2640		fulltext	Online	De Gruyter	serial								P
Glottotheory 	1337-7892	2196-6907	2008-07-20	1	1	2021-11-15	12	2	https://www.degruyter.com/openurl?genre=journal&issn=2196-6907		2196-6907		fulltext	Online	De Gruyter (A)	serial								P
Green	1869-876X	1869-8778	2011-02-20	1	1	2015-04-20	5	1-6	https://www.degruyter.com/openurl?genre=journal&issn=1869-8778		1869-8778		fulltext	CEASED !	De Gruyter	serial								P
Green Processing and Synthesis	2191-9542	2191-9550	2012-02-20	1	1	2021-12-20	10	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-9550		2191-9550		fulltext	Online	De Gruyter	serial								F
Groups Complexity Cryptology	1867-1144	1869-6104	2009-05-01	1	April	2019-11-20	11	2	https://www.degruyter.com/openurl?genre=journal&issn=1869-6104		1869-6104		fulltext	CEASED !	De Gruyter	serial								P
Hegel-Jahrbuch	0073-1579	2192-5550	1999-06-15		1999	2018-06-15		2018	https://www.degruyter.com/openurl?genre=journal&issn=2192-5550		2192-5550		fulltext	CEASED !	Akademie Verlag	yearbook								P
Helia	1018-1806	2197-0483	2000-06-20	23	33	2021-12-20	44	75	https://www.degruyter.com/openurl?genre=journal&issn=2197-0483		2197-0483		fulltext	CEASED !	De Gruyter	serial								P
Heterocyclic Communications	0793-0283	2191-0197	1994-01-01	1	Febr	2021-12-20	27	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0197		2191-0197		fulltext	Online	De Gruyter	serial								F
High Temperature Materials and Processes	0334-6455	2191-0324	1984-01-01	6	1/2	2021-01-20	40	1	https://www.degruyter.com/openurl?genre=journal&issn=2191-0324		2191-0324		fulltext	Online	De Gruyter	serial								F
Historische Zeitschrift	0018-2613	2196-680X	1859-06-20	1-2	1	2021-12-20	313	3	https://www.degruyter.com/openurl?genre=journal&issn=2196-680X		2196-680X		fulltext	Online	De Gruyter Oldenbourg	serial								P
Holzforschung	0018-3830	1437-434X	1947-01-01	1	1	2021-12-20	75	12	https://www.degruyter.com/openurl?genre=journal&issn=1437-434X		1437-434X		fulltext	Online	De Gruyter	serial								P
Hormone Molecular Biology and Clinical Investigation	1868-1883	1868-1891	2010-03-27		1	2021-12-20	42	4	https://www.degruyter.com/openurl?genre=journal&issn=1868-1891		1868-1891		fulltext	Online	De Gruyter	serial								P
HUMOR	0933-1719	1613-3722	1988-01-01	1	1	2021-10-19	34	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-3722		1613-3722		fulltext	Online	De Gruyter Mouton	serial								P
Iberoromania	0019-0993	1865-9039	1969-01-01		1	2021-11-28		94	https://www.degruyter.com/openurl?genre=journal&issn=1865-9039		1865-9039		fulltext	Online	De Gruyter	serial								P
i-com	1618-162X	2196-6826	2001-08-20		O	2021-12-15	20	3	https://www.degruyter.com/openurl?genre=journal&issn=2196-6826		2196-6826		fulltext	Online	Oldenbourg Wissenschaftsverlag	serial								F
Indogermanische Forschungen	0019-7262	1613-0405	1892-01-01		1	2021-11-15		126	https://www.degruyter.com/openurl?genre=journal&issn=1613-0405		1613-0405		fulltext	Online	De Gruyter	yearbook								P
Information – Wissenschaft & Praxis	1434-4653	1619-4292	2012-02-20	63	1	2021-10-20	72	5-6	https://www.degruyter.com/openurl?genre=journal&issn=1619-4292		1619-4292		fulltext	Online	De Gruyter Saur	serial								P
Innovative Neurosurgery	2193-522X	2193-5238	2013-03-20	1	1	2016-11-20	4	1-4	https://www.degruyter.com/openurl?genre=journal&issn=2193-5238		2193-5238		fulltext	CEASED !	De Gruyter	serial								P
Intercultural Pragmatics	1612-295X	1613-365X	2004-03-01	1	1	2021-11-20	18	5	https://www.degruyter.com/openurl?genre=journal&issn=1613-365X		1613-365X		fulltext	Online	De Gruyter Mouton	serial								P
International African Bibliography	0020-5877	1865-9640	1971-01-01	1	1	2015-12-30	45	3-4	https://www.degruyter.com/openurl?genre=journal&issn=1865-9640		1865-9640		fulltext	CEASED !	De Gruyter	serial								P
International Commentary on Evidence	2194-5691	1554-4567	1998-08-01	1	1	2019-12-20	17	1	https://www.degruyter.com/openurl?genre=journal&issn=1554-4567		1554-4567		fulltext	CEASED !	De Gruyter	serial								P
International Journal of Adolescent Medicine and Health 	0334-0139	2191-0278	1985-01-01	1	1/2	2021-12-20	33	6	https://www.degruyter.com/openurl?genre=journal&issn=2191-0278		2191-0278		fulltext	Online	De Gruyter	serial								P
International Journal of Chemical Reactor Engineering	2194-5748	1542-6580	2003-05-01	1	1	2021-12-20	19	12	https://www.degruyter.com/openurl?genre=journal&issn=1542-6580		1542-6580		fulltext	Online	De Gruyter	serial								P
International Journal of Emerging Electric Power Systems	2194-5756	1553-779X	2004-01-01	1	1	2021-12-16	22	6	https://www.degruyter.com/openurl?genre=journal&issn=1553-779X		1553-779X		fulltext	Online	De Gruyter	serial								P
International Journal of Food Engineering	2194-5764	1556-3758	2005-01-01	1	1	2021-12-20	17	12	https://www.degruyter.com/openurl?genre=journal&issn=1556-3758		1556-3758		fulltext	Online	De Gruyter	serial								P
International Journal of Nonlinear Sciences and Numerical Simulation	1565-1339	2191-0294	2000-03-01	1	1-8	2021-12-10	22	7-8	https://www.degruyter.com/openurl?genre=journal&issn=2191-0294		2191-0294		fulltext	CEASED !	De Gruyter	serial								P
International Journal of Nursing Education Scholarship	2194-5772	1548-923X	2004-01-01	1	1	2021-01-01	18	1	https://www.degruyter.com/openurl?genre=journal&issn=1548-923X		1548-923X		fulltext	Online	De Gruyter	serial								P
International Journal of Practical Theology 	1430-6921	1612-9768	1997-01-01	1	1	2021-11-28	25	2	https://www.degruyter.com/openurl?genre=journal&issn=1612-9768		1612-9768		fulltext	Online	De Gruyter	serial								P
International Journal of the Sociology of Language	0165-2516	1613-3668	1974-01-01		1	2021-11-29		272	https://www.degruyter.com/openurl?genre=journal&issn=1613-3668		1613-3668		fulltext	Online	De Gruyter Mouton	serial								P
International Journal of Turbo & Jet-Engines 	0334-0082	2191-0332	1985-03-01	2	1	2021-12-15	38	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0332		2191-0332		fulltext	Online	De Gruyter	serial								P
International Journal on Disability and Human Development	2191-1231	2191-0367	1999-01-01	1	Jan	2017-11-20	16	4	https://www.degruyter.com/openurl?genre=journal&issn=2191-0367		2191-0367		fulltext	CEASED !	De Gruyter	serial								P
International Review of Applied Linguistics in Language Teaching	0019-042X	1613-4141	1963-01-01	1	Jan/Dez	2021-11-28	59	4	https://www.degruyter.com/openurl?genre=journal&issn=1613-4141		1613-4141		fulltext	Online	De Gruyter Mouton	serial								P
International Yearbook for Tillich Research	1990-4231	2190-7455	2011-06-20		6	2018-11-15		13	https://www.degruyter.com/openurl?genre=journal&issn=2190-7455		2190-7455		fulltext	CEASED !	De Gruyter	yearbook								P
International Yearbook of Futurism Studies	2192-0281	2192-029X	2011-11-30		1	2013-06-15		3	https://www.degruyter.com/openurl?genre=journal&issn=2192-029X		2192-029X		fulltext	CEASED !	De Gruyter	yearbook								P
Internationales Archiv für Sozialgeschichte der deutschen Literatur	0340-4528	1865-9128	1976-01-01	1	1	2021-11-28	46	2	https://www.degruyter.com/openurl?genre=journal&issn=1865-9128		1865-9128		fulltext	Online	De Gruyter	serial								P
Internationales Handelsrecht	1617-5395	2193-9527	1999-03-24		3	2021-12-15	21	6	https://www.degruyter.com/openurl?genre=journal&issn=2193-9527		2193-9527		fulltext	Online	Verlag Dr. Otto Schmidt	serial								P
Internationales Jahrbuch für philosophische Anthropologie	2192-4279	2192-4287	2008-12-15		1 (2007/08)	2021-12-20		11	https://www.degruyter.com/openurl?genre=journal&issn=2192-4287		2192-4287		fulltext	Online	De Gruyter (A)	yearbook								P
