Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
bes,Bulletin of entomological research supplement series,1367-4269,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bes/type/JOURNAL,33,1993,1,1995,3
bhr,Business History Review,0007-6805,2044-768X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bhr/type/JOURNAL,8641,1926,1,2015,89
bil,Bilingualism: Language and Cognition,1366-7289,1469-1841,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bil/type/JOURNAL,741,1998,1,2015,18
bim,Brain Impairment,1443-9646,1839-5252,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bim/type/JOURNAL,373,2000,1,2015,16
bjh,The British Journal for the History of Science,0007-0874,1474-001X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bjh/type/JOURNAL,4853,1962,1,2015,48
bjn,British Journal of Nutrition,0007-1145,1475-2662,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bjn/type/JOURNAL,12615,1947,1,2015,114
bme,British Journal of Music Education,0265-0517,1469-2104,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bme/type/JOURNAL,1531,1984,1,2015,32
bms,Bulletin of the British Association for American Studies,0524-5001,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bms/type/JOURNAL,315,1956,1,1966,12
brc,Bulletin International des Societes de la Croix-Rouge,1816-9686,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/brc/type/JOURNAL,5017,1869,1,1918,49
bri,Britannia,0068-113X,1753-5352,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bri/type/JOURNAL,2202,1970,1,2015,46
bsh,Bulletin of the International Institute of Social History,0921-254X,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bsh/type/JOURNAL,137,1937,1,1955,10
bsl,Bulletin of Symbolic Logic,1079-8986,1943-5894,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bsl/type/JOURNAL,1154,1995,1,2015,21
bso,Bulletin of the School of Oriental and African Studies,0041-977X,1474-0699,Cambridge University Press,http://www.cambridge.org/core/product/identifier/bso/type/JOURNAL,16930,1917,1,2015,78
caj,Cambridge Archaeological Journal,0959-7743,1474-0540,Cambridge University Press,http://www.cambridge.org/core/product/identifier/caj/type/JOURNAL,1008,1991,1,2015,25
caq,The Classical Quarterly,0009-8388,1471-6844,Cambridge University Press,http://www.cambridge.org/core/product/identifier/caq/type/JOURNAL,5636,1907,1,2015,65
car,The Classical Review,0009-840X,1464-3561,Cambridge University Press,http://www.cambridge.org/core/product/identifier/car/type/JOURNAL,31651,1887,1,2015,65
cbt,The Cognitive Behaviour Therapist,,1754-470X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cbt/type/JOURNAL,135,2008,1,2015,8
ccc,Central European History,0008-9389,1569-1616,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ccc/type/JOURNAL,3376,1968,1,2015,48
ccj,Proceedings of the Cambridge Philological Society,0068-6735,2047-993X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ccj/type/JOURNAL,1245,1882,1,2015,180
ceh,Contemporary European History,0960-7773,1469-2171,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ceh/type/JOURNAL,937,1992,1,2015,24
cel,Cambridge Yearbook of European Legal Studies,1528-8870,2049-7636,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cel/type/JOURNAL,441,1998,1,2015,17
cha,Children Australia,1035-0772,2049-7776,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cha/type/JOURNAL,229,1976,1,2015,40
chh,Church History: Studies in Christianity and Culture,0009-6407,1755-2613,Cambridge University Press,http://www.cambridge.org/core/product/identifier/chh/type/JOURNAL,14364,1932,1,2015,84
chj,Cambridge Historical Journal,1474-6913,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/chj/type/JOURNAL,384,1923,1,1957,13
cje,Canadian Journal of Economics and Political Science/Revue canadienne de economiques et science politique,0315-4890,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cje/type/JOURNAL,3552,1935,1,1967,33
cjg,Canadian Journal on Aging / La Revue canadienne du vieillissement,0714-9808,1710-1107,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cjg/type/JOURNAL,2137,1982,1,2015,34
cjl,The Canadian Journal of Law and Jurisprudence,0841-8209,2056-4260,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cjl/type/JOURNAL,655,1988,1,2015,28
cjn,Canadian Journal of Neurological Sciences / Journal Canadien des Sciences Neurologiques,0317-1671,2057-0155,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cjn/type/JOURNAL,6039,1974,1,2015,42
cjp,Canadian Journal of Political Science,0008-4239,1744-9324,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cjp/type/JOURNAL,7316,1968,1,2015,48
clj,The Cambridge Law Journal,0008-1973,1469-2139,Cambridge University Press,http://www.cambridge.org/core/product/identifier/clj/type/JOURNAL,8571,1921,1,2015,74
cls,Canadian journal of law and society,0829-3201,1911-0227,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cls/type/JOURNAL,1199,1986,1,2015,30
cns,CNS Spectrums,1092-8529,2165-6509,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cns/type/JOURNAL,3106,1996,1,2015,20
com,Compositio Mathematica,0010-437X,1570-5846,London Mathematical Society,http://www.cambridge.org/core/product/identifier/com/type/JOURNAL,1495,1997,105,2015,151
con,Continuity and Change,0268-4160,1469-218X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/con/type/JOURNAL,1105,1986,1,2015,30
cor,Congress on Research in Dance Conference Proceedings,,2049-1255,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cor/type/JOURNAL,229,2007,,2015,
cpc,"Combinatorics, Probability and Computing",0963-5483,1469-2163,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cpc/type/JOURNAL,1213,1992,1,2015,24
cph,Communications in Computational Physics,1815-2406,1991-7120,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cph/type/JOURNAL,650,2011,9,2015,18
cqh,Cambridge Quarterly of Healthcare Ethics,0963-1801,1469-2147,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cqh/type/JOURNAL,1871,1992,1,2015,24
cqy,The China Quarterly,0305-7410,1468-2648,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cqy/type/JOURNAL,7400,1960,1,2015,224
css,Comparative Studies in Society and History,0010-4175,1475-2999,Cambridge University Press,http://www.cambridge.org/core/product/identifier/css/type/JOURNAL,3010,1958,1,2015,57
cty,Cardiology in the Young,1047-9511,1467-1107,Cambridge University Press,http://www.cambridge.org/core/product/identifier/cty/type/JOURNAL,3928,1991,1,2015,25
dar,Journal of Dairy Research,0022-0299,1469-7629,Cambridge University Press,http://www.cambridge.org/core/product/identifier/dar/type/JOURNAL,4616,1929,1,2015,82
dbr,Du Bois Review: Social Science Research on Race,1742-058X,1742-0598,Cambridge University Press,http://www.cambridge.org/core/product/identifier/dbr/type/JOURNAL,387,2004,1,2015,12
dem,Journal of Demographic Economics,2054-0892,2054-0906,Cambridge University Press,http://www.cambridge.org/core/product/identifier/dem/type/JOURNAL,46,2015,81,2015,81
dia,Dialogue,0012-2173,1759-0949,Cambridge University Press,http://www.cambridge.org/core/product/identifier/dia/type/JOURNAL,5632,1962,1,2015,54
dmp,Disaster Medicine and Public Health Preparedness,1935-7893,1938-744X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/dmp/type/JOURNAL,868,2007,1,2015,9
doh,Journal of Developmental Origins of Health and Disease,2040-1744,2040-1752,Cambridge University Press,http://www.cambridge.org/core/product/identifier/doh/type/JOURNAL,435,2009,1,2015,6
dpp,Development and Psychopathology,0954-5794,1469-2198,Cambridge University Press,http://www.cambridge.org/core/product/identifier/dpp/type/JOURNAL,1772,1989,1,2015,27
drj,Dance Research Journal,0149-7677,1940-509X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/drj/type/JOURNAL,1724,1973,6,2015,47
dsj,Design Science,,2053-4701,Cambridge University Press,http://www.cambridge.org/core/product/identifier/dsj/type/JOURNAL,5,2015,1,2015,1
eac,Early China,0362-5028,2325-2324,Cambridge University Press,http://www.cambridge.org/core/product/identifier/eac/type/JOURNAL,809,1975,1,2015,38
eag,Experimental Agriculture,0014-4797,1469-4441,Cambridge University Press,http://www.cambridge.org/core/product/identifier/eag/type/JOURNAL,4277,1965,1,2015,51
eam,East Asian Journal on Applied Mathematics,2079-7362,2079-7370,Cambridge University Press,http://www.cambridge.org/core/product/identifier/eam/type/JOURNAL,107,2011,1,2015,5
eap,Economics and Philosophy,0266-2671,1474-0028,Cambridge University Press,http://www.cambridge.org/core/product/identifier/eap/type/JOURNAL,1014,1985,1,2015,31
ech,The Journal of Ecclesiastical History,0022-0469,1469-7637,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ech/type/JOURNAL,12934,1950,1,2015,66
ecm,Eighteenth Century Music,1478-5706,1478-5714,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ecm/type/JOURNAL,663,2004,1,2015,12
ect,Econometric Theory,0266-4666,1469-4360,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ect/type/JOURNAL,2065,1985,1,2015,31
ede,Environment and Development Economics,1355-770X,1469-4395,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ede/type/JOURNAL,976,1996,1,2015,20
edp,The Australian Educational and Developmental Psychologist,0816-5122,1839-2504,Cambridge University Press,http://www.cambridge.org/core/product/identifier/edp/type/JOURNAL,525,1985,2,2015,32
eia,Ethics & International Affairs,0892-6794,1747-7093,Cambridge University Press,http://www.cambridge.org/core/product/identifier/eia/type/JOURNAL,1237,1987,1,2015,29
ejb,Edinburgh Journal of Botany,0960-4286,1474-0036,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ejb/type/JOURNAL,941,1990,47,2015,72
ejm,European Journal of Applied Mathematics,0956-7925,1469-4425,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ejm/type/JOURNAL,961,1990,1,2015,26
elj,Ecclesiastical Law Journal,0956-618X,1751-8539,Cambridge University Press,http://www.cambridge.org/core/product/identifier/elj/type/JOURNAL,1663,1987,1,2015,17
ell,English Language and Linguistics,1360-6743,1469-4379,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ell/type/JOURNAL,592,1997,1,2015,19
emh,Early Music History,0261-1279,1474-0559,Cambridge University Press,http://www.cambridge.org/core/product/identifier/emh/type/JOURNAL,347,1981,1,2015,34
enc,Environmental Conservation,0376-8929,1469-4387,Cambridge University Press,http://www.cambridge.org/core/product/identifier/enc/type/JOURNAL,5122,1974,1,2015,42
eng,English Today,0266-0784,1474-0567,Cambridge University Press,http://www.cambridge.org/core/product/identifier/eng/type/JOURNAL,2065,1985,1,2015,31
enp,Environmental Practice,1466-0466,1466-0474,Cambridge University Press,http://www.cambridge.org/core/product/identifier/enp/type/JOURNAL,1139,1999,1,2015,17
epi,Episteme,1742-3600,1750-0117,Cambridge University Press,http://www.cambridge.org/core/product/identifier/epi/type/JOURNAL,337,2004,1,2015,12
epj,English Profile Journal,,2041-5362,Cambridge University Press,http://www.cambridge.org/core/product/identifier/epj/type/JOURNAL,13,2010,1,2013,3
epr,European Political Science Review,1755-7739,1755-7747,Cambridge University Press,http://www.cambridge.org/core/product/identifier/epr/type/JOURNAL,201,2009,1,2015,7
eps,Epidemiologia e Psichiatria Sociale,1121-189X,2038-1816,Cambridge University Press,http://www.cambridge.org/core/product/identifier/eps/type/JOURNAL,1295,1992,1,2015,24
epx,Epidemiologia e psichiatria sociale. Monograph Supplement,1827-4331,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/epx/type/JOURNAL,99,1997,6,2004,13
erm,Expert Reviews in Molecular Medicine,1462-3994,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/erm/type/JOURNAL,466,1997,1,2015,17
erw,European Review,1062-7987,1474-0575,Cambridge University Press,http://www.cambridge.org/core/product/identifier/erw/type/JOURNAL,1353,1993,1,2015,23
eso,Enterprise and Society,1467-2227,1467-2235,Cambridge University Press,http://www.cambridge.org/core/product/identifier/eso/type/JOURNAL,1615,2000,1,2015,16
ets,Ergodic Theory and Dynamical Systems,0143-3857,1469-4417,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ets/type/JOURNAL,2754,1981,1,2015,35
eur,European Journal of Sociology,0003-9756,1474-0583,Cambridge University Press,http://www.cambridge.org/core/product/identifier/eur/type/JOURNAL,1342,1960,1,2015,56
fhr,Financial History Review,0968-5650,1474-0052,Cambridge University Press,http://www.cambridge.org/core/product/identifier/fhr/type/JOURNAL,501,1994,1,2015,22
flm,Journal of Fluid Mechanics,0022-1120,1469-7645,Cambridge University Press,http://www.cambridge.org/core/product/identifier/flm/type/JOURNAL,20725,1956,1,2015,785
fmp,"Forum of Mathematics, Pi",,2050-5086,Cambridge University Press,http://www.cambridge.org/core/product/identifier/fmp/type/JOURNAL,13,2013,1,2015,3
fmr,Fetal and Maternal Medicine Review,0965-5395,1469-5065,Cambridge University Press,http://www.cambridge.org/core/product/identifier/fmr/type/JOURNAL,444,1989,1,2014,25
fms,"Forum of Mathematics, Sigma",,2050-5094,Cambridge University Press,http://www.cambridge.org/core/product/identifier/fms/type/JOURNAL,61,2013,1,2015,3
fpb,Foreign Policy Bulletin,1052-7036,1745-1302,Cambridge University Press,http://www.cambridge.org/core/product/identifier/fpb/type/JOURNAL,1416,1990,1,2012,22
gar,Greece and Rome,0017-3835,1477-4550,Cambridge University Press,http://www.cambridge.org/core/product/identifier/gar/type/JOURNAL,3635,1931,1,2015,62
gcn,Global Constitutionalism,2045-3817,2045-3825,Cambridge University Press,http://www.cambridge.org/core/product/identifier/gcn/type/JOURNAL,95,2012,1,2015,4
geo,Geological Magazine,0016-7568,1469-5081,Cambridge University Press,http://www.cambridge.org/core/product/identifier/geo/type/JOURNAL,23229,1864,1,2015,152
glo,The Geologist,1359-4656,,Cambridge University Press,http://www.cambridge.org/core/product/identifier/glo/type/JOURNAL,798,1858,1,1864,7
gmh,Global Mental Health,,2054-4251,Cambridge University Press,http://www.cambridge.org/core/product/identifier/gmh/type/JOURNAL,30,2014,1,2015,2
gmj,Glasgow Mathematical Journal,0017-0895,1469-509X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/gmj/type/JOURNAL,2520,1952,1,2015,57
gov,Government and Opposition,0017-257X,1477-7053,Cambridge University Press,http://www.cambridge.org/core/product/identifier/gov/type/JOURNAL,2053,1965,1,2015,50
grh,Genetical Research,0016-6723,1469-5073,Cambridge University Press,http://www.cambridge.org/core/product/identifier/grh/type/JOURNAL,4119,1960,1,2015,97
hep,"Health Economics, Policy and Law",1744-1331,1744-134X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/hep/type/JOURNAL,396,2006,1,2015,10
het,Journal of the History of Economic Thought,1053-8372,1469-9656,Cambridge University Press,http://www.cambridge.org/core/product/identifier/het/type/JOURNAL,1524,1979,1,2015,37
hgl,Hegel Bulletin,0263-5232,2051-5375,Cambridge University Press,http://www.cambridge.org/core/product/identifier/hgl/type/JOURNAL,903,1980,1,2015,36
hia,History in Africa,0361-5413,1558-2744,Cambridge University Press,http://www.cambridge.org/core/product/identifier/hia/type/JOURNAL,1062,1974,1,2015,42
his,The Historical Journal,0018-246X,1469-5103,Cambridge University Press,http://www.cambridge.org/core/product/identifier/his/type/JOURNAL,3735,1958,1,2015,58
hor,Horizons,0360-9669,2050-8557,Cambridge University Press,http://www.cambridge.org/core/product/identifier/hor/type/JOURNAL,4384,1974,1,2015,42
hpl,High Power Laser Science and Engineering,2095-4719,2052-3289,Cambridge University Press,http://www.cambridge.org/core/product/identifier/hpl/type/JOURNAL,96,2013,1,2015,3
htr,Harvard Theological Review,0017-8160,1475-4517,Cambridge University Press,http://www.cambridge.org/core/product/identifier/htr/type/JOURNAL,3653,1908,1,2015,108
hyg,Epidemiology and Infection,0950-2688,1469-4409,Cambridge University Press,http://www.cambridge.org/core/product/identifier/hyg/type/JOURNAL,10879,1901,1,2015,143
iau,Proceedings of the International Astronomical Union,1743-9213,1743-9221,Cambridge University Press,http://www.cambridge.org/core/product/identifier/iau/type/JOURNAL,11762,2004,,2015,
ice,Infection Control & Hospital Epidemiology,0899-823X,1559-6834,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ice/type/JOURNAL,8788,1980,1,2015,36
idm,International Journal of Disability Management,1833-8550,1834-4887,Cambridge University Press,http://www.cambridge.org/core/product/identifier/idm/type/JOURNAL,129,2006,1,2015,10
ihs,Irish Historical Studies,0021-1214,2056-4139,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ihs/type/JOURNAL,496,2010,37,2015,39
ija,International Journal of Astrobiology,1473-5504,1475-3006,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ija/type/JOURNAL,558,2002,1,2015,14
ijc,International Journal of Law in Context,1744-5523,1744-5531,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ijc/type/JOURNAL,387,2005,1,2015,11
ilq,International and Comparative Law Quarterly,0020-5893,1471-6895,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ilq/type/JOURNAL,7638,1952,1,2015,64
ilw,International Labor and Working-Class History,0147-5479,1471-6445,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ilw/type/JOURNAL,2517,1972,1,2015,88
ino,International Organization,0020-8183,1531-5088,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ino/type/JOURNAL,4133,1947,1,2015,69
ins,Journal of the International Neuropsychological Society,1355-6177,1469-7661,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ins/type/JOURNAL,2045,1995,1,2015,21
int,International Theory,1752-9719,1752-9727,Cambridge University Press,http://www.cambridge.org/core/product/identifier/int/type/JOURNAL,203,2009,1,2015,7
iop,Industrial and Organizational Psychology,1754-9426,1754-9434,Cambridge University Press,http://www.cambridge.org/core/product/identifier/iop/type/JOURNAL,810,2008,1,2015,8
ipa,Journal of the International Phonetic Association,0025-1003,1475-3502,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ipa/type/JOURNAL,1183,1971,1,2015,45
ipg,International Psychogeriatrics,1041-6102,1741-203X,Cambridge University Press,http://www.cambridge.org/core/product/identifier/ipg/type/JOURNAL,3355,1989,1,2015,27
