First Matching Affiliation,First Matching Author,Institution Guess,doi,Url to publisher,Url to fulltext in Rero Doc,Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication,Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Universität St. Gallen, Universität Luzern, CREMA und economiesuisse","Schaltegger, Christoph A.",unilu,10.1111/j.1468-2516.2010.00332.x,https://doi.org/10.1111/j.1468-2516.2010.00332.x,http://doc.rero.ch/record/290480/files/j.1468-2516.2010.00332.x.pdf,Fiskalpolitik als antizyklisches Instrument? Eine Betrachtung der Schweiz,,"Schaltegger, Christoph A.;Weder, Martin",2010,Perspektiven der Wirtschaftspolitik,"Universität St. Gallen, Universität Luzern, CREMA und economiesuisse;Universität Luzern, economiesuisse",De Gruyter,,11,2,146,177,1465-6493,1468-2516,copyright,© 2014 by Walter de Gruyter GmbH & Co.,gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101111j14682516201000332x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101111j14682516201000332x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101111j14682516201000332x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101111j14682516201000332x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"1 Universität Luzern, Lehrbeauftragter am Soziologischen Seminar, Schweiz  Universität Luzern, Lehrbeauftragter am Soziologischen Seminar, Schweiz","Pahl, Hanno",unilu,10.1524/srsr.2012.0044,https://doi.org/10.1524/srsr.2012.0044,http://doc.rero.ch/record/297543/files/srsr.2012.0044.pdf,Theorie,,"Pahl, Hanno",2012,Soziologische Revue,"1 Universität Luzern, Lehrbeauftragter am Soziologischen Seminar, Schweiz  Universität Luzern, Lehrbeauftragter am Soziologischen Seminar, Schweiz",Oldenbourg Wissenschaftsverlag GmbH,,35,3,345,348,0343-4109,,copyright,"© by Oldenbourg Wissenschaftsverlag, München, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101524srsr20120044,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524srsr20120044&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524srsr20120044&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524srsr20120044&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
University of Lucerne E-mail: hyo.kang@unilu.ch E-mail: hyo.kang@unilu.ch,"Kang, Hyo Yoon",unilu,10.1017/S0269889712000233,https://doi.org/10.1017/S0269889712000233,http://doc.rero.ch/record/296131/files/S0269889712000233.pdf,Science Inside Law: The Making of a New Patent Class in the International Patent Classification,,"Kang, Hyo Yoon",2012,Science in Context,University of Lucerne E-mail: hyo.kang@unilu.ch E-mail: hyo.kang@unilu.ch,Cambridge University Press,2017-12-01,25,4,551,594,0269-8897,1474-0664,copyright,Copyright © Cambridge University Press 2012,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0269889712000233,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0269889712000233&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0269889712000233&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0269889712000233&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"1 Universität Luzern, Soziologisches Seminar  Universität Luzern, Soziologisches Seminar","Besio, Cristina",unilu,10.1524/srsr.2011.0005,https://doi.org/10.1524/srsr.2011.0005,http://doc.rero.ch/record/294740/files/srsr.2011.0005.pdf,Bereichsbesprechung. zum Thema: Systemtheorie,,"Besio, Cristina",2011,Soziologische Revue,"1 Universität Luzern, Soziologisches Seminar  Universität Luzern, Soziologisches Seminar",Oldenbourg Wissenschaftsverlag GmbH,,34,1,105,112,0343-4109,,copyright,"© by Oldenbourg Wissenschaftsverlag, München, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101524srsr20110005,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524srsr20110005&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524srsr20110005&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524srsr20110005&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Universität Luzern, Historisches Seminar, Luzern, Schweiz","Groebner, Valentin",unilu,10.1524/hzhz.2013.0103,https://doi.org/10.1524/hzhz.2013.0103,http://doc.rero.ch/record/297985/files/hzhz.2013.0103.pdf,Touristischer Geschichtsgebrauch. Über einige Merkmale neuer Vergangenheiten im 20. und 21. JahrhundertThe Touristic Use of History. About the Transformation of the Past in the 20th and 20st Centuries,,"Groebner, Valentin",2013,Historische Zeitschrift,"Universität Luzern, Historisches Seminar, Luzern, Schweiz",Oldenbourg Wissenschaftsverlag GmbH,,296,2,408,428,0018-2613,,copyright,"© by Oldenbourg Wissenschaftsverlag, München, Germany",gruyter,https://www.swissbib.ch/Search/Results?lookfor=nationallicencegruyter101524hzhz20130103,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524hzhz20130103&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524hzhz20130103&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEgruyter101524hzhz20130103&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"*Department of Economics, University of Lucerne, PO Box 4466, 6002 Lucerne, Switzerland, KOF-Swiss Economic Institute, and CREMA; e-mail: simon.luechinger@unilu.ch E-mail: simon.luechinger@unilu.ch","Luechinger, Simon",unilu,10.1093/oep/gpt006,https://doi.org/10.1093/oep/gpt006,http://doc.rero.ch/record/303291/files/gpt006.pdf,"Governance, bureaucratic rents, and well-being differentials across US states",,"Luechinger, Simon;Schelker, Mark;Stutzer, Alois",2014,Oxford Economic Papers,"*Department of Economics, University of Lucerne, PO Box 4466, 6002 Lucerne, Switzerland, KOF-Swiss Economic Institute, and CREMA; e-mail: simon.luechinger@unilu.ch E-mail: simon.luechinger@unilu.ch;†SIAW-HSG, University of St. Gallen, CESifo, and CREMA;‡Faculty of Business and Economics, University of Basel, IZA, and CREMA",Oxford University Press,,66,2,443,464,0030-7653,1464-3812,copyright,© Oxford University Press 2013 All rights reserved,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oepgpt006,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oepgpt006&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oepgpt006&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oepgpt006&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK Department of Cardiology, LuzernerKantonsspital, Luzern, Switzerland","Cuculi, Florim",unilu,10.1093/eurheartj/ehv353,https://doi.org/10.1093/eurheartj/ehv353,http://doc.rero.ch/record/292485/files/ehv353.pdf,How does coronary stent implantation impact on the status of the microcirculation during primary percutaneous coronary intervention in patients with ST-elevation myocardial infarction?,,"De Maria, Giovanni Luigi;Cuculi, Florim;Patel, Niket;Dawkins, Sam;Fahrni, Gregor;Kassimis, George;Choudhury, Robin P.;Forfar, John C.;Prendergast, Bernard D.;Channon, Keith M.;Kharbanda, Rajesh K.;Banning, Adrian P.",2015,European Heart Journal,"Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK;Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK Department of Cardiology, LuzernerKantonsspital, Luzern, Switzerland;Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK;Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK;Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK;Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK;Acute Vascular Imaging Centre, Radcliffe Department of Medicine, University of Oxford, Oxford, UK Division of Cardiovascular Medicine, BHF Centre of Research Excellence, University of Oxford, Oxford, UK;Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK;Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK;Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK;Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK;Oxford Heart Centre, NIHR Biomedical Research Centre, Oxford University Hospitals, Headley Way, Oxford OX39DU, UK E-mail: adrian.banning@ouh.nhs.uk",Oxford University Press,2018-12-01,36,45,3165,3177,0195-668X,1522-9645,creative-commons,"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/4.0/), which permits non-commercial re-use, distribution, and reproduction in any medium, provided the original work is properly cited. For commercial re-use, please contact journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093eurheartjehv353,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093eurheartjehv353&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093eurheartjehv353&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093eurheartjehv353&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University Department of Anaesthesiology and Pain Therapy, University Hospital of Bern and University of Bern, CH-3010 Bern, Switzerland Department of Anaesthesiology, Intensive Care and Pain Medicine, St Anna Clinic, CH-6006 Lucerne, Switzerland E-mail: urs.eichenberger@hirslanden.ch","Eichenberger, U.",unilu,10.1093/bja/aet028,https://doi.org/10.1093/bja/aet028,http://doc.rero.ch/record/303368/files/aet028.pdf,Ilioinguinal and iliohypogastric nerves cannot be selectively blocked by using ultrasound guidance: a volunteer study,,"Schmutz, M.;Schumacher, P. M.;Luyet, C.;Curatolo, M.;Eichenberger, U.;Colvin, L.;Colvin, L.",2013,British Journal of Anaesthesia,"University Department of Anaesthesiology and Pain Therapy, University Hospital of Bern and University of Bern, CH-3010 Bern, Switzerland;University Department of Anaesthesiology and Pain Therapy, University Hospital of Bern and University of Bern, CH-3010 Bern, Switzerland;University Department of Anaesthesiology and Pain Therapy, University Hospital of Bern and University of Bern, CH-3010 Bern, Switzerland;University Department of Anaesthesiology and Pain Therapy, University Hospital of Bern and University of Bern, CH-3010 Bern, Switzerland;University Department of Anaesthesiology and Pain Therapy, University Hospital of Bern and University of Bern, CH-3010 Bern, Switzerland Department of Anaesthesiology, Intensive Care and Pain Medicine, St Anna Clinic, CH-6006 Lucerne, Switzerland E-mail: urs.eichenberger@hirslanden.ch;1University Department of Anaesthesiology and Pain Therapy, University Hospital of Bern and University of Bern, CH-3010 Bern, Switzerland 2Department of Anaesthesiology, Intensive Care and Pain Medicine, St Anna Clinic, CH-6006 Lucerne, Switzerland;1University Department of Anaesthesiology and Pain Therapy, University Hospital of Bern and University of Bern, CH-3010 Bern, Switzerland 2Department of Anaesthesiology, Intensive Care and Pain Medicine, St Anna Clinic, CH-6006 Lucerne, Switzerland",Oxford University Press,,111,2,264,270,0007-0912,1471-6771,copyright,"© The Author [2013]. Published by Oxford University Press on behalf of the British Journal of Anaesthesia. All rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093bjaaet028,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaet028&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaet028&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093bjaaet028&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Laboratory of Clinical Thrombosis and Haemostasis, and Cardiovascular Research Institute, Maastricht University Medical Center, P.O. Box 616, Maastricht 6229 ER, The Netherlands Division of Haematology and Central Haematology Laboratory, Luzerner Kantonsspital, Lucerne 16 CH-6000, Switzerland E-mail: m.nagler@maastrichtuniversity.nl","Nagler, Michael",unilu,10.1093/europace/euv107,https://doi.org/10.1093/europace/euv107,http://doc.rero.ch/record/300880/files/euv107.pdf,Adherence to treatment with non-vitamin K antagonist anticoagulants: once- vs. twice-daily regimens,,"Adler, Marcel;Nagler, Michael",2015,EP Europace,"Department of Haematology and Central Haematology Laboratory, Inselspital, Bern University, Bern, Switzerland;Laboratory of Clinical Thrombosis and Haemostasis, and Cardiovascular Research Institute, Maastricht University Medical Center, P.O. Box 616, Maastricht 6229 ER, The Netherlands Division of Haematology and Central Haematology Laboratory, Luzerner Kantonsspital, Lucerne 16 CH-6000, Switzerland E-mail: m.nagler@maastrichtuniversity.nl",Oxford University Press,2018-08-01,17,8,1316,1316,1099-5129,1532-2092,copyright,Published on behalf of the European Society of Cardiology. All rights reserved. © The Author 2015. For permissions please email: journals.permissions@oup.com.,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093europaceeuv107,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093europaceeuv107&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093europaceeuv107&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093europaceeuv107&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Nuclear Medicine and Radiology, Cantonal Hospital Lucerne, Switzerland Department of Nuclear Medicine, University Hospital Zurich, Switzerland","Strobel, K",unilu,10.1017/S0022215110002872,https://doi.org/10.1017/S0022215110002872,http://doc.rero.ch/record/290040/files/S0022215110002872.pdf,"Melanoma of the middle ear: initial presentation, Fluoro-2-deoxy-d-glucose positron emission tomography/computed tomography imaging and follow up",,"Huellner, M W;Cousin, M;Linder, T;Soyka, J D;Bussmann, C;Eberle, L;Strobel, K",2011,The Journal of Laryngology & Otology,"Department of Nuclear Medicine and Radiology, Cantonal Hospital Lucerne, Switzerland E-mail: martin.huellner@ksl.ch;Department of Otorhinolaryngology, Head and Neck Surgery, Cantonal Hospital Lucerne, Switzerland;Department of Otorhinolaryngology, Head and Neck Surgery, Cantonal Hospital Lucerne, Switzerland;Department of Nuclear Medicine, University Hospital Zurich, Switzerland;Department of Pathology, Cantonal Hospital Lucerne, Switzerland;ORL Center Brunnen, Hospitals of Schwyz and Einsiedeln, Switzerland;Department of Nuclear Medicine and Radiology, Cantonal Hospital Lucerne, Switzerland Department of Nuclear Medicine, University Hospital Zurich, Switzerland",Cambridge University Press,,125,5,536,539,0022-2151,1748-5460,copyright,Copyright © JLO (1984) Limited 2011,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0022215110002872,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022215110002872&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022215110002872&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0022215110002872&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University of Bonn, Germany, and University of Lucerne, Switzerland","Mühling, Andreas",unilu,10.1017/S000964070011073X,https://doi.org/10.1017/S000964070011073X,http://doc.rero.ch/record/289289/files/S000964070011073X.pdf,Book Review: Credo: Historical and Theological Guide to Creeds and Confessions of Faith in the Christian Tradition,"Credo: Historical and Theological Guide to Creeds and Confessions of Faith in the Christian Tradition. By PelikanJaroslav. New Haven, Conn.: Yale University Press, 2003. liv + 609 pp. $37.50 cloth.","Mühling, Andreas",2005,Church History,"University of Bonn, Germany, and University of Lucerne, Switzerland",Cambridge University Press,,74,2,426,427,0009-6407,1755-2613,copyright,Copyright © American Society of Church History 2005,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S000964070011073X,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S000964070011073X&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S000964070011073X&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S000964070011073X&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Clinical Research, CTU Bern, University of Bern, Switzerland Swiss Paraplegic Research (SPF), Nottwil, Switzerland Department of Health Sciences and Health Policy, University of Lucerne, Switzerland","Gemperli, A.",unilu,10.1017/S0033291714000853,https://doi.org/10.1017/S0033291714000853,http://doc.rero.ch/record/301970/files/S0033291714000853.pdf,Integrating fragmented evidence by network meta-analysis: relative effectiveness of psychological interventions for adults with post-traumatic stress disorder,,"Gerger, H.;Munder, T.;Gemperli, A.;Nüesch, E.;Trelle, S.;Jüni, P.;Barth, J.",2014,Psychological Medicine,"Institute of Social and Preventive Medicine (ISPM), University of Bern, Switzerland Division of Clinical Psychology and Psychotherapy, Department of Psychology, University of Basel, Switzerland E-mail: heike.gerger@gmail.com;Institute of Social and Preventive Medicine (ISPM), University of Bern, Switzerland;Department of Clinical Research, CTU Bern, University of Bern, Switzerland Swiss Paraplegic Research (SPF), Nottwil, Switzerland Department of Health Sciences and Health Policy, University of Lucerne, Switzerland;Institute of Social and Preventive Medicine (ISPM), University of Bern, Switzerland Department of Clinical Research, CTU Bern, University of Bern, Switzerland;Department of Clinical Research, CTU Bern, University of Bern, Switzerland;Institute of Social and Preventive Medicine (ISPM), University of Bern, Switzerland Department of Clinical Research, CTU Bern, University of Bern, Switzerland;Institute of Social and Preventive Medicine (ISPM), University of Bern, Switzerland Institute of Complementary and Integrative Medicine, University Hospital of Zurich, Switzerland",Cambridge University Press,2019-11-01,44,15,3151,3164,0033-2917,1469-8978,copyright,Copyright © Cambridge University Press 2014 ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0033291714000853,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291714000853&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291714000853&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0033291714000853&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Swiss National Science Foundation Research Professor, Institute for Political Science, University of Lucerne, Switzerland E-mail: Andre.Baechtiger@unilu.ch","Bächtiger, André",unilu,10.1017/S1755773912000057,https://doi.org/10.1017/S1755773912000057,http://doc.rero.ch/record/291239/files/S1755773912000057.pdf,Religious reasons in the public sphere: an empirical study of religious actors’ argumentative patterns in Swiss direct democratic campaigns,,"Bächtiger, André;Könemann, Judith;Jödicke, Ansgar;Hangartner, Dominik",2013,European Political Science Review,"Swiss National Science Foundation Research Professor, Institute for Political Science, University of Lucerne, Switzerland E-mail: Andre.Baechtiger@unilu.ch;Professor, Department of Catholic Theology, University of Münster, Germany;Senior Researcher, Department of Religious Studies, University of Fribourg, Switzerland;Lecturer, London School of Economics, Methodology Institute, London UK, and University of Zurich, Department of Political Science, Zurich, Switzerland",Cambridge University Press,2018-03-01,5,1,105,131,1755-7739,1755-7747,copyright,Copyright © European Consortium for Political Research 2012,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S1755773912000057,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1755773912000057&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1755773912000057&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S1755773912000057&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
