First Matching Affiliation,First Matching Author,Institution Guess,doi,url to publisher,Metadata path+filename (local),Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication,Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Division of Infectious Diseases and Hospital Epidemiology, Department of Internal Medicine, University Hospital Basel, Basel Medical Outpatient Department, University Hospital Basel, Basel E-mail: battegaym@uhbs.ch",Gilbert R. Kaufmann,unibas,10.1086/431484,https://doi.org/10.1086/431484,./cid/cid41-3/abstracts/41-3-361.xml,"Characteristics, Determinants, and Clinical Relevance of CD4 T Cell Recovery to <500 Cells/µL in HIV Type 1—Infected Individuals Receiving Potent Antiretroviral Therapy",,,2005,Clinical Infectious Diseases,,The University of Chicago Press,,41,3,361,372,1058-4838,1537-6591,copyright,© 2005 by the Infectious Diseases Society of America,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101086431484,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086431484&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086431484&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086431484&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch Institute of Social and Preventive Medicine, University Hospital, 1011 Lausanne, Switzerland Fax: ( 41) 21 314 08 71 Email: Jacques.Cornuz@chuv.hospvd.ch *To whom correspondence should be addressed For the SEMOF research group (alphabetical order): D. Büche (State Hospital, St. Gall); M. Dambacher (Balgrist Clinic, Zürich); F. Hartl (University Hospital, Basel); H. Häuselmann (University Hospital, Zürich); K. Lippuner (University Outpatient clinic, Bern); M. Neff (Osteoporosis Center, Zürich); P. Pancaldi (Osteoporosis Center, Locarno); R. Rizzoli (University Hospital, Geneva); F. Tanzi (Osteoporosis Center, Lugano); R. Theiler (State Hospital, Aarau); A. Tyndall (University Hospital, Basel); C. Wimpfheimer, (Private practice, Luzern)",Jacques Cornuz,unibas,10.1093/ageing/afg099b,https://doi.org/10.1093/ageing/afg099b,./AGEING/ageing32-6/abstracts/afg099b.xml,Factors associated with the use of hormone replacement therapy among older women,,,2003,Age and Ageing,,Oxford University Press,,32,6,675,678,0002-0729,1468-2834,copyright,© British Geriatrics Society,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093ageingafg099b,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ageingafg099b&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ageingafg099b&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ageingafg099b&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Pharmaceuticals Department Research Laboratories, Infectious Diseases, Ciba-Geigy Limited, Basel, Switzerland, Charlottesville, Virginia, San Francisco, San Francisco, California Please address requests for reprints to Dr. Merle A. Sande, Room 5H22, San Francisco General Hospital, San Francisco, California 94110.",Merle A. Sande,unibas,10.1093/clinids/5.Supplement_3.S481,https://doi.org/10.1093/clinids/5.Supplement_3.S481,./cid/cid5-Supplement_3/abstracts/5-Supplement_3-S481.xml,Rifampin in Experimental Endocarditis Due to Staphylococcus aureus in Rabbits,,,1983,Reviews of Infectious Diseases,,The University of Chicago Press,,5,Supplement_3,S481,S490,1058-4838,1537-6591,copyright,© 1983 by The University of Chicago,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093clinids5Supplement_3S481,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids5Supplement_3S481&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids5Supplement_3S481&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids5Supplement_3S481&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Divisions of Infectious Diseases and Orthopedic Surgery, University Hospital, Basel, Kantonsspital, Liestal, Switzerland Reprints or correspondence: Dr. Andreas F. Widmer, Department of Internal Medicine, Kantonsspital Basel, Petersgraben 10, CH-4031, Basel, Switzerland.",Andreas F. Widmer,unibas,10.1093/clinids/14.6.1251,https://doi.org/10.1093/clinids/14.6.1251,./cid/cid14-6/abstracts/14-6-1251.xml,Antimicrobial Treatment of Orthopedic Implant-related Infections with Rifampin Combinations,,,1992,Clinical Infectious Diseases,,The University of Chicago Press,,14,6,1251,1253,1058-4838,1537-6591,copyright,© 1992 by The University of Chicago,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093clinids1461251,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids1461251&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids1461251&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids1461251&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Internal Medicine, University of Virginia School of Medicine, Charlottesville, Virginia, Basel, Switzerland From the",Merle A. Sande,unibas,10.1093/clinids/3.1.98,https://doi.org/10.1093/clinids/3.1.98,./cid/cid3-1/abstracts/3-1-98.xml,Intermittent or Continuous Therapy of Experimental Meningitis Due to Streptococcus pneumoniae in Rabbits: Preliminary Observations on the Postantibiotic Effect in Vivo,,,1981,Reviews of Infectious Diseases,,The University of Chicago Press,,3,1,98,109,1058-4838,1537-6591,copyright,© 1981 by the University of Chicago,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093clinids3198,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids3198&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids3198&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids3198&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Internal Medicine, Division of Clinical Pharmacology, and Department of Dermatology, University Hospital, Basel, Biel-Benken, Bern, Switzerland Reprints or correspondence: Dr. Walter E. Haefeli, Division of Clinical Pharmacology, Department of Internal Medicine, University Hospital (Kantonsspital), Petersgraben 4, CH-4031 Basel, Switzerland.",Walter E. Haefeli,unibas,10.1093/clinids/20.3.723,https://doi.org/10.1093/clinids/20.3.723,./cid/cid20-3/abstracts/20-3-723.xml,Hair Loss Following Typhoid Fever: A Forgotten Phenomenon,,,1995,Clinical Infectious Diseases,,The University of Chicago Press,,20,3,723,724,1058-4838,1537-6591,copyright,© 1995 by The University of Chicago,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093clinids203723,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids203723&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids203723&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093clinids203723&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Dubowitz Neuromuscular Centre, Imperial College, Hammersmith Hospital, London W12 0NN, UK, Department of Paediatric Neurology, Evelina Children's Hospital, St Thomas’ Hospital, London SE1 7EH, UK, Centre for Inherited Neuromuscular Disorders, Robert Jones & Agnes Hunt Orthopaedic Hospital, Oswestry, UK, Unit of Molecular Medicine, Ospedale Bambino Gesù, Rome, Italy, Institute for Human Genetics, International Centre for Life, University of Newcastle upon Tyne, Newcastle upon Tyne, UK, Department of Paediatrics, Birmingham Heartlands Hospital, UK, Department of Neurology, King's College Hospital, London, UK, Alder Hey Children's Hospital, Liverpool, UK, Department of Neurosciences, Psychiatry and Anaesthesiology, University of Messina, Messina, Italy, Department of Neurology, The Royal London Hospital, London, UK, Institute für Humangenetik, Universität Würzburg, Biozentrum am Hubland, Germany and Departments of Anaesthesia and Research, Basel University Hospital, 4031 Basel, Switzerland",Haiyan Zhou,unibas,10.1093/brain/awm096,https://doi.org/10.1093/brain/awm096,./BRAINJ/brainj130-8/abstracts/awm096.xml,Molecular mechanisms and phenotypic variation in RYR1-related congenital myopathies,,,2007,Brain,,Oxford University Press,,130,8,2024,2036,0006-8950,1460-2156,copyright,"© The Author (2007). Published by Oxford University Press on behalf of the Guarantors of Brain. All rights reserved. For Permissions, please email: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093brainawm096,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093brainawm096&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093brainawm096&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093brainawm096&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Novartis Institutes for Biomedical Research, Translational Sciences, Preclinical Safety, Genetic Toxicology and Safety Pharmacology, Klybeckstrasse 141, CH-4057 Basel, Switzerland 1Pfizer Global Research and Development, Genetic Toxicology, Eastern Point Road, Groton, CT 06340, USA 2Laboratory of Cell Genetics, Vrije Universiteit Brussel, Brussels, Belgium",Magdalena Lukamowicz,unibas,10.1093/mutage/geq089,https://doi.org/10.1093/mutage/geq089,./MUTAGE/mutage26-1/abstracts/geq089.xml,Potential thresholds for genotoxic effects by micronucleus scoring,,,2011,Mutagenesis,,Oxford University Press,,26,1,199,204,0267-8357,1464-3804,copyright,"© The Author 2010. Published by Oxford University Press on behalf of the UK Environmental Mutagen Society. All rights reserved. For permissions, please e-mail: journals.permissions@oxfordjournals.org.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093mutagegeq089,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093mutagegeq089&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093mutagegeq089&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093mutagegeq089&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Canton Hospital, Basel, Switzerland",A Lohri,unibas,10.1093/annonc/mdl379,https://doi.org/10.1093/annonc/mdl379,./ANNONC/annonc18-2/abstracts/mdl379.xml,Poorer outcome of elderly patients treated with extended-field radiotherapy compared with involved-field radiotherapy after chemotherapy for Hodgkin's lymphoma: an analysis from the German Hodgkin Study Group,,,2006,Annals of Oncology,,Oxford University Press,,18,2,357,363,0923-7534,1569-8041,copyright,© 2006 European Society for Medical Oncology,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093annoncmdl379,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdl379&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdl379&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdl379&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Biostatistics, F. Hoffmann-La Roche Ltd, Basel, Switzerland; University Hospital Gasthuisberg, Leuven, Belgium (E-mail: eric.vancutsem@uz.kuleuven.ac.be);",M. Abt,unibas,10.1093/annonc/mdf108,https://doi.org/10.1093/annonc/mdf108,./ANNONC/annonc13-3/abstracts/mdf108.xml,Incidence of cardiotoxicity with the oral fluoropyrimidine capecitabine is typical of that reported with 5-fluorouracil,,,2002,Annals of Oncology,,Oxford University Press,,13,3,484,485,0923-7534,1569-8041,,,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093annoncmdf108,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdf108&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdf108&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdf108&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Oncology, University Hospital Basel, Basel *Correspondence to: Dr C. Rochlitz, Leitender Arzt Onkologie, Leiter Brustzentrum, Universitätsspital Basel, Petersgraben 4, CH-4031 Basel, Switzerland. Tel: +41-61-265-5059; Fax: +41-61-265-5316;",C. Rochlitz,unibas,10.1093/annonc/mdq319,https://doi.org/10.1093/annonc/mdq319,./ANNONC/annonc22-1/abstracts/mdq319.xml,"Combination of bevacizumab and 2-weekly pegylated liposomal doxorubicin as first-line therapy for locally recurrent or metastatic breast cancer. A multicenter, single-arm phase II trial (SAKK 24/06)",,,2011,Annals of Oncology,,Oxford University Press,,22,1,80,85,0923-7534,1569-8041,copyright,"© The Author 2010. Published by Oxford University Press on behalf of the European Society for Medical Oncology. All rights reserved. For permissions, please email: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093annoncmdq319,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdq319&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdq319&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdq319&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Public Health and Epidemiology, Swiss Tropical Institute, P.O. Box, CH-4002 Basel, Switzerland Centre Suisse de Recherches Scientifiques, 01 BP 1303, Abidjan 01, Côte d'Ivoire *Corresponding author. E-mail: juerg.utzinger@unibas.ch E-mail: juerg.utzinger@unibas.ch",Giovanna Raso,unibas,10.1093/ije/dyh400,https://doi.org/10.1093/ije/dyh400,./IJE/ije34-1/abstracts/dyh400.xml,Authors' response,,,2005,International Journal of Epidemiology,,Oxford University Press,,34,1,222,223,0300-5771,1464-3685,copyright,IJE vol.34 no.1 © International Epidemiological Association 2005; all rights reserved.,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093ijedyh400,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyh400&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyh400&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyh400&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Jean Minjoz, Department of Medical Oncology, University Hospital, Besançon, Medical Oncology Department, Paris, Paris, Department of Gynecology, Hamburg, Early Drug Development for Innovative Therapies Division, Milan, Department of Oncology, Copenhagen, Division of Medical Oncology, Toronto, ON, Sussex Health Outcomes Research & Education in Cancer (SHORE-C), Falmer, Basel, France, Germany, Italy, Denmark, Canada, UK, Switzerland",Lesley Fallowfield,unibas,10.1093/annonc/mdu364,https://doi.org/10.1093/annonc/mdu364,./ANNONC/annonc25-10/abstracts/mdu364.xml,"Patients' preferences for subcutaneous trastuzumab versus conventional intravenous infusion for the adjuvant treatment of HER2-positive early breast cancer: final analysis of 488 patients in the international, randomized, two-cohort PrefHer study",,,2014,Annals of Oncology,,Oxford University Press,2017-10-01,25,10,1979,1987,0923-7534,1569-8041,copyright,"© The Author 2014. Published by Oxford University Press on behalf of the European Society for Medical Oncology. All rights reserved. For permissions, please email: journals.permissions@oup.com.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093annoncmdu364,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdu364&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdu364&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdu364&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Medical and Health Ethics, Medical Faculty, University Hospital, Basel, Switzerland",S. Reiter-Theil,unibas,10.1093/annonc/mdr019,https://doi.org/10.1093/annonc/mdr019,./ANNONC/annonc22-12/abstracts/mdr019.xml,"The role of relatives in decisions concerning life-prolonging treatment in patients with end-stage malignant disorders: informants, advocates or surrogate decision-makers?",,,2011,Annals of Oncology,,Oxford University Press,,22,12,2667,2674,0923-7534,1569-8041,copyright,"© The Author 2011. Published by Oxford University Press on behalf of the European Society for Medical Oncology. All rights reserved. For permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093annoncmdr019,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdr019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdr019&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdr019&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"European Center of Pharmaceutical Medicine (ECPM), University of Basel Institute of Pharmaceutical Medicine, Basel, Switzerland",P.R. Blank,unibas,10.1093/annonc/mdv117.07,https://doi.org/10.1093/annonc/mdv117.07,./ANNONC/annonc26-suppl_3/abstracts/mdv117.07.xml,45PCost-effectiveness analysis of VEGF-A testing to predict response to bevacizumab (BEV) as a component of neo-adjuvant therapy of early HER-2 negative breast cancer,,,2015,Annals of Oncology,,Oxford University Press,2018-05-01,26,,iii16,iii17,0923-7534,1569-8041,copyright,"© The Author 2015. Published by Oxford University Press on behalf of the European Society for Medical Oncology. All rights reserved. For permissions, please email: journals.permissions@oup.com.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093annoncmdv11707,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdv11707&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdv11707&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdv11707&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
