First Matching Affiliation,First Matching Author,Institution Guess,doi,url to publisher,Metadata path+filename (local),Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication,Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Nikolaus-Fiebiger-Center for Molecular Medicine, University Erlangen-Nürnberg, Glückstrasse 6, 91054 Erlangen, Germany Department of Internal Medicine, Cantonal Hospital St Gallen, Rorschacher Strasse 95, 9007 St Gallen, Switzerland",Adrian Derungs,unisg,10.1093/hmg/ddn095,https://doi.org/10.1093/hmg/ddn095,./HMG/hmg17-13/abstracts/ddn095.xml,Functional definition of the mutation cluster region of adenomatous polyposis coli in colorectal tumours,,,2008,Human Molecular Genetics,,Oxford University Press,,17,13,1978,1987,0964-6906,1460-2083,copyright,"© The Author 2008. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093hmgddn095,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddn095&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddn095&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093hmgddn095&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"School of Physics and Astronomy, University of Minnesota, 116 Church St. SE, Minneapolis, MN 55455, USA E-mail: galloway@physics.umn.edu",Melanie A. Galloway,unisg,10.1093/mnras/stv235,https://doi.org/10.1093/mnras/stv235,./mnras/mnras448-4/abstracts/stv235.xml,Galaxy Zoo: the effect of bar-driven fuelling on the presence of an active galactic nucleus in disc galaxies,,,2015,Monthly Notices of the Royal Astronomical Society,,Oxford University Press,2018-03-11,448,4,3442,3454,0035-8711,1365-2966,copyright,© 2015 The Authors Published by Oxford University Press on behalf of the Royal Astronomical Society,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093mnrasstv235,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093mnrasstv235&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093mnrasstv235&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093mnrasstv235&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Computer Learning Research Centre Royal Holloway, University of London, London, UK IDSIA, Galleria 2, CH-6928 Manno-Lugano, Switzerland E-mail: rjsolo@ieee.org",Ray J. Solomonoff,unisg,10.1093/comjnl/bxm120,https://doi.org/10.1093/comjnl/bxm120,./COMPUTERJOURNAL/computer_journal51-5/abstracts/bxm120.xml,Three Kinds of Probabilistic Induction: Universal Distributions and Convergence Theorems,,,2008,The Computer Journal,,Oxford University Press,,51,5,566,570,0010-4620,1460-2067,copyright,Published by Oxford University Press on behalf of The British Computer Society 2008,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093comjnlbxm120,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093comjnlbxm120&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093comjnlbxm120&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093comjnlbxm120&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Davis Crown Gall Group, University of California, One Shields Avenue, Davis, CA 95616, USA",John Archdeacon,unisg,10.1111/j.1574-6968.2000.tb09156.x,https://doi.org/10.1111/j.1574-6968.2000.tb09156.x,./FEMSLE/femsle187-2/abstracts/187-2-175.xml,A single amino acid substitution beyond the C2H2-zinc finger in Ros derepresses virulence and T-DNA genes in Agrobacterium tumefaciens,,,2000,FEMS Microbiology Letters,,Blackwell Publishing Ltd,,187,2,175,178,0378-1097,1574-6968,copyright,© 2000 Federation of European Microbiological Societies,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101111j157469682000tb09156x,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469682000tb09156x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469682000tb09156x&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101111j157469682000tb09156x&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Division of International and Environmental Health, Institute of Social and Preventive Medicine (ISPM), University of Bern, Bern, Switzerland, 2School of Social and Community Medicine, University of Bristol, Bristol, UK, 3Swiss Tropical and Public Health Institute, Basel, Switzerland, 4University of Basel, Switzerland, 5Paediatric Haematology-Oncology Unit, Centre Hospitalier Universitaire Vaudois, Service de Pédiatrie, Lausanne-CHUV, Switzerland and 6Ostschweizer Kinderspital, St Gallen, Switzerland",Ben D Spycher,unisg,10.1093/ije/dyr115,https://doi.org/10.1093/ije/dyr115,./IJE/ije40-5/abstracts/dyr115.xml,Childhood cancer and nuclear power plants in Switzerland: a census-based cohort study,,,2011,International Journal of Epidemiology,,Oxford University Press,,40,5,1247,1260,0300-5771,1464-3685,creative-commons,"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/3.0/), which permits non-commercial re-use, distribution, and reproduction in any medium, provided the original work is properly cited. For commercial re-use, please contact journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093ijedyr115,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyr115&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyr115&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyr115&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University of St Gallen Law School, Tigerbergstr. 21, 9000 St. Gallen, Switzerland. E-mail: martin.killias@unisg.ch",Martin Killias,unisg,10.1093/ije/dyu253,https://doi.org/10.1093/ije/dyu253,./IJE/ije44-1/abstracts/dyu253.xml,"Commentary: ‘Smoking, caning and delinquency in a secondary modern school’: a pioneer study by JW Palmer",,,2015,International Journal of Epidemiology,,Oxford University Press,2018-02-01,44,1,23,25,0300-5771,1464-3685,copyright,© The Author 2015; all rights reserved. Published by Oxford University Press on behalf of the International Epidemiological Association,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093ijedyu253,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyu253&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyu253&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093ijedyu253&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Oncology/Hematology, Kantonsspital, St. Gallen; Centre Pluridisciplinaire d'Oncologie, University Hospital, Lausanne;",T. Cerny,unisg,10.1093/annonc/mdl020,https://doi.org/10.1093/annonc/mdl020,./ANNONC/annonc17-4/abstracts/mdl020.xml,Long-term results of a multicenter SAKK trial on high-dose ifosfamide and doxorubicin in advanced or metastatic gynecologic sarcomas,,,2006,Annals of Oncology,,Oxford University Press,,17,4,646,651,0923-7534,1569-8041,copyright,© 2006 European Society for Medical Oncology,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093annoncmdl020,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdl020&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdl020&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdl020&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Kantonsspital, St. Gallen, Switzerland Institute of Medical Oncology, Inselspital, University of Bern, Bern;",B. Thürlimann,unisg,10.1093/annonc/mdg347,https://doi.org/10.1093/annonc/mdg347,./ANNONC/annonc14-8/abstracts/mdg347.xml,Adjuvant therapy after excision and radiation of isolated postmastectomy locoregional breast cancer recurrence: definitive results of a phase III randomized trial (SAKK 23/82) comparing tamoxifen with observation,,,2003,Annals of Oncology,,Oxford University Press,,14,8,1215,1221,0923-7534,1569-8041,,,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093annoncmdg347,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdg347&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdg347&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093annoncmdg347&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
University of St. Gallen E-mail: timo.meynhardt@unisg.ch,Timo Meynhardt,unisg,10.1093/jopart/mus013,https://doi.org/10.1093/jopart/mus013,./jopart.tar.gz/jopart/abstracts/mus013.xml,What Drives Entrepreneurial Orientation in the Public Sector? Evidence from Germany’s Federal Labor Agency,,,2012,Journal of Public Administration Research and Theory,,Oxford University Press,,22,4,761,792,1053-1858,1477-9803,copyright,"© The Author 2012. Published by Oxford University Press on behalf of the Journal of Public Administration Research and Theory, Inc. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jopartmus013,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jopartmus013&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jopartmus013&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jopartmus013&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Division of Rheumatology, University Hospital of Basel, Basel, Division of Clinical Epidemiology, University of Geneva, Geneva, Division of Rheumatology, University Hospital of Lausanne, Lausanne, Department of Rheumatology, Clinical Immunology and Allergy, University Hospital of Bern, Bern, Division of Rheumatology and Rehabilitation, Kantonsspital, St Gallen, Swiss Clinical Quality Management Foundation, Zurich and Division of Rheumatology, University Hospital of Geneva, Geneva, Switzerland E-mail: ulrich.walker@fps-basel.ch",Ulrich A. Walker,unisg,10.1093/rheumatology/keq258,https://doi.org/10.1093/rheumatology/keq258,./BRHEUM/brheum50-1/abstracts/keq258.xml,Do new biologics meet the unmet medical need in rheumatoid arthritis? Safety and efficacy of abatacept following B-cell depletion,,,2011,Rheumatology,,Oxford University Press,,50,1,243,244,1462-0324,1462-0332,copyright,"© The Author 2010. Published by Oxford University Press on behalf of the British Society for Rheumatology. All rights reserved. For Permissions, please email: journals.permissions@oxfordjournals.org",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093rheumatologykeq258,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rheumatologykeq258&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rheumatologykeq258&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093rheumatologykeq258&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Department of Cardiology, University Hospital Basel, Basel, Switzerland, 2Department of Cardiology, Kantonsspital St. Gallen, St. Gallen, Switzerland, 3Department of Internal Medicine, University Hospital Zurich, Zurich, Switzerland, 4Department of Cardiology, Kantonsspital Luzern, Luzern, Switzerland, 5Department of Cardiology, Kantonsspital Liestal, Liestal, Switzerland, 6Department of Cardiology, Kantonsspital Bruderholz, Bruderholz, Switzerland and 7Department of Cardiology, Maastricht University Medical Centre (MUMC), Maastricht, The Netherlands Address correspondence to Dr T. Burkard, Department of Cardiology, University Hospital Basel, Petersgraben 4, 4031 Basel, Switzerland. email: thilo.burkard@usb.ch",T. Burkard,unisg,10.1093/qjmed/hct205,https://doi.org/10.1093/qjmed/hct205,./qjmedj.tar.gz/qjmedj/abstracts/hct205.xml,Prognostic impact of systemic inflammatory diseases in elderly patients with congestive heart failure,,,2014,QJM: An International Journal of Medicine,,Oxford University Press,,107,2,131,138,1460-2725,1460-2393,copyright,"© The Author 2013. Published by Oxford University Press on behalf of the Association of Physicians. All rights reserved. For Permissions, please email: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093qjmedhct205,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093qjmedhct205&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093qjmedhct205&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093qjmedhct205&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
University of St Gall,ALAN ROBINSON,unisg,10.1093/res/XLI.164.597,https://doi.org/10.1093/res/XLI.164.597,./revesj.tar.gz/revesj/abstracts/XLI-164-597.xml,REVIEWS,,,1990,The Review of English Studies,,Oxford University Press,,XLI,164,597,598,0034-6551,1471-6968,copyright,© Oxford University Press,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093resXLI164597,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093resXLI164597&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093resXLI164597&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093resXLI164597&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
University of St Gallen,ALAN ROBINSON,unisg,10.1093/res/XLIV.173.130,https://doi.org/10.1093/res/XLIV.173.130,./revesj.tar.gz/revesj/abstracts/XLIV-173-130.xml,REVIEWS,,,1993,The Review of English Studies,,Oxford University Press,,XLIV,173,130,132,0034-6551,1471-6968,copyright,© Oxford University Press,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093resXLIV173130,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093resXLIV173130&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093resXLIV173130&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093resXLIV173130&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Faculty of Mathematics and Statistics, University of St. Gallen, Bodanstrasse 6, 9000 St. Gallen, Switzerland",L. Camponovo,unisg,10.1093/biomet/asv039,https://doi.org/10.1093/biomet/asv039,./BIOMET/biomet102-4/abstracts/asv039.xml,On the validity of the pairs bootstrap for lasso estimators,,,2015,Biometrika,,Oxford University Press,2018-12-01,102,4,981,987,0006-3444,1464-3510,copyright,© 2015 Biometrika Trust,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093biometasv039,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093biometasv039&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093biometasv039&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093biometasv039&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"†SIAW-HSG, University of St. Gallen, CESifo, and CREMA",Mark Schelker,unisg,10.1093/oep/gpt006,https://doi.org/10.1093/oep/gpt006,./OEP/oep66-2/abstracts/gpt006.xml,"Governance, bureaucratic rents, and well-being differentials across US states",,,2014,Oxford Economic Papers,,Oxford University Press,,66,2,443,464,0030-7653,1464-3812,copyright,© Oxford University Press 2013 All rights reserved,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oepgpt006,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oepgpt006&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oepgpt006&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oepgpt006&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University of St Gallen and CEPR, e-mail: simon.evenett@unisg.ch E-mail: simon.evenett@unisg.ch",Simon J. Evenett,unisg,10.1093/oxrep/grm025,https://doi.org/10.1093/oxrep/grm025,./ecopol.tar.gz/ecopol/abstracts/grm025.xml,Five hypotheses concerning the fate of the Singapore issues in the Doha Round,,,2007,Oxford Review of Economic Policy,,Oxford University Press,,23,3,392,414,0266-903X,1460-2121,copyright,Copyright © The Author 2007. Published by Oxford University Press.,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxrepgrm025,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxrepgrm025&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxrepgrm025&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxrepgrm025&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Swiss National Center for Retroviruses, Institute of Medical Virology, University of Zurich, and Division ofImmunology and Hematology, Children's University HospitalZurich Division of NeonatologyKantonsspital, St. Gallen, Switzerland Reprints or correspondence: Dr. J. Schupbach, Swiss National Center for Retroviruses. Institute of Medical Virology. University of Zurich. Gloriastrasse 30. CH-8028 Zurich. Switzerland.",J. Doni,unisg,10.1093/infdis/170.2.318,https://doi.org/10.1093/infdis/170.2.318,./jid.tar.gz/jid/abstracts/170-2-318.xml,Sensitive Detection and Early Prognostic Significance of p24 Antigen in Heat-Denatured Plasma of Human Immunodeficiency Virus Type 1-Infected Infants,,,1994,Journal of Infectious Diseases,,The University of Chicago Press,,170,2,318,324,0022-1899,1537-6613,,,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093infdis1702318,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1702318&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1702318&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093infdis1702318&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
