First Matching Affiliation,First Matching Author,Institution Guess,doi,url to publisher,Metadata path+filename (local),Article Title,Article Subtitle,Authors,Year,Journal Title,All Affiliations,Publisher,Date of Allowed Open Access Publication,Volume,Issue,Start Page,End Page,ISSN (print),ISSN (electronic),Copyright type,Copyright / Licence,Source,Link to Swissbib,Metadata in MARC XML,Metadata in Dublin Core,Metadata in Json-Marc,Comment
"Chaire de linguistique française, Université de Neuchâtel, Ruelle Vaucher 22 2000, Neuchâtel Suisse e-mail: mathieu.avanzi@unine.ch E-mail: mathieu.avanzi@unine.ch","Avanzi, Mathieu",unine,10.1017/S0959269509990238,https://doi.org/10.1017/S0959269509990238,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0959269509990238.pdf,Book Review: Phonétique acoustique. Introduction à l'analyse acoustique de la parole,"MartinPhilippe, Phonétique acoustique. Introduction à l'analyse acoustique de la parole. Cursus. Paris: Armand Colin, 2008, 163 pp. 978 220035521 0.","Avanzi, Mathieu",2009,Journal of French Language Studies,"Chaire de linguistique française, Université de Neuchâtel, Ruelle Vaucher 22 2000, Neuchâtel Suisse e-mail: mathieu.avanzi@unine.ch E-mail: mathieu.avanzi@unine.ch",Cambridge University Press,,19,3,402,404,0959-2695,1474-0079,copyright,Copyright © Cambridge University Press 2009,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0959269509990238,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0959269509990238&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0959269509990238&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0959269509990238&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
Université de Bangor/Université de Neuchâtel E-mail: c.barbet@bangor.ac.uk,"Barbet, Cécile",unine,10.1017/S0959269515000113,https://doi.org/10.1017/S0959269515000113,/media/lionel/Data/swissbib-data/nationallizenzen/cambridge/swiss-pdf/S0959269515000113.pdf,L'évolution sémantique des verbes modaux: hypothèses à partir des emplois de devoir et pouvoir en français moderne et médiéval,,"Barbet, Cécile;Barbet, Cécile;De Mulder, Walter;Patard, Adeline",2015,Journal of French Language Studies,Université de Bangor/Université de Neuchâtel E-mail: c.barbet@bangor.ac.uk;Université de Bangor/Université de Neuchâtel E-mail: c.barbet@bangor.ac.uk;Université de Bangor/Université de Neuchâtel;Université de Bangor/Université de Neuchâtel,Cambridge University Press,2020-07-01,25,2,213,237,0959-2695,1474-0079,copyright,Copyright © Cambridge University Press ,cambridge,https://www.swissbib.ch/Search/Results?lookfor=nationallicencecambridge101017S0959269515000113,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0959269515000113&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0959269515000113&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEcambridge101017S0959269515000113&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"University of Neuchâtel, Swiss Forum of Migration and Population Studies, St.-Honoré 2, CH-2000 Neuchâtel, Switzerland. Email: E-mail: didier.ruedin@unine.ch","Ruedin, Didier",unine,10.1093/esr/jcq050,https://doi.org/10.1093/esr/jcq050,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/eursoj/jcq050.pdf,The Representation of Women in National Parliaments: A Cross-national Comparison,,"Ruedin, Didier",2012,European Sociological Review,"University of Neuchâtel, Swiss Forum of Migration and Population Studies, St.-Honoré 2, CH-2000 Neuchâtel, Switzerland. Email: E-mail: didier.ruedin@unine.ch",Oxford University Press,,28,1,96,109,0266-7215,1468-2672,copyright,"© The Author 2010. Published by Oxford University Press. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093esrjcq050,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093esrjcq050&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093esrjcq050&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093esrjcq050&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Laboratoire de Physiologie viégétale, Université de Neuchatel, 20, rue de Chantemerle, CH-2000 Neuchatel, Switzerland","Siegenthaler, Paul-André",unine,10.1093/oxfordjournals.pcp.a078022,https://doi.org/10.1093/oxfordjournals.pcp.a078022,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/pcp/31-8-1101.pdf,"Characteristics of Spinach Chloroplast Envelope, Thylakoid and Stroma Polypeptides as Revealed by Triton X-114 Phase Partition",,"Siegenthaler, Paul-André;Dumont, Nicole",1990,Plant and Cell Physiology,"Laboratoire de Physiologie viégétale, Université de Neuchatel, 20, rue de Chantemerle, CH-2000 Neuchatel, Switzerland;Laboratoire de Physiologie viégétale, Université de Neuchatel, 20, rue de Chantemerle, CH-2000 Neuchatel, Switzerland",Oxford University Press,,31,8,1101,1108,0032-0781,1471-9053,copyright,© 1990 The Japanese Society of Plant Physiologists (JSPP),oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxfordjournalspcpa078022,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspcpa078022&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspcpa078022&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspcpa078022&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Laboratoire de Physiologie végétale et Biochimie, Université de Neuchâtel, 20, rue de Chantemerle, 2000 Neuchâtel, Switzerland","Siegenthaler, Paul-Andreé",unine,10.1093/oxfordjournals.pcp.a075824,https://doi.org/10.1093/oxfordjournals.pcp.a075824,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/pcp/20-2-395.pdf,Effect of linolenate on photosynthesis by intact spinach chloroplasts I. Inhibition of orthophosphate uptake and of 3-P-glyceraldehyde efflux across the chloroplast envelope,,"Siegenthaler, Paul-Andreé;Akamba, Lambert Mveé",1979,Plant and Cell Physiology,"Laboratoire de Physiologie végétale et Biochimie, Université de Neuchâtel, 20, rue de Chantemerle, 2000 Neuchâtel, Switzerland;Laboratoire de Physiologie végétale et Biochimie, Université de Neuchâtel, 20, rue de Chantemerle, 2000 Neuchâtel, Switzerland",Oxford University Press,,20,2,395,404,0032-0781,1471-9053,copyright,© Oxford University Press,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxfordjournalspcpa075824,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspcpa075824&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspcpa075824&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspcpa075824&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Laboratoire de Physiologie vdgitale, Universite de Neuchatel Ch. de Chantemerle 20, CH-2000 Neuchatel, Switzerland","Mayor, Jean-Philippe",unine,10.1093/oxfordjournals.pcp.a078242,https://doi.org/10.1093/oxfordjournals.pcp.a078242,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/pcp/33-3-209.pdf,Differential Accessibility of a Hydrogenation Catalyst to Acyl Lipids in Thylakoid Membranes from Atrazine-Resistant and Susceptible Solarium nigrum Biotypes,,"Mayor, Jean-Philippe;Török, Zsolt;Siegenthaler, Paul-André;Vigh, Lászlo",1992,Plant and Cell Physiology,"Laboratoire de Physiologie vdgitale, Universite de Neuchatel Ch. de Chantemerle 20, CH-2000 Neuchatel, Switzerland;Institute of Biochemistry, Biological Research Centre, Hungarian Academy of Sciences P.O. Box 521, H-6701 Szeged, Hungary;Laboratoire de Physiologie vdgitale, Universite de Neuchatel Ch. de Chantemerle 20, CH-2000 Neuchatel, Switzerland To whom correspondence should be addressed. 3To whom correspondence should be addressed.;Institute of Biochemistry, Biological Research Centre, Hungarian Academy of Sciences P.O. Box 521, H-6701 Szeged, Hungary",Oxford University Press,,33,3,209,215,0032-0781,1471-9053,copyright,© 1992 The Japanese Society of Plant Physiologists (JSPP),oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093oxfordjournalspcpa078242,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspcpa078242&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspcpa078242&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093oxfordjournalspcpa078242&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Université de Neuchâtel, Institute of Biology, Rue Emile-Argand 11, CH-2000 Neuchâtel, Switzerland E-mail: sebastian.bartels@unibas.ch","Desurmont, Gaylord A.",unine,10.1093/jxb/erv250,https://doi.org/10.1093/jxb/erv250,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/exbotj/erv250.pdf,The Arabidopsis Pep-PEPR system is induced by herbivore feeding and contributes to JA-mediated plant defence against herbivory,,"Klauser, Dominik;Desurmont, Gaylord A.;Glauser, Gaétan;Vallat, Armelle;Flury, Pascale;Boller, Thomas;Turlings, Ted C. J.;Bartels, Sebastian",2015,Journal Of Experimental Botany,"Zürich-Basel Plant Science Center, University of Basel, Department of Environmental Sciences, Botany, Hebelstrasse 1, CH-4056 Basel, Switzerland E-mail: sebastian.bartels@unibas.ch;Université de Neuchâtel, Institute of Biology, Rue Emile-Argand 11, CH-2000 Neuchâtel, Switzerland E-mail: sebastian.bartels@unibas.ch;Université de Neuchâtel, Institute of Biology, Rue Emile-Argand 11, CH-2000 Neuchâtel, Switzerland E-mail: sebastian.bartels@unibas.ch;Université de Neuchâtel, Institute of Biology, Rue Emile-Argand 11, CH-2000 Neuchâtel, Switzerland E-mail: sebastian.bartels@unibas.ch;Zürich-Basel Plant Science Center, University of Basel, Department of Environmental Sciences, Botany, Hebelstrasse 1, CH-4056 Basel, Switzerland * Present address: Plant Pathology, Institute of Integrative Biology, Swiss Federal Institute of Technology, CH-8092 Zurich, Switzerland * Present address: Plant Pathology, Institute of Integrative Biology, Swiss Federal Institute of Technology, CH-8092 Zurich, Switzerland E-mail: sebastian.bartels@unibas.ch;Zürich-Basel Plant Science Center, University of Basel, Department of Environmental Sciences, Botany, Hebelstrasse 1, CH-4056 Basel, Switzerland E-mail: sebastian.bartels@unibas.ch;Université de Neuchâtel, Institute of Biology, Rue Emile-Argand 11, CH-2000 Neuchâtel, Switzerland E-mail: sebastian.bartels@unibas.ch;Zürich-Basel Plant Science Center, University of Basel, Department of Environmental Sciences, Botany, Hebelstrasse 1, CH-4056 Basel, Switzerland E-mail: sebastian.bartels@unibas.ch E-mail: sebastian.bartels@unibas.ch",Oxford University Press,2018-08-01,66,17,5327,5336,0022-0957,1460-2431,creative-commons,"This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/3.0/), which permits unrestricted reuse, distribution, and reproduction in any medium, provided the original work is properly cited.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jxberv250,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jxberv250&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jxberv250&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jxberv250&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Laboratory of Molecular and Cell Biology, University of Neuchâtel, 2000 Neuchâtel, Switzerland * These authors contributed equally to this work. E-mail: brigitte.mauch@unine.ch","Balmer, Dirk",unine,10.1093/jxb/ers248,https://doi.org/10.1093/jxb/ers248,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/exbotj/ers248.pdf,On the move: induced resistance in monocots,,"Balmer, Dirk;Planchamp, Chantal;Mauch-Mani, Brigitte",2013,Journal Of Experimental Botany,"Laboratory of Molecular and Cell Biology, University of Neuchâtel, 2000 Neuchâtel, Switzerland * These authors contributed equally to this work. E-mail: brigitte.mauch@unine.ch;Laboratory of Molecular and Cell Biology, University of Neuchâtel, 2000 Neuchâtel, Switzerland * These authors contributed equally to this work. E-mail: brigitte.mauch@unine.ch;Laboratory of Molecular and Cell Biology, University of Neuchâtel, 2000 Neuchâtel, Switzerland E-mail: brigitte.mauch@unine.ch E-mail: brigitte.mauch@unine.ch",Oxford University Press,,64,5,1249,1261,0022-0957,1460-2431,copyright,"© The Author [2012]. Published by Oxford University Press [on behalf of the Society for Experimental Biology]. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jxbers248,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jxbers248&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jxbers248&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jxbers248&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Laboratoire de Physiologie Végétale, Université de Neuchâtel, 2000 Neuchâtel, Switzerland","Eugeni Piller, Lucia",unine,10.1093/jxb/ers016,https://doi.org/10.1093/jxb/ers016,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/exbotj/ers016.pdf,Plastid lipid droplets at the crossroads of prenylquinone metabolism,,"Eugeni Piller, Lucia;Abraham, Marion;Dörmann, Peter;Kessler, Felix;Besagni, Céline",2012,Journal of Experimental Botany,"Laboratoire de Physiologie Végétale, Université de Neuchâtel, 2000 Neuchâtel, Switzerland;Laboratoire de Physiologie Végétale, Université de Neuchâtel, 2000 Neuchâtel, Switzerland;Institute of Molecular Physiology and Biotechnology of Plants (IMBIO), University of Bonn, D-53115 Bonn, Germany;Laboratoire de Physiologie Végétale, Université de Neuchâtel, 2000 Neuchâtel, Switzerland E-mail: felix.kessler@unine.ch;Laboratoire de Physiologie Végétale, Université de Neuchâtel, 2000 Neuchâtel, Switzerland",Oxford University Press,,63,4,1609,1618,0022-0957,1460-2431,copyright,"© The Author [2012]. Published by Oxford University Press [on behalf of the Society for Experimental Biology]. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093jxbers016,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jxbers016&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jxbers016&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093jxbers016&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institut de Mathématiques, Université de Neuchâtel CH-2007 Neuchâtel, Switzerland","Valette, Alain",unine,10.1112/jlms/49.1.100,https://doi.org/10.1112/jlms/49.1.100,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/jlms/49-1-100.pdf,Faithful Uniformly Continuous Representations of Lie Groups,,"Luminet, Denis;Valette, Alain",1994,Journal of the London Mathematical Society,"Departement Wiskunde, Vrije Universiteit Brussel B-1050 Brussels, Belgium;Institut de Mathématiques, Université de Neuchâtel CH-2007 Neuchâtel, Switzerland",Oxford University Press,,49,1,100,108,0024-6107,1469-7750,copyright,© The London Mathematical Society,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101112jlms491100,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101112jlms491100&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101112jlms491100&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101112jlms491100&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Swiss Tropical Institute, Basel,, Neuchâtel, Switzerland Institut de biologie, Université de Neuchâtel, Neuchâtel, Switzerland","Nsanzabana, Christian",unine,10.1086/649784,https://doi.org/10.1086/649784,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/jid/201-3-435.pdf,"Quantifying the Evolution and Impact of Antimalarial Drug Resistance: Drug Use, Spread of Resistance, and Drug Failure over a 12-Year Period in Papua New Guinea",,"Nsanzabana, Christian;Hastings, Ian M.;Marfurt, Jutta;Muüller, Ivo;Baea, Kay;Baea, Kay;Rare, Lawrence;Schapira, Allan;Felger, Ingrid;Betschart, Bruno;Smith, Thomas A.;Beck, Hans-Peter;Beck, Hans-Peter;Genton, Blaise",2010,The Journal of Infectious Diseases,"Swiss Tropical Institute, Basel,, Neuchâtel, Switzerland Institut de biologie, Université de Neuchâtel, Neuchâtel, Switzerland;Molecular and Biochemical Parasitology, Liverpool School of Tropical Medicine, United Kingdom;Swiss Tropical Institute, Basel,, Neuchâtel, Switzerland;Papua New Guinea Institute of Medical Research, Goroka, Papua New Guinea;Papua New Guinea Institute of Medical Research, Goroka, Papua New Guinea;Papua New Guinea Institute of Medical Research, Goroka, Papua New Guinea;Papua New Guinea Institute of Medical Research, Goroka, Papua New Guinea;Swiss Tropical Institute, Basel,, Neuchâtel, Switzerland;Swiss Tropical Institute, Basel,, Neuchâtel, Switzerland;Institut de biologie, Université de Neuchâtel, Neuchâtel, Switzerland;Swiss Tropical Institute, Basel,, Neuchâtel, Switzerland;Swiss Tropical Institute, Basel,, Neuchâtel, Switzerland;Swiss Tropical Institute, Basel,, Neuchâtel, Switzerland;Swiss Tropical Institute, Basel,, Neuchâtel, Switzerland, Neuchâtel, Switzerland, Goroka, Papua New Guinea, United Kingdom",The University of Chicago Press,,201,3,435,443,0022-1899,1537-6613,copyright,© 2010 by the Infectious Diseases Society of America,oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101086649784,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086649784&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086649784&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101086649784&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
"Institute of Biology, University of Neuchâtel, rue Emile-Argand 11, 2000 Neuchâtel, Switzerland E-mail: fotalora@ivic.gob.ve","Otálora-Luna, Fernando",unine,10.1093/beheco/arq215,https://doi.org/10.1093/beheco/arq215,/media/lionel/Data/swissbib-data/nationallizenzen/oxford/swiss-pdf/beheco/arq215.pdf,Water-seeking behavior in worm-infected crickets and reversibility of parasitic manipulation,,"Ponton, Fleur;Otálora-Luna, Fernando;Lefèvre, Thierry;Guerin, Patrick M.;Lebarbenchon, Camille;Duneau, David;Biron, David G.;Thomas, Frédéric",2011,Behavioral Ecology,"GEMI/UMR CNRS-IRD 2724, Equipe: “Evolution des Systèmes Symbiotiques”, IRD, 911 Avenue Agropolis, B.P. 5045, 34032 Montpellier Cedex 1, France;Institute of Biology, University of Neuchâtel, rue Emile-Argand 11, 2000 Neuchâtel, Switzerland E-mail: fotalora@ivic.gob.ve;GEMI/UMR CNRS-IRD 2724, Equipe: “Evolution des Systèmes Symbiotiques”, IRD, 911 Avenue Agropolis, B.P. 5045, 34032 Montpellier Cedex 1, France;Institute of Biology, University of Neuchâtel, rue Emile-Argand 11, 2000 Neuchâtel, Switzerland;GEMI/UMR CNRS-IRD 2724, Equipe: “Evolution des Systèmes Symbiotiques”, IRD, 911 Avenue Agropolis, B.P. 5045, 34032 Montpellier Cedex 1, France;GEMI/UMR CNRS-IRD 2724, Equipe: “Evolution des Systèmes Symbiotiques”, IRD, 911 Avenue Agropolis, B.P. 5045, 34032 Montpellier Cedex 1, France;GEMI/UMR CNRS-IRD 2724, Equipe: “Evolution des Systèmes Symbiotiques”, IRD, 911 Avenue Agropolis, B.P. 5045, 34032 Montpellier Cedex 1, France;GEMI/UMR CNRS-IRD 2724, Equipe: “Evolution des Systèmes Symbiotiques”, IRD, 911 Avenue Agropolis, B.P. 5045, 34032 Montpellier Cedex 1, France",Oxford University Press,,22,2,392,400,1045-2249,1465-7279,open-access,"This is an Open Access article distributed under the terms of the Creative Commons Attribution Non-Commercial License (http://creativecommons.org/licenses/by-nc/2.5), which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.",oxford,https://www.swissbib.ch/Search/Results?lookfor=nationallicenceoxford101093behecoarq215,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093behecoarq215&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fmarcxml-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093behecoarq215&operation=searchRetrieve&recordSchema=info%3Asrw%2Fschema%2F1%2Fdc-v1.1-light&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,http://sru.swissbib.ch/sru/search/defaultdb?query=+dc.anywhere+exact+NATIONALLICENCEoxford101093behecoarq215&operation=searchRetrieve&recordSchema=info%3Asru%2Fschema%2Fjson&maximumRecords=10&startRecord=0&recordPacking=XML&availableDBs=defaultdb&sortKeys=Submit+query,
